surah_number,ayah_number,tafsir_text
75,1,"بسم الله الرحمان الرحيم

{  لا أقسم بيوم القيامة ( 1 ) }

أقسم الله تعالى بيوم القيامة- ولربنا الحكيم أن يحلف بما شاء- و{  لا } صلة لتوكيد القسم ،  مثلها في قوله تعالى :  {  لئلا يعلم أهل الكتاب أن لا يقدرون على شيء من فضل الله .  .  .  } أي ليعلم ،  وجيء ب {  لا } لتوكيد العلم .  و{  يوم القيامة } يسمى به اليوم الذي تعود فيه الأرواح إلى الأجساد يوم البعث .  وربما يطلق على كثير من أحوال الآخرة وأهوالها ومنازلها ،  كيوم انتهاء الحياة في هذا الكون ،  يوم تنشق السماء ،  وتتنثر الكواكب ،  وتنسف الجبال ،  أو يوم تشقق القبور وينشر الموتى ،  أو يوم تساق الخلائق ويجمع الناس ،  أو يوم يحشرون للقاء رب العالمين ،  أو يوم يحاسبون ويفصل بينهم أحكم الحاكمين ،  أو يوم يدخلون دار الجزاء- الجنة للمتقين والنار للغاوين- بل يطلق يوم القيامة ويراد به ما بين الدنيا والآخرة ،  فقد نقل عن السلف :  من مات فقد قامت قيامته .  ويقولون :  من دفن فقد قامت قيامته ."
75,2,"{  ولا أقسم بالنفس اللوامة ( 2 ) }

كان المولى جل شأنه يحلف بالنفس التي إذا ألمت بسيئة ندمت على خطئها ،  وسارعت بالعودة إلى مرضاة ربها ،  وإذا قصرت في طاعة استحت من تقصيرها ،  وأقلعت عن تفريطها ؛  أصحاب هذه النفوس أهل لرضوان الله تعالى وحبه {  إن الله يحب التوابين ويحب المتطهرين } ."
75,3,"{  أيحسب الإنسان ألن نجمع عظامه ( 3 ) }

جاء في سبب نزولها أن عدي بن ربيعة سمع من النبي صلى الله عليه وسلم شيئا من أمر القيامة فقال :  لو عاينت ذلك اليوم لم أصدقك يا محمد ،  ولم أومن به ؟  أو يجمع الله العظام ؟  !

أيظن الكافر المنكر للبعث أنا لن نجمع لحمه المتمزق ،  وشعره المتفرق ،  وعظامه النخرة البالية ؟  ؟  .  بل وربي ليعيدن الله الخلق كما أنشأهم أول مرة .  وذكر العظام هنا كجزء من أجزاء الجسد ،  والمراد به الجسم كله والروح معه ."
75,4,"{  بلى قادرين على أن نسوي بنانه ( 4 ) }

بلى نجمع العظام والأجسام قادرين على ذلك وعلى كل ما نريد .  و{  بنانه } :  أصابعه أو أطراف أصابعه-الأنامل- نقل صاحب تفسير غرائب القرآن :  {  قادرين } حال مؤكدة لأنه يستحيل جمع العظام بدون القدرة الكاملة التي نبه عليها بقوله :  {   .  . أن نسوي بنانه } لأن من قدر على ضم سلاميات الإصبع مع صغرها ولطافتها كما كانت ،  كان على ضم العظام الكبار أقدر ؛  وإنما خص البنان- وهو الأنملة- بالذكر لأنه آخر ما يتم خلقه ،  فذكره يدل على تمام الإصبع ،  وتمام الإصبع يدل على تمام سائر الأعضاء التي هي أطرافها ،  وقيل :  معنى التسوية :  جعلها شيئا واحدا كخف البعير ،  وحافر الحمار ،  بحيث لا يقدر على البطش ؛  والمراد أنه قادر على رد العظام والمفاصل إلى هيئتها الأولى ،  وعلى ضد ذلك . اه ."
75,5,"{  بل يريد الإنسان ليفجر أمامه ( 5 ) }

أكثر جنس الإنسان يحب الشهوات ،  ومقارفة العصيان ،  ويحب أن يمضي فيها حالا ومستقبلا ،  راكبا رأسه ،  ومطيعا أمله ،  ومسوفا لتوبته ."
75,6,"{  يسأل أيان يوم القيامة ( 6 ) }

{  أيان } أي :  متى :  يستعجل بيوم القيامة- استهزاء به- المكذبون ،  ويستبعده الغافلون ،  الذين هم في غمرة ساهون ،  بل وينكره المترفون البطرون ،  ولقد شهد القرآن عليهم بما يقولون :  {  هيهات هيهات لما توعدون .  إن هي إلا حياتنا الدنيا وما نحن بمبعوثين } ."
75,7,"{  فإذا برق البصر ( 7 ) }

كأنه جواب عما سأل عنه الذي يقول :  متى يوم القيامة ؟  أي :  يكون حين تلمع الأعين من شدة شخوصها ،  وتفزع وتبهت حيرة فلا يرتد إليها طرفها ،  وتنبهر الأبصار ،  وتخشع وتحار ،  وتذل من شدة الأهوال- هول الموت وما بعدها من الأحوال-"
75,8,"{  وخسف القمر ( 8 ) }

ذهب ضوؤه .  والخسوف في الدنيا إلى انجلاء ،  بخلاف الآخرة فإن ضوءه لا يعود ."
75,9,"{  وجمع الشمس والقمر ( 9 ) }

يجمعهما الواحد القهار بقدرته ويكورهما ويذهبهما ."
75,10,"{  يقول الإنسان يومئذ أين المفر ( 10 ) }

عند توارد هذه الشدائد يقول ابن آدم :  أين الملجأ ؟  ؟  أين الموئل ؟  !  ربما يقولها كل إنسان لعظم الغاشية ،  أو يقولها الكافر ؛  أما المؤمن فهو مستيقن بوعد الله {  وينجي الله الذين اتقوا .  .  .  } ،  {   .  .  تتنزل عليهم الملائكة أن لا تخافوا ولا تحزنوا وأبشروا بالجنة التي كنتم توعدون } ."
