surah_number,ayah_number,tafsir_text
14,1,"فلنأخذ في السير مع المقطع الأول في السياق :

( ألر .  كتاب أنزلناه إليك لتخرج الناس من الظلمات إلى النور بإذن ربهم إلى صراط العزيز الحميد .  الله الذي له ما في السماوات وما في الأرض ، وويل للكافرين من عذاب شديد .  الذين يستحبون الحياة الدنيا على الآخرة ، ويصدون عن سبيل الله ويبغونها عوجا ، أولئك في ضلال بعيد .  وما أرسلنا من رسول إلا بلسان قومه ليبين لهم ، فيضل الله من يشاء ، ويهدي من يشاء ، وهو العزيز الحكيم ) .  .

ألف لام .  را .  . ( كتاب أنزلناه إليك ) .  .

هذا الكتاب المؤلف من جنس هذه الأحرف كتاب أنزلناه إليك .  لم تنشئه أنت .  أنزلناه إليك لغاية :

( لتخرج الناس من الظلمات إلى النور ) .  .

لتخرج هذه البشرية من الظلمات .  ظلمات الوهم والخرافة .  وظلمات الأوضاع والتقاليد .  وظلمات الحيرة في تيه الأرباب المتفرقة ، وفي اضطراب التصورات والقيم والموازين .  .  لتخرج البشرية من هذه الظلمات كلها إلى النور .  النور الذي يكشف هذه الظلمات .  يكشفها في عالم الضمير وفي دنيا التفكير .  ثم يكشفها في واقع الحياة والقيم والأوضاع والتقاليد .

والإيمان بالله نور يشرق في القلب ، فيشرق به هذا الكيان البشري ، المركب من الطينة الغليظة ومن نفخة روح الله .  فإذا ما خلا من إشراق هذه النفخة ، وإذا ما طمست فيه هذه الإشراقة استحال طينة معتمة .  طينة من لحم ودم كالبهيمة ، فاللحم والدم وحدهما من جنس طينة الأرض ومادتها .  لولا تلك الإشراقة التي تنتفض فيه من روح الله ، يرقرقها الإيمان ويجلوها ، ويطلقها تشف في هذا الكيان المعتم ، ويشف بها هذا الكيان المعتم .

والإيمان بالله نور تشرق به النفس ، فترى الطريق .  ترى الطريق واضحة إلى الله ، لا يشوبها غبش ولا يحجبها ضباب .  غبش الأوهام وضباب الخرافات .  أو غبش الشهوات وضباب الأطماع .  ومتى رأت الطريق سارت على هدى لا تتعثر ولا تضطرب ولا تتردد ولا تحتار .

والإيمان بالله نور تشرق به الحياة .  فإذا الناس كلهم عباد متساوون .  تربط بينهم آصرتهم في الله وتتمحض دينونتهم له دون سواه ، فلا ينقسمون إلى عبيد وطغاة .  وتربطهم بالكون كله رابطة المعرفة .  معرفة الناموس المسير لهذا الكون وما فيه ومن فيه .  فإذا هم في سلام مع الكون وما فيه ومن فيه .

والإيمان بالله نور .  نور العدل .  ونور الحرية .  ونور المعرفة .  ونور الأنس بجوار الله ، والاطمئنان إلى عدله ورحمته وحكمته في السراء والضراء .  ذلك الاطمئنان الذي يستتبع الصبر في الضراء والشكر في السراء على نور من إدراك الحكمة في البلاء .

والإيمان بالله وحده إلها وربا ، منهج حياة كامل لا مجرد عقيدة تغمر الضمير وتسكب فيه النور .  .  منهج حياة يقوم على قاعدة العبودية لله وحده ، والدينونة لربوبيته وحده ، والتخلص من ربوبيات العبيد ، والاستعلاء على حاكمية العبيد .  .

وفي هذا المنهج من المواءمة مع الفطرة البشرية ، ومع الحاجات الحقيقية لهذه الفطرة ، ما يملأ الحياة سعادة ونور وطمأنينة وراحة .  كما أن فيه من الاستقرار والثبات عاصما من التقلبات والتخبطات التي تتعرض لها المجتمعات التي تخضع لربوبية العبيد ، وحاكمية العبيد ، ومناهج العبيد في السياسة والحكم وفي الاقتصاد والاجتماع ، وفي الخلق والسلوك ، وفي العادات والتقاليد .  .  وذلك فوق صيانة هذا المنهج للطاقة البشرية أن تبذل في تأليه العبيد ، والطبل والزمر للطواغيت  !  !  !

وإن وراء هذا التعبير القصير :  ( لتخرج الناس من الظلمات إلى النور .  .  )لآفاقا بعيدة لحقائق ضخمة عميقة في عالم العقل والقلب .  وفي عالم الحياة والواقع ، لا يبلغها التعبير البشري ولكنه يشير  !

( لتخرج الناس من الظلمات إلى النور .  .  بإذن ربهم ) .  .

فليس في قدرة الرسول إلا البلاغ ، وليس من وظيفته إلا البيان .  أما إخراج الناس من الظلمات إلى النور ، فإنما يتحقق بإذن الله ، وفق سنته التي ارتضتها مشيئته ، وما الرسول إلا رسول  !

( لتخرج الناس من الظلمات إلى النور بإذن ربهم ) .  .  ( إلى صراط العزيز الحميد ) .  .

فالصراط بدل من النور .  وصراط الله : طريقه ، وسنته ، وناموسه الذي يحكم الوجود وشريعته التي تحكم الحياة .  والنور يهدي إلى هذا الصراط ، أو النور هو الصراط .  وهو أقوى في المعنى .  فالنور المشرق في ذات النفس هو المشرق في ذات الكون .  هو السنة .  هو الناموس .  هو الشريعة .  والنفس التي تعيش في هذا النور لا تخطيء الإدراك ولا تخطيء التصور ولا تخطيء السلوك .  فهي على صراط مستقيم .  .  ( صراط العزيز الحميد ) .  .  مالك القوة القاهر المسيطر المحمود المشكور .

والقوة تبرز هنا لتهديد من يكفرون ، والحمد يبرز لتذكير من يشكرون .

/خ27"
14,2,"ثم يعقبها التعريف بالله سبحانه .  إنه مالك ما في السماوات وما في الأرض ، الغني عن الناس ، المسيطر على الكون وما فيه ومن فيه :

( الله الذي له ما في السماوات وما في الأرض ) .  .

فمن خرج واهتدى فذاك .  ولا يذكر عنه شيئا هنا ، إنما يمضي السياق إلى تهديد الكافرين ينذرهم بالويل من عذاب شديد .  جزاء كفرهم هذه النعمة .  نعمة إرسال الرسول بالكتاب ليخرجهم من الظلمات إلى النور .  وهي النعمة الكبرى التي لا يقوم لها شكر إنسان .  فكيف بالكفران :

( وويل للكافرين من عذاب شديد ) .  .

/خ27"
14,3,"ثم يكشف عن صفة تحمل معنى العلة لكفر الكافرين بنعمة الله التي يحملها رسوله الكريم :

( الذين يستحبون الحياة الدنيا على الآخرة ) .  .  ( ويصدون عن سبيل الله ، ويبغونها عوجا ، أولئك في ضلال بعيد ) .  .

فاستحباب الحياة الدنيا على الآخرة يصطدم بتكاليف الإيمان  ؛  ويتعارض مع الاستقامة على الصراط .  وليس الأمر كذلك حين تستحب الآخرة ، لأنه عندئذ تصلح الدنيا ، ويصبح المتاع بها معتدلا ، ويراعى فيه وجه الله .  فلا يقع التعارض بين استحباب الآخرة ومتاع هذه الحياة .

إن الذين يوجهون قلوبهم للآخرة ، لا يخسرون متاع الحياة الدنيا - كما يقوم في الأخيلة المنحرفة .  فصلاح الآخرة في الإسلام يقتضي صلاح هذه الدنيا .  والإيمان بالله يقتضي حسن الخلافة في الأرض .  وحسن الخلافة في الأرض هو استعمارها والتمتع بطيباتها .  إنه لا تعطيل للحياة في الإسلام انتظارا للآخرة ، ولكن تعمير للحياة بالحق والعدل والاستقامة ابتغاء رضوان الله ، وتمهيدا للآخرة .  .  هذا هو الإسلام .

فأما الذين يستحبون الحياة الدنيا على الآخرة ، فلا يملكون أن يصلوا إلى غاياتهم من الاستئثار بخيرات الأرض ، ومن الكسب الحرام ، ومن استغلال الناس وغشهم واستعبادهم .  .  لا يملكون أن يصلوا إلى غاياتهم هذه في نور الإيمان بالله ، وفي ظل الاستقامة على هداه .  ومن ثم يصدون عن سبيل الله .  يصدون أنفسهم ويصدون الناس ، ويبغونها عوجا لا استقامة فيها ولا عدالة .  وحين يفلحون في صد أنفسهم وصد غيرهم عن سبيل الله ، وحين يتخلصون من استقامة سبيله وعدالتها ، فعندئذ فقط يملكون أن يظلموا وأن يطغوا وأن يغشوا وأن يخدعوا وأن يغروا الناس بالفساد ، فيتم لهم الحصول على ما يبغونه من الاستئثار بخيرات الأرض ، والكسب الحرام ، والمتاع المرذول ، والكبرياء في الأرض ، وتعبيد الناس بلا مقاومة ولا استنكار .

إن منهج الإيمان ضمانة للحياة وضمانة للأحياء من أثرة الذين يستحبون الحياة الدنيا على الآخرة ، واستئثارهم بخيرات هذه الحياة .

/خ27"
14,4,"( وما أرسلنا من رسول إلا بلسان قومه ليبين لهم ) .  .

وهذه نعمة شاملة للبشر في كل رسالة .  فلكي يتمكن الرسول من إخراج الناس من الظلمات إلى النور بإذن ربهم ، لم يكن بد من أن يرسل بلغتهم ، ليبين لهم وليفهموا عنه ، فتتم الغاية من الرسالة .

وقد أرسل النبي [ ص ] بلسان قومه - وإن كان رسولا إلى الناس كافة - لأن قومه هم الذين سيحملون رسالته إلى كافة البشر .  وعمره [ ص ] محدود .  وقد أمر ليدعو قومه أولا حتى تخلص الجزيرة العربية للإسلام .  ومن ثم تكون مهدا يخرج منه حملة رسالة محمد إلى سائر بقاع الأرض .  والذي حدث بالفعل - وهو من تقدير الله العليم الخبير - أن اختير الرسول إلى جوار ربه عند انتهاء الإسلام إلى آخر حدود الجزيرة ، وبعث جيش أسامة إلى أطراف الجزيرة ، الذي توفي الرسول [ ص ] ولم يتحرك بعد .  .  وحقيقة إن الرسول قد بعث برسائله إلى خارج الجزيرة يدعو إلى الإسلام ، تصديقا لرسالته إلى الناس كافة .  ولكن الذي قدره الله له ، والذي يتفق مع طبيعة العمر البشري المحدود ، أن يبلغ الرسول [ ص ] قومه بلسانهم ، وأن تتم رسالته إلى البشر كافة عن طريق حملة هذه الرسالة إلى الأصقاع .  .  وقد كان .  .  فلا تعارض بين رسالته للناس كافة ، ورسالته بلسان قومه ، في تقدير الله ، وفي واقع الحياة .

( وما أرسلنا من رسول إلا بلسان قومه ليبين لهم ) .  .  ( فيضل الله من يشاء ويهدي من يشاء )

إذ تنتهي مهمة الرسول - كل رسول - عند البيان .  أما ما يترتب عليه من هدى ومن ضلال ، فلا قدرة له عليه ، وليس خاضعا لرغبته ، إنما هو من شأن الله .  وضع له سنة ارتضتها مشيئته المطلقة .  فمن سار على درب الضلال ضل ، ومن سار على درب الهدى وصل .  .  هذا وذلك يتبع مشيئة الله ، التي شرعت سنته في الحياة .

( وهو العزيز الحكيم ) .  .

القادر على تصريف الناس والحياة ، يصرفهم بحكمة وتقدير فليست الأمور متروكة جزافا بلا توجيه ولا تدبير .

/خ27"
14,5,"وكذلك كانت رسالة موسى .  بلسان قومه .

( ولقد أرسلنا موسى بآياتنا : أن أخرج قومك من الظلمات إلى النور ، وذكرهم بأيام الله .  إن في ذلك لآيات لكل صبار شكور .  وإذ قال موسى لقومه : اذكروا نعمة الله عليكم إذ أنجاكم من آل فرعون ، يسومونكم سوء العذاب ، ويذبحون أبناءكم ويستحيون نساءكم ، وفي ذلكم بلاء من ربكم عظيم .  وإذ تأذن ربكم : لئن شكرتم لأزيدنكم ، ولئن كفرتم إن عذابي لشديد .  وقال موسى : إن تكفروا أنتم ومن في الأرض جميعا فإن الله لغني حميد ) .  .

والتعبير يوحد بين صيغة الأمر الصادر لموسى والصادر لمحمد - عليهما صلاة الله وسلامه - تمشيا مع نسق الأداء في السورة - وقد تحدثنا عنه آنفا - فإذا الأمر هناك :

( لتخرج الناس من الظلمات إلى النور ) .  .

والأمر هنا :

( أن أخرج قومك من الظلمات إلى النور ) .  .

الأولى للناس كافة والثانية لقوم موسى خاصة ، ولكن الغاية واحدة :

( أن أخرج قومك من الظلمات إلى النور ) .  .  ( وذكرهم بأيام الله ) .  .

وكل الأيام أيام الله .  ولكن المقصود هنا أن يذكرهم بالأيام التي يبدو فيها للبشر أو لجماعة منهم أمر بارز أو خارق بالنعمة أو بالنقمة  ؛  كما سيجيء في حكاية تذكير موسى لقومه .  وقد ذكرهم بأيام لهم ، وأيام لأقوام نوح وعاد وثمود والذين من بعدهم .  فهذه هي الأيام .

( إن في ذلك لآيات لكل صبار شكور ) .  .

ففي هذه الأيام ما هو بؤسى فهو آية للصبر ، وفيها ما هو نعمى فهو آية للشكر .  والصبار الشكور هو الذي يدرك هذه الآيات ، ويدرك ما وراءها ، ويجد فيها عبرة له وعظة  ؛  كما يجد فيها تسرية وتذكيرا .

/خ27"
14,6,"وراح موسى يؤدي رسالته ، ويذكر قومه :

( وإذ قال موسى لقومه : اذكروا نعمة الله عليكم إذ أنجاكم من آل فرعون يسومونكم سوء العذاب ، ويذبحون أبناءكم ويستحيون نساءكم ، وفي ذلكم بلاء من ربكم عظيم ) .  .

إنه يذكرهم بنعمة الله عليهم .  نعمة النجاة من سوء العذاب الذي كانوا يلقونه من آل فرعون ، يسامونه سوما ، أي يوالون به ويتابعون ، فلا يفتر عنهم ولا ينقطع .  ومن ألوانه البارزة تذبيح الذكور من الأولاد واستحياء الإناث ، منعا لتكاثر القوة المانعة فيهم واستبقاء لضعفهم وذلهم .  فإنجاء الله لهم من هذه الحال نعمة تذكر .  وتذكر لتشكر .

( وفي ذلكم بلاء من ربكم عظيم ) .  .

بلاء بالعذاب أولا ، لامتحان الصبر والتماسك والمقاومة والعزم على الخلاص والعمل له .  فليس الصبر هو احتمال الذل والعذاب وكفى .  ولكن الصبر هو احتمال العذاب بلا تضعضع ولا هزيمة روحية ، واستمرار العزم على الخلاص ، والاستعداد للوقوف في وجه الظلم والطغيان .  وإلا فما فهو صبر مشكور ذلك الاستسلام للذل والهوان .  .  وبلاء بالنجاة ثانيا لامتحان الشكر ، والاعتراف بنعمة الله ، والاستقامة على الهدى في مقابل النجاة .

/خ27"
14,7,"ويمضي موسى في البيان لقومه .  بعد ما ذكرهم بأيامه .  ووجههم إلى الغاية من العذاب والنجاة .  وهي الصبر للعذاب والشكر للنجاة .  .  يمضي ليبين لهم ما رتبه الله جزاء على الشكر والكفران :

( وإذ تأذن ربكم : لئن شكرتم لأزيدنكم ، ولئن كفرتم إن عذابي لشديد ) .  .

ونقف نحن أمام هذه الحقيقة الكبيرة : حقيقة زيادة النعمة بالشكر ، والعذاب الشديد على الكفر

نقف نحن أمام هذه الحقيقة تطمئن إليها قلوبنا أول وهلة لأنها وعد من الله صادق .  فلا بد أن يتحقق على أية حال .  .  فإذا أردنا أن نرى مصداقها في الحياة ، ونبحث عن أسبابه المدركة لنا ، فإننا لا نبعد كثيرا في تلمس الأسباب .

إن شكر النعمة دليل على استقامة المقاييس في النفس البشرية .  فالخير يشكر لأن الشكر هو جزاؤه الطبيعي في الفطرة المستقيمة .

هذه واحدة .  .  والأخرى أن النفس التي تشكر الله على نعمته ، تراقبه في التصرف بهذه النعمة .  بلا بطر ، وبلا استعلاء على الخلق ، وبلا استخدام للنعمة في الأذى والشر والدنس والفساد .

وهذه وتلك مما يزكي النفس ، ويدفعها للعمل الصالح ، وللتصرف الصالح في النعمة بما ينميها ويبارك فيها  ؛  ويرضي الناس عنها وعن صاحبها ، فيكونون له عونا  ؛  ويصلح روابط المجتمع فتنمو فيه الثروات في أمان .  إلى آخر الأسباب الطبيعية الظاهرة لنا في الحياة .  وإن كان وعد الله بذاته يكفي لاطمئنان المؤمن ، أدرك الأسباب أو لم يدركها ، فهو حق واقع لأنه وعد الله .

والكفر بنعمة الله قد يكون بعدم شكرها .  أو بإنكار أن الله واهبها ، ونسبتها إلى العلم والخبرة والكد الشخصي والسعي  !  كأن هذه الطاقات ليست نعمة من نعم الله  !  وقد يكون بسوء استخدامها بالبطر والكبر على الناس واستغلالها للشهوات والفساد .  .  وكله كفر بنعمة الله .  .

والعذاب الشديد قد يتضمن محق النعمة .  عينا بذهابها .  أو سحق آثارها في الشعور .  فكم من نعمة تكون بذاتها نقمة يشقى بها صاحبها ويحسد الخالين  !  وقد يكون عذابا مؤجلا إلى أجله في الدنيا أو في الآخرة كما يشاء الله .  ولكنه واقع لأن الكفر بنعمة الله لا يمضي بلا جزاء .

/خ27"
14,8,"ذلك الشكر لا تعود على الله عائدته .  وهذا الكفر لا يرجع على الله أثره .  فالله غني بذاته محمود بذاته ، لا بحمد الناس وشكرهم على عطاياه .

( وقال موسى : إن تكفروا أنتم ومن في الأرض جميعا فإن الله لغني حميد ) .  .

إنما هو صلاح الحياة يتحقق بالشكر ، ونفوس الناس تزكو بالاتجاه إلى الله ، وتستقيم بشكر الخير ، وتطمئن إلى الاتصال بالمنعم ، فلا تخشى نفاذ النعمة وذهابها ، ولا تذهب حسرات وراء ما ينفق أو يضيع منها .  فالمنعم موجود ، والنعمة بشكره تزكو وتزيد .

/خ27"
14,9,"ويستمر موسى في بيانه وتذكيره لقومه .  ولكنه يتوارى عن المشهد لتبرز المعركة الكبرى بين أمة الأنبياء والجاهليات المكذبة بالرسل والرسالات .  وذلك من بدائع الأداء في القرآن ، لإحياء المشاهد ، ونقلها من حكاية تروى إلى مشهد ينظر ويسمع ، وتتحرك فيه الشخوص ، وتتجلى فيه السمات والانفعالات .  .

والآن إلى الساحة الكبرى التي يتلاشى فيها الزمان والمكان :

( ألم يأتكم نبأ الذين من قبلكم ، قوم نوح وعاد وثمود والذين من بعدهم لا يعلمهم إلا الله ؟  جاءتهم رسلهم بالبينات ، فردوا أيديهم في أفواههم ، وقالوا : إنا كفرنا بما أرسلتم به ، وإنا لفي شك مما تدعوننا إليه مريب ) .  .

هذا التذكير من قول موسى .  ولكن السياق منذ الآن يجعل موسى يتوارى ليستمر في عرض قصة الرسل والرسالات في جميع أزمانها .  قصة الرسل والرسالات وحقيقتها في مواجهة الجاهلية ، وعاقبة المكذبين بها على اختلاف الزمان والمكان .  .  وكأن موسى  "" راوية  ""  يبدأ بالإشارة إلى أحداث الرواية الكبرى .  ثم يدع أبطالها يتحدثون بعد ذلك ويتصرفون .  .  وهي طريقة من طرق العرض للقصة في القرآن ، تحول القصة المحكية إلى رواية حية كما أسلفنا .  وهنا نشهد الرسل الكرام في موكب الإيمان ، يواجهون البشرية متجمعة في جاهليتها .  حيث تتوارى الفواصل بين أجيالها وأقوامها .  وتبرز الحقائق الكبرى مجردة عن الزمان والمكان .  كما هي في حقيقة الوجود خلف حواجز الزمان والمكان :

( ألم يأتكم نبأ الذين من قبلكم : قوم نوح وعاد وثمود والذين من بعدهم لا يعلمهم إلا الله ؟  ) .  .

فهم كثير إذن ،  وهناك غير من جاء ذكرهم في القرآن .  ما بين ثمود وقوم موسى .  والسياق هنا لا يعني بتفصيل أمرهم ، فهناك وحدة في دعوة الرسل ووحدة فيما قوبلت به :

( جاءتهم رسلهم بالبينات ) .  .

الواضحات التي لا يلتبس أمرها على الإدراك السليم .

( فردوا أيديهم في أفواههم ، وقالوا : إنا كفرنا بما أرسلتم به  ؛  وإنا لفي شك مما تدعوننا إليه مريب ) .  .

ردوا أيديهم في أفواههم كما يفعل من يريد تمويج الصوت ليسمع عن بعد ، بتحريك كفه أمام فمه وهو يرفع صوته ذهابا وإيابا فيتموج الصوت ويسمع .  يرسم السياق هذه الحركة التي تدل على جهرهم بالتكذيب والشك ، وإفحاشهم في هذا الجهر ، وإتيانهم بهذه الحركة الغليظة التي لا أدب فيها ولا ذوق ، إمعانا منهم في الجهر بالكفر .

/خ27"
14,10,"ولما كان الذي يدعوهم إليه رسلهم هو الاعتقاد بألوهية الله وحده ، وربوبيته للبشر بلا شريك من عباده .  .  فإن الشك في هذه الحقيقة الناطقة التي تدركها الفطرة ، وتدل عليها آيات الله المبثوثة في ظاهر الكون المتجلية في صفحاته ، يبدو مستنكرا قبيحا ، وقد استنكر الرسل هذا الشك .  والسماوات والأرض شاهدان .

( قالت رسلهم : أفي الله شك فاطر السماوات والأرض ؟  ) .  .

أفي الله شك والسماوات والأرض تنطقان للفطرة بأن الله أبدعهما إبداعا وأنشأهما إنشاء ؟  قالت رسلهم هذا القول ، لأن السماوات والأرض آيتان هائلتان بارزتان ، فمجرد الإشارة إليهما يكفي ، ويرد الشارد إلى الرشد سريعا ، ولم يزيدوا على الإشارة شيئا لأنها وحدها تكفي  ؛  ثم أخذوا يعددون نعم الله على البشر في دعوتهم إلى الإيمان ، وفي إمهالهم إلى أجل يتدبرون فيه ويتقون العذاب :

( أفي الله شك فاطر السماوات والأرض .  يدعوكم ليغفر لكم من ذنوبكم ) .

والدعوة أصلا دعوة إلى الإيمان ، المؤدي إلى المغفرة .  ولكن السياق يجعل الدعوة مباشرة للمغفرة ، لتتجلى نعمة الله ومنته .  وعندئذ يبدو عجيبا أن يدعى قوم إلى المغفرة فيكون هذا تلقيهم للدعوة  !

( يدعوكم ليغفر لكم من ذنوبكم ) .  .  ( ويؤخركم إلى أجل مسمى ) .  .

فهو - سبحانه - مع الدعوة للمغفرة لا يعجلكم بالإيمان فور الدعوة ، ولا يأخذكم بالعذاب فور التكذيب .  إنما يمن عليكم منة أخرى فيؤخركم إلى أجل مسمى .  إما في هذه الدنيا وإما إلى يوم الحساب ، ترجعون فيه إلى نفوسكم ، وتتدبرون آيات الله وبيان رسلكم .  وهي رحمة وسماحة تحسبان في باب النعم .  .  فهل هذا هو جواب دعوة الله الرحيم المنان ؟  !

هنا يرجع القوم في جهالتهم إلى ذلك الاعتراض الجهول :

( قالوا : إن أنتم إلا بشر مثلنا ، تريدون أن تصدونا عما كان يعبد آباؤنا ) .  .

وبدلا من أن يعتز البشر باختيار الله لواحد منهم ليحمل رسالته ، فإنهم لجهالتهم ينكرون هذا الاختيار ، ويجعلونه مثار ريبة في الرسل المختارين  ؛  ويعللون دعوة رسلهم لهم بأنها رغبة في تحويلهم عما كان يعبد آباؤهم .  ولا يسألون أنفسهم : لماذا يرغب الرسل في تحويلهم ؟  !  وبطبيعة الجمود العقلي الذي تطبعه الوثنيات في العقول لا يفكرون فيما كان يعبد آباؤهم : ما قيمته ؟  ما حقيقته ؟  ماذا يساوي في معرض النقد والتفكير ؟  !  وبطبيعة الجمود العقلي كذلك لا يفكرون في الدعوة الجديدة ، إنما يطلبون خارقة ترغمهم على التصديق :

( فأتونا بسلطان مبين ) .  .

/خ27"
