surah_number,ayah_number,tafsir_text
26,3,{ بَاخِعٌ نَّفْسَكَ } أي قاتل نفسك.
26,4,{ ظَلَّتْ أَعْنَاقُهُمْ }: جماعاتهم ورؤساؤهم، كما تقول. أتاني عنق من الناس، أي جماعة. ويقال ظلت أعناقهم: أضاف الأعناق إليهم، يريد الرقاب ثم جعل الخبر عنهم لأن خضوعهم بخضوع الأعناق.
26,22,{ عَبَّدتَّ بَنِي إِسْرَائِيلَ }: يقول: اتخذتهم عبيدا لك.
26,32,{ ثُعْبَانٌ } أي حية عظيمة الجسم.
26,54,{ شِرْذِمَةٌ } أي طائفة قليلة.
26,60,{ مُّشْرِقِينَ } أي مصادفين شروق الشمس أي طلوعها.
26,63,{ ٱلطَّوْدِ }: الجبل.
26,64,{ أَزْلَفْنَا ثَمَّ ٱلآخَرِينَ } جمعناهم في البحر حتى غرقوا، ومنه ليلة المزدلفة، أي ليلة الازدلاف أي الإجتماع. ويقال: أزلفناهم أي قربناهم من البحر حتى أغرقناهم فيه، ومنه أزلفني كذا عند فلان أي قربني منه.
26,84,{ لِسَانَ صِدْقٍ } يعني ثناء حسنا.
26,90,{ أُزْلِفَتِ ٱلْجَنَّةُ }: قربت وأدنيت.
26,94,{ كُبْكِبُواْ } أصله كببوا: أي ألقوا على رءوسهم في جهنم من قولك: كبكبت الإناء إذا قلبته.
26,101,{ صَدِيقٍ }: وهو من صدقك مودته ومحبته.
26,111,{ ٱلأَرْذَلُونَ } أهل الضعة والخساسة.
26,116,{ ٱلْمَرْجُومِينَ }: أي المقتولين. والرجم: القتل، والرجم: السب، والرجم: القذف.
26,119,{ ٱلْمَشْحُونِ } أي المملوء.
26,128,{ رِيعٍ }: أي ارتفاع من الأرض والطريق، وجمعه أرياع وريعة.
26,129,{ مَصَانِعَ }: أبنية؛ واحدها مصنع.
26,130,{ وَإِذَا بَطَشْتُمْ بَطَشْتُمْ جَبَّارِينَ } أي قتالين. انظر 22 من المائدة.
26,137,{ خُلُقُ ٱلأَوَّلِينَ }: أي اختلاقهم وكذبهم، وقرئت: خلق الأولين، أي عادتهم.
26,148,{ طَلْعُهَا هَضِيمٌ }: أي منضم قبل أن ينشق عنه القشر، وكذلك [ق: 10] أي منضود بعضه إلى جنب بعض.
26,149,{ فَارِهِينَ } وفارهين: أشرين. وفارهين أيضا: حاذقين.
26,153,(مسحرين) أي معللين بالطعام والشراب: أي إنما أنت بشر.
26,155,{ شِرْبٌ } أي نصيب من الماء.
26,168,(قالين) أي مبغضين، يقال قليته أقليه قلى إذا أبغضته. ومنه [الضحى: 3].
26,171,{ ٱلْغَابِرِينَ } أي الباقين، والماضين أيضا، وهو من الأضداد. وقوله جل وعز { إِلاَّ عَجُوزاً فِي ٱلْغَابِرِينَ }. أي بقيت فيه ولم تسر مع لوط عليه السلام. ويقال في الغابرين. أي الباقين في طول العمر.
26,176,{ لْئَيْكَةِ }: الغيضة، وهي جماع من الشجر.
26,184,(جبلة الأولين): أي خلق الأولين.
26,189,{ فَأَخَذَهُمْ عَذَابُ يَوْمِ ٱلظُّلَّةِ } قيل إنهم لما كذبوا شعيبا أصابهم هم وحر شديد ورفعت لهم سحابة فخرجوا يستظلون بها فسالت عليهم فأهلكتهم. انظر 210 من البقرة.
26,198,(أعجمين) جمع أعجم وأعجمي أيضا: إذا كان في لسانه عجمة وإن كان من العرب؛ ورجل عجمي: منسوب إلى العجم وإن كان فصيحا؛ ورجل أعرابي: إذا كان بدويا وإن لم يكن من العرب، ورجل عربي: منسوب إلى العرب وإن لم يكن بدويا. وقال الفراء: الأعجمي: منسوب إلى نفسه؛ من العجمة، كما قالوا للأحمر: أحمري، وكقوله وهو العجاج: قنسرى: شيخ كبير، ودوارى: دوار.
26,225,{ يَهِيمُونَ }: يذهبون على غير قصد كما يذهب الهائم على وجهه.
