surah_number,ayah_number,tafsir_text
54,1,"قوله عز وجل : { اقتربت الساعة } أي دنت القيامة { وانشق القمر } قيل : فيه تقديم وتأخير تقديره انشق القمر واقتربت الساعة وانشقاق القمر من آيات رسول الله صلى الله عليه وسلم الظاهرة ومعجزاته يدل عليه ما روي عن أنس : «أن أهل مكة سألوا رسول الله صلى الله عليه وسلم أن يريهم آية فأراهم انشقاق القمر مرتين » .

أخرجه البخاري ومسلم .   وزاد الترمذي فنزلت { اقتربت الساعة وانشق القمر } إلى قوله { سحر مستمر } ولهما عن ابن مسعود .   قال : «انشق القمر على عهد رسول الله صلى الله عليه وسلم شقتين فقال رسول الله صلى الله عليه وسلم اشهدوا » وفي رواية أخرى قال : «بينما نحن مع رسول الله صلى الله عليه وسلم بمنى إذ انفلق القمر فلقتين ،   فلقة فوق الجبل ،   وفلقة دونه .   فقال لنا رسول الله صلى الله عليه وسلم : اشهدوا » ولهما عن ابن عباس قال : «إن القمر انشق في زمن رسول الله صلى الله عليه وسلم » ( م ) عن ابن عمر رضي الله عنهما قال : «انشق القمر على عهد رسول الله صلى الله عليه وسلم فلقتين فستر الجبل فلقة وكانت فلقة فوق الجبل فقال رسول الله صلى الله عليه وسلم : اشهدوا » وعن جبير بن مطعم قال : «انشق القمر على عهد رسول الله صلى الله عليه وسلم فصار فرقتين فقالت قريش سحر محمد أعيننا ،   فقال بعضهم لئن كان سحرنا ما يستطيع أن يسحر الناس كلهم » أخرجه الترمذي وزاد غيره فكانوا يتلقون الركبان فيخبرونهم بأنهم قد رأوه فيكذبونهم .

قال مقاتل : انشق القمر ثم التأم بعد ذلك .   وروى مسروق عن عبد الله بن مسعود قال : انشق القمر على عهد رسول الله صلى الله عليه وسلم فقالت قريش : سحركم ابن أبي كبشة فسألوا السفارة فقالوا : نعم .   قد رأيناه فأنزل الله تعالى : { اقتربت الساعة وانشق القمر } .   فهذه الأحاديث الصحيحة قد وردت بهذه المعجزة العظيمة ،   مع شهادة القرآن المجيد بذلك فإنه أدل دليل وأقوى مثبت له وإمكانه لا يشك فيه مؤمن وقد أخبر عنه الصادق فيجب الإيمان به واعتقاد وقوعه .

وقال الشيخ محيي الدين النووي في شرح صحيح مسلم ،   قال الزجاج : وقد أنكرها بعض المبتدعة المضاهين المخالفي الملة وذلك لما أعمى الله قلبه ولا إنكار للعقل فيها لأن القمر مخلوق لله تعالى يفعل فيه ما يشاء كما يفنيه ويكوره في آخر أمره .   فأما قول بعض الملاحدة لو وقع هذا النقل متواتراً واشترك أهل الأرض كلهم في رؤيتهم له ومعرفته ولم يختص بها أهل مكة فأجاب العلماء عن هذا بأن هذا الانشقاق حصل في الليل ومعظم الناس نيام غافلون والأبواب مغلقة وهم مغطون بثيابهم فقل من يتفكر في السماء أو ينظر إليها إلا الشاذ النادر .

ومما هو مشاهد معتاد أن كسوف القمر وغيره مما يحدث في السماء في الليل من العجائب والأنوار والطوالع والشهب العظام ونحو ذلك يقع ولا يتحدث به إلا آحاد الناس ولا علم عند غيرهم بذلك لما ذكرناه من غفلة الناس .   وكان هذا الانشقاق آية عظيمة حصلت في الليل لقوم سألوها واقترحوا رؤيتها ،   فلم يتأهب غيرهم لها .   قال العلماء : وقد يكون القمر حينئذ في بعض المجاري والمنازل التي تظهر لبعض أهل الآفاق دون بعض كما يكون ظاهراً لقوم غائباً عن قوم وكما يجد الكسوف أهل بلد دون بلد والله أعلم وقيل في معنى الآية ينشق القمر يوم القيامة وهذا قول باطل لا يصح وشاذ لا يثبت لإجماع المفسرين على خلافه ولأن الله ذكره بلفظ الماضي وحمل الماضي على المستقبل بعيد يفتقر إلى قرينة تنقله أو دليل يدل عليه وفي قوله تعالى : { وإن يروا آية يعرضوا } دليل على وجود هذه الآية العظيمة وقد كان ذلك في زمن رسول الله صلى الله عليه وسلم والمعنى : وإن يروا آية أي تدل على صدق رسول الله صلى الله عليه وسلم ،   والمراد بالآية هنا انشقاق القمر يعرضوا أي عن التصديق بها { ويقولوا سحر مستمر } أي دائم مضطرد .

وكل شيء دام حاله قيل فيه : مستمر .

وذلك لما رأوا تتابع المعجزات وترادف الآيات فقالوا هذا سحر مستمر : وقيل مستمر أي قوي محكم شديد بعلوه يعلو كل سحر .

قيل : مستمر أي ذاهب سوف يبطل ويذهب ولا يبقى وإنما قالوا ذلك تمنية لأنفسهم وتعليلاً ."
54,2,/ت1
54,3,{ وكذبوا } يعني النبي صلى الله عليه وسلم وما عاينوا من قدرة الله { واتبعوا أهواءهم } أي ما زين لهم الشيطان من الباطل وقيل : هو قولهم إنه سحر القمر { وكل أمر مستقر } أي لكل أمر حقيقة فما كان منه في الدنيا فسيظهر وما كان منه في الآخرة فسيعرف .   وقيل : كل أمر مستقر .   فالخير مستقر بأهله في الجنة ،   والشر مستقر بأهله في النار ،   وقيل : يستقر قول المصدقين والمكذبين حين يعرفون حقيقته بالثواب أو العقاب .   وقيل : معناه لكل حديث منتهى .   وقيل : ما قدر فهو كائن وواقع لا محالة .   وقيل : هو جواب قولهم سحر مستمر يعني ليس أمره بذاهب كما زعمتم بل كل أمر من أموره مستقر وإن أمر محمد رسول الله صلى الله عليه وسلم سيظهر إلى غاية يتبين فيها أنه حق .
54,4,{ ولقد جاءهم } يعني أهل مكة { من الأنباء } أي من أخبار الأمم الماضية المكذبة في القرآن { ما فيه مزدجر } أي منتهى وموعظة .
54,5,{ حكمة بالغة } يعني القرآن حكمة تامة قد بلغت الغاية { فما تغني النذر } يعني أي غنى تغني النذر إذا خالفوهم وكذبوهم .
54,6,{ فتول عنهم } أي أعرض عنهم نسختها آية القتال { يوم يدع الداع } أي اذكر يا محمد يوم يدع الداعي وهو إسرافيل ينفخ في الصور قائماً على صخرة بيت المقدس { إلى شيء نكر } أي منكر فظيع لم يروا مثله ،   فينكرونه استعظاماً له .
54,7,{ خشعاً } وقرئ خاشعاً { أبصارهم } أي ذليلة خاضعة عند رؤية العذاب { يخرجون من الأجداث } يعني من القبور{ كأنهم جراد منتشر } مثل في كثرتهم وتموج بعضهم في بعض حيارى فزعين .
54,8,{ مهطعين } مسرعين مادي أعناقهم مقبلين { إلى الداع } يعني إلى صوت الداعي وهو إسرافيل وقيل ناظرين إليه لا يقلعون بأبصارهم { يقول الكافرون هذا يوم عسر } أي صعب شديد وفيه إشارة إلى أن ذلك اليوم يوم شديد على الكافرين لا على المؤمنين .
54,9,قوله تعالى : { كذبت قبلهم } أي قبل أهل مكة { قوم نوح فكذبوا عبدنا } يعني نوحاً { وقالوا مجنون وازدجر } أي زجروه على دعوته ومقالته بالشم والوعيد بقولهم { لئن لم تنته يا نوح لتكونن من المرجومين } .
54,10,{ فدعا } يعني نوحاً { ربه } وقال { إني مغلوب } أي مقهور { فانتصر } أي فانتقم لي منهم .
54,11,{ ففتحنا أبواب السماء } قيل هو على ظاهره وللسماء أبواب تفتح وتغلق ولا يستبعد ذلك لأنه قد صح في الحديث أن للسماء أبواباً .   وقيل : هو على الاستعارة ،   فإن الظاهر أن يكون المطر من السحاب { بماء منهمر } أي منصب انصباباً شديداً لم ينقطع أربعين يوماً .
54,12,{ وفجرنا الأرض عيوناً } أي وجعلنا الأرض كلها عيوناً تسيل بالماء { فالتقى الماء } يعني ماء السماء وماء الأرض{ على أمر قد قدر } أي قضى عليهم في أم الكتاب .   وقيل قدر الله أن يكون الماءان سواء فكانا على ما قدر .
54,13,"{ وحملناه } يعني نوحاً { على ذات ألواح } يعني سفينة ذات ألواح .   وأراد بالألواح ،   خشب السفينة العريضة .   { ودسر } هي المسامير التي تشد بها الألواح وقيل الدسر صدر السفينة .   وقيل : هي عوارض السفينة وأضلاعها .

وقيل : الألواح : جانبا السفينة ،   والدسر : أصلها وطرفاها ."
54,14,{ تجري } يعني السفينة { بأعيننا } يعني بمرأى منا .   وقيل : بحفظنا .   وقيل : بأمرنا { جزاء لمن كان كفر } يعني فعلنا ذلك به وبهم من إنجاء نوح وإغراق قومه ثواباً لنوح لأنه كان كفر به وجحد أمره .   وقيل لمن بمعنى لما أي جزاء لما كان كفر من أيادي الله ونعمه عند الذين أغرقهم .   وقيل : جزاء لما صنع بنوح وأصحابه .
54,15,{ ولقد تركناها آية } يعني الفعلة التي فعلنا بهم آية يعتبر بها .   وقيل : أراد السفينة .   قال قتادة : أبقاها الله تعالى بأرض الجزيرة عبرة حتى نظر إليها أوائل هذه الأمة { فهل من مدكر } يعني متذكر معتبر متعظ خائف مثل عقوبتهم ( ق ) عن ابن مسعود قال «قرأت على رسول الله صلى الله عليه وسلم مذكر فردها عليّ » وفي رواية أخرى «سمعته يقرؤها فهل من مدكر دالاً » .
54,16,{ فكيف كان عذابي ونذر } يعني إنذاري .
54,17,{ ولقد يسرنا القرآن } يعني سهلنا القرآن { للذكر } يعني ليتذكر ويعتبر به قال سعيد بن جبير يسرناه للحفظ والقراءة وليس شيء من كتب الله تعالى يقرأ كله ظاهراً إلا القرآن { فهل من مدكر } يعني متعظ بمواعظه وفيه الحث على تعليم القرآن والاشتغال به لأنه قد يسره الله وسهله على من يشاء من عباده بحيث يسهل حفظه للصغير والكبير والعربي والعجمي وغيرهم .
54,18,قوله تعالى : { كذبت عاد فكيف كان عذابي ونذر } أي إنذاري لهم بالعذاب .
54,19,"{ إنا أرسلنا عليهم ريحاً صرصراً } أي شديدة الهبوب { في يوم نحس } أي يوم شؤم { مستمر } أي دائم الشؤم استمر على جميعهم بنحو سنة فلم يبق منهم أحد إلا هلك فيه .

وقيل : كان ذلك اليوم يوم الأربعاء في آخر الشهر ."
54,20,{ تنزع الناس } أي الريح تقلعهم ثم ترمي بهم على رؤوسهم فتدق رقابهم .   قيل : كانت تنزعهم من حفرهم { كأنهم أعجاز نخل } قال ابن عباس : أصول نخل { منقعر } أي منقطع من مكانه ساقط على الأرض .   قيل : كانت الريح تبين رؤوسهم من أجسامهم فتبقي أجسامهم بلا رؤوس كعجز النخلة الملقاة .
54,23,{ كذبت ثمود بالنذر } أي بالإنذار الذي جاء به صالح .
54,24,{ فقالوا أبشراً منا واحداً } يعني آدمياً واحداً منا { نتبعه } أي ونحن جماعة كثيرون { إنا إذاً لفي ضلال } أي خطأ وذهاب عن الصواب { وسعر } قال ابن عباس : عذاب .   وقيل : شدة عذاب وقيل إنا لفي عناء وعذاب مما يلزمنا من طاعته .   وقيل : لفي جنون .   وقيل : لفي بعد عن الحق .
54,25,{ أألقي الذكر عليه } يعني أأنزل الوحي عليه { من بيننا بل هو كذاب أشر } أي بطر متكبر يريد أن يتعظم علينا بادعائه النبوة .
54,26,{ سيعلمون غداً } أي حين ينزل بهم العذاب .   وقيل : يعني يوم القيامة وإنما ذكر الغد للتقريب { من الكذاب الأشر } أي صالح أم من كذبه .
