surah_number,ayah_number,tafsir_text
27,1,"قوله جل ذكره : { طس تلك ءايات القرءان وكتاب مبين } [ النمل : 1 ] .

بطهارةِ قُدّسِي وسناءٍ عِزِّي لا ُأخَيِّبُ أَمَلَ من أَمَّلَ لطفي .

بوجود بِرِّي تطيب قلوبُ أوليائي ،   وبشهود وجهي تغيب أسرار أصفيائي .

طَلَبُ القاصدين مُُقَابَلٌ بلطفي ،   وسَعْيُ العاملين مشكورٌ بعطفي .

{ تِلْكَ ءَايَاتُ الْقُرْءَانِ وَكِتَابٍ مُّبِينٍ } [ النحل : 1 ] : هذه دلالات كَرَمِنا ،   وأماراتُ فضلنا وشواهدُ بِرِّنا ،   نُبَيِّنُ لأوليائنا صِدْقَ وَعْدِنا ،   ونُحقِّقُ للأصفياء حِفْظَ عَهْدِنا ."
27,2,هذه الآياتُ وهذا الكتابُ بيانٌ وشِفاءٌ ،   ونورٌ وضياءٌ ،   وبشرى ودليلٌ لِمَنْ حققنا لهم الإيمان ،   وأَكَّدْنا لهم الضمان ،   وكفلنا لهم الإحسان .
27,3,يديمون الصلوات ،   ويستقيمون في آداب المناجاة ويؤدون عن أموالهم وأحوالهم وحركاتِهم وسكناتِهم الزكاة ،   بما يقومون في حقوق المسلمين أحسنَ مقام ،   وينوبون عن ضعفائهم أحسنَ مناب .
27,4,أغشيناهم فَهُم لا يُبْصِرُون ،   وعَمَّيْنَا عليهم المسالكَ فهم عن الطريقة المُثْلَى يَعْدِلون ،   أولئك الذين في ضلالتهم يعمهون ،   وفي حيرتهم يَتَرَدُّون .
27,5,{ سُوءُ الْعَذَابِ } أن يجد الآلام ولا يجد التسلِّي بمعرفة المُسَلِّي ،   ويحمل البلاَءَ ولا يحمل عنه ثقلَه وعذابَه شهودُ المُبْلِي .   .   وذلك للكفار ،   فأمّا المؤمنون فيُخَفِّفُ عنهم العذابَ في الآخرةِ حُسْنُ رجائِهم في الله ،   ثم تضرُّعُهم إلى الله ،   ثم فَضْلُ الله معهم بالتخفيف في حال البلاء ثم ما وقع عليهم من الغشي والإفاقة - كما في الخبر - إلى وقت إخراجهم من النار .
27,6,أي أن الذي أكرمكَ بإنزال القرآن عليك هو الذي يحفظك عن الأسواء والأعداء وصنوف البلاء .
27,7,"سار موسى بأهله من مدين شعيب متوجهاً إلى مصر ،   ودَجَا عليه الليلُ ،   وأخذ امرأتَه الطَّلْقُ وهَبَّت الرياحُ الباردة ،   ولم يورِ الزَّنْد ،   وضاق على موسى الأمرُ ،   واستبهم الوقتُ ،   وتشتتت به الهمة ،   واستولى على قلبه الشغل .   ثم رأى ناراً من بعيد ،   فقال لأهله : امكثوا إنِّي أبصرتُ ناراً .   وفي القصة : إنه تشتت أغنامُه ،   وكانت له بقور وثيران تحمل متاعَه فشردت ،   فقالت امرأتُه :

كيف تتركنا وتمضي والوادي مسبع ؟ ! .

فقال : امكثوا .   .   فإني لأجلكم أمضي وأتعرف أمرَ هذه النار ،   لَعَلِّي آتيكم منها إِمَّا بِقَبَسٍ أو شعلةٍ ،   أو بخبرٍ عن قوم نُزُولٍ عليها تكون لنا بهم استعانة ،   ومن جهتهم انتفاع .   وبَدَتْ لعينه تلك النارُ قريبةً ،   فكان يمشي نحوها ،   وهي تتباعد حتى قَرُب منها ،   فرأى شجرةً رطبةً خضراءَ تشتعل كلُّها من أولها إلى آخرها ،   وهي مضيئة ،   فَجَمَعَ خُشَيْبَاتٍ وأراد أن يقتبس منها ،   فعند ذلك سمع النداءَ من الله لا من الشجرة كما تَوَهَّم المخالِفون من أهل البدع .   وحصل الإجماعُ أَنَّ موسى سمع تلك الليلة كلامَ الله ،   ولو كان النداء في الشجرة لكان المتكلم به الشجرة ،   ولأجل الإجماع قلنا : لم يكن النداء في الشجرة وإلا فنحن نجوّز أن يخلق الله نداءً في الشجرة ويكون تعريفاً ،   ولكن حينئذٍ يكون المتكلم بذلك الشجرة .

ولا يُنْكر في الجواز أن يكون الله أسمع موسى كلامه بإسماع خلقه له ،   وخَلَقَ كلاماً في الشجرة أيضاً ،   فموسى سمع كلامَه القديم وسمع كلاماً مخلوقاً في الشجرة .   .   .   وهذا من طريق العقل جائز ."
27,8,"أي بورِكَ مَنْ هو في طلب النار ومَنْ هو حول النار .

ومعنى بورِكَ لَحِقَتْه البركةُ أو أصابته البَرَكةُ .   .   .   والبركةُ الزيادةُ والنَّماءُ في الخير .

والدعاء مِنَ القديم - سبحانه - بهذا يكون تحقيقاً له وتيسيراً به ."
27,9,الذي يُخَاطِبُكَ أنا اللَّهُ { الْعَزِيزُ } في استحقاق جلالي ،   { الْحَكِيمُ } في جميع أفعالي .
27,10,"في آية أخرى بَيَّنَ أنه سأله ،   وقال له على وجه التقرير : { وَمَا تِلْكَ بِيَمِينِكَ يَا مُوسَى }

[ طه : 17 ] وأجابه بقوله : { هِىَ عَصَاىَ } [ طه : 17 ] وذَكَرَ بعضَ مَا لَه فيها من المآرب والمنافع ،   فقال الله : { وََألْقِ عَصَاكَ } ،   وذلك لأنه أراد أَنْ يُرِيَه فيها من عظيم البرهان ما يجعل له كمالَ اليقين .

وألقاها موسى فَقَلَبَهَا اللَّهُ ثعباناً ،   أولاً حيةً صغيرةً ثم صارت حيةً كبيرةً ،   فأوجس في نفسه موسى خيفةً وولَّى مُدْبِراً هارباً ،   وكان خوفه من أن يُسَلِّطَهَا عليه لمَّا كان عارفاً بأن الله يعذِّب مَنْ يشاء بما يشاء ،   فقال له الحقُّ : { يَا مُوسَى لاَ تَخَفْ إِنِّى لاَ يَخَافُ لَدَىَّ الْمُرْسَلُونَ } .

أي لا ينبغي لهم أن يخافوا ."
