surah_number,ayah_number,tafsir_text
30,1,{  آلم غُلِبَتِ الرُّومُ } ساكن لأنه جرى مجرى فواتح سائر السور اللواتي مجازهن مجاز حروف التهجي ومجاز موضعه في المعنى كمجاز ابتداء فواتح سائر السور .
30,4,{  فيِ بِضْعِ سِنِينَ } والبضع ما بين ثلاث سنين وخمس سنين .
30,6,"{  وَعْدَ الّلهِ لاَ يُخْلِفُ اللهُ وَعْدَهُ } {  وعد الله } منصوب من موضعين أحدهما :  على قولك :  وهم من بعد غلبهم سيغلبون ،  وعداً من الله فصار في موضع مصدر {  سيغلبون } وقد ينصبون المصدر إذا كان غير المصدر الفعل الذي قبله لأنه في موضع مصدر ذلك الفعل ،  والثاني :  لأنه قد يجوز أن يكون في موضع  "" فعل ""  وفي موضع  "" يفعل ""  منه قال أبو عمرو بن العلاء والبيت لكعب :

تَسَعى الوُشاةُ جنَابَيها وقِيلَهمُ *** إنك يا بن أبي سُلْمَى لمَقتولُ

أي ويقولون فلذاك نصب  "" وقيلَهم ""  ."
30,9,{  وَأَثَارُوا الأَرْضَ وَعَمَرُوهَا } أي استخرجوها ،  ومنه قولهم :  أثار ما عندي :  أي استخرجه ، وأثار القوم :  أي استخرجهم .
30,12,"{  وَيَوْمَ تَقومُ السَّاعَةُ يُبْلِسُ الْمُجْرِمُونَ } أي يتندمون ويكتئبون وييأسون .

قال العجاج :

يا صاح هل تعرف رَسْماً مُكرَساً *** قال نعم أعرفه وأَبْلسَا"
30,15,"{  في رَوْضَة يُحْبَرُونَ } مجازه :  يفرحون ويسرون وليس شيء أحسن عند العرب من الرياض المعشبة ولا أطيب ريحاً قال الأعشى :

ما روضةٌ من رِياض الحَزْن مُعْشِيبةٌ *** خَضراءُ جادَ عليها مُسبِلٌ هَطِلٌ

يوماً بأَطْيبَ مِنها نَشْر رَائحةٍ *** ولا بأَحسنَ منها إذ دنَا الأُصُلُ

وقال العجاج :

والحمد لله الذي أعطى الحَبْر *** مَوالِيَ الحقِّ إنّ المَوْلَى شَكرْ

ويقال في المثل :  مليت بيوتهم حبرةٍ فهم ينتظرون العبرة ."
30,23,{  مَنَامُكُمْ بِالَّلْيِل وَالنَّهَارِ } وهي من مصادر النوم بمنزلة قام يقوم مقاما ،  وقال يقول مقالاً .
30,26,{  كُلٌّ لَّهُ قاَنتِونَ } أي مطيعون و {  كلٌ } لفظه لفظ الواحد ويقع معناه على الجميع فهو هاهنا جميع وفي الكلام :  كل له مطيع أيضاً .
30,27,"{  وَهُوَ الَّذِي يَبْدَؤُ الخَلْقَ ثُمَّ يُعِيدُهُ } مجازه أنه خلقه ولم يكن من البدء شيئا ثم يحيه بعد موته {  وَهُوَ أَهْوَنُ عَلَيْهِ } فجاز مجازه :  وذلك هين عليه لأن  "" أفعل ""  يوضع في موضع الفاعل قال :

لعمرك ما أدري وإني لأَوْجَلُ *** على أيَّنا تعدو المَنِيَّة أوَّلُ

أي وإني لواجلٌ أي لوجلٌ ،  وقال :

فتلك سبيلٌ لست فيها بأَوْحَدِ ***

أي بواحد وفي الأذان :  الله أكبر أي الله كبير .  وقال الشاعر :

أصبحتُ أمنحُك الصُّدُودَ وإنني *** قسماً إليك مع الصدود لأَميَلُ

وقال الفرزدق :

إن الذي سَمَكَ السماء بَنَى لنا *** بيتا دعائمُه أَعزُّ وأطوَلُ

أي عزيزة طويلة ،  فإن احتج محتجٌ فقال إن الله لا يوصف بهذا وإنما يوصف به الخلق فزعم أنه وهو أهون على الخلق وإن الحجة عليه قول الله {  وَكَانَ ذَلِكَ عَلَى اللّهِ يَسيراً } وفي آية أخرى {  وَلاَ يَؤُدُهُ حِفْظُهمَا } أي لا يثقله ."
30,30,"{  فِطْرَةَ اللهِ الَّتي فَطَرَ النَّاسَ عَلَيْهَا } أي صبغة الله التي خلق عليها الناس ،  وفي الحديث :  كل مولود يولد على الفطرة حتى يكون أبواه الذين يهودانه وينصرانه أي على الملة والصبغة وهي واحدة وهي العهد الذي كان أخذه الله منهم ونصبوها على موضع المصدر وإن شئت فعلى موضع الفعل قال :

إنّ نِزاراً أَصبحت نِزارا ً*** دعوة أبرارٍ دعوا أبرارا"
30,31,{  مُنِيبِينَ إِلَيْهِ } أي راجعين تائبين .
30,32,"{  كَانُوا شِيَعاً } أي أحزاباً فرقا .

{  كلُّ حِزْبٍ بِمَا لَدَيْهِمْ فَرِحُونَ } أي كل شيعة وفرقة بما عندهم"
30,34,فتمتعوا فسوف تعلمون مجازه مجاز التوعد والتهديد وليس بأمر طاعة ولا فريضة
30,36,"{  إذَا هُمْ يَقْنَطُونَ } أي يئسون قال حميد الأرقط :

قد وجدوا الحَجْاج غير قانطِ ***"
30,39,{  فلاَ يَرْبُو عِنْدَ اللّهِ } أي لا يزيد ولا يمني .
30,40,"{  اللهُ الَّذِي خَلَقَكُمْ ثُمَّ رِزَقَكْم ثمَّ يُمِيتُكُمْ ثُمَّ يُحْيِكُمْ هَلْ منْ شُرَكائِكْم مَن يَّفْعَلُ مِنْ ذلِكم مِّنْ شَيْءٍ سُبْحَانَهُ وَتَعَالى عَمَّا يُشْرِكُونَ } مجازه :  من يفعل من ذلكم شيئاً ،   "" من ""  من حروف الزوائد وقد أثبتنا تفسيره في غير مكان وجاء  "" من ذلكم ""  وهو واحد وقبله جميع قال :  {  خلقكم ثم رزقكم ثم يميتكم ثم يحيكم } والعرب قد تفعل مثل ذلك قال رؤبة بن العجاج :

فيها خطوطُ مِن سَوادٍ وبَلَقْ *** كأنه في الجِلد توليع البَهَقْ

يريد كأن ذاك ولم يرد خطوطاً فيؤنثه ولا سواداً أو بلقاً فيثنيه وهذا كله يحاجهم به القرآن وليس باستفهام ب {  هل } ومعناه :  ما من شركائكم مني فعل ذلك ،  ومجاز {  سبحانه } مجاز موضع التنزيه والتعظيم والتبرؤ قال الأعشى :

أقول لمّا جاءني فخرهُ *** سُبْحاَن مِن عَلْقَمة الفاخرِ

يتبرؤ من ذلك له  ؛  وتعالى أي علا عن ذلك ."
30,43,{  يَوْمَئِذِ يَّصَّدَّعُونَ } أي يتفرقون ويتخاذلون .
30,44,"{  مَنْ عَمِل صَالِحاً فَلأِنْفُسِهِمْ يَمْهَدُونَ } مَن يقع على الواحد والاثنين والجميع من المذكر والمؤنث ومجازها هاهنا مجاز الجميع  "" ويَمهَد ""  أي يكتسب ويعمل ويستعد قال سليمان بن يزيد العدوي :

أمهِدْ لنفسك حان السُقم والتلَف *** ولا تُضِعينّ نفساً مالها خَلَفُ"
30,48,"{  فَتُثِيرُ سَحاَباً } مجازه :  تجمع وتستخرج .

{  الوَدْقَ } والقطر واحد قال :

فلا مُزْنةٌ ودقت وَدْقَها *** ولا أرضٌ أبقل أبقالها

{  مِنْ خِلاَلِهِ } أي من بينه ."
30,50,{  فَانْظُرْ إِلى آنَارِ رَحْمَةِ اللِه كَيْفَ يُحْيِ الأرْضَ بَعْدَ مَوْتِهَا إِنَّ ذَلِكَ لَمُحْيي الْمَوْتَى وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ } المحيي الموتى هو الله ولم تقع هذه الصفة على رحمة الله ولكنها وقعت على أن الله هو محيي الموتى وهو على كل شيء قدير .  والعرب قد تفعل ذلك فتصف الآخر وتترك الأول يقولون :  رأيت غلام زيدٍ أنه عنه لحليم أي أن زيداً عن غلامه وعن غيره لحليم .
30,51,{  وَلَئِنْ أَرْسَلْنَا رِيحاً فَرَأَوْهُ مُصْفَرّاً } الهاء هاهنا للأثر كقولك :  فرأوا الأثر مصفراً ومعناه النبات .
30,54,"{  خَلَقَكُمْ مِنْ ضَعْفٍ } أي صغاراً أطفالاً .

{  ثُمَّ جَعَلَ مِن بَعْدِ ضُعْفٍ قُوَّةً ثُمَّ جَعَلَ مِنْ بَعْدَ قُوَّةٍ ضَعْفاً وَشِيبَةً } أي الكبر بعد القوة ."
30,59,{  كَذَلِكَ يَطْبَعُ اللّهُ } يقال للسيف إذا جرب وصديء :  قد طبع السيف وهو أشد الصدأ .
