surah_number,ayah_number,tafsir_text
71,1,{ إنا أرسلنا نوحاً إلى قومه أن أنذر قومك } بأن أنذر قومك ،   { من قبل أن يأتيهم عذاب أليم } المعنى : إنا أرسلناه لينذرهم بالعذاب إن لم يؤمنوا .
71,2,{ قال يا قوم إني لكم نذير مبين } أنذركم وأبين لكم .
71,4,{ أن اعبدوا الله واتقوه واطيعون .   يغفر لكم من ذنوبكم } من صلة ،   أي : يغفر لكم ذنوبكم .   وقيل : يعني ما سلف من ذنوبكم إلى وقت الإيمان ،   وذلك بعض ذنوبهم ،   { ويؤخركم إلى أجل مسمى } أي : بما فيكم إلى منتهى آجالكم فلا يعاقبكم ،   { إن أجل الله إذا جاء لا يؤخر لو كنتم تعلمون } يقول : آمنوا قبل الموت ،   تسلموا من العذاب ،   فإن أجل الله إذا جاء لا يؤخر ولا يمكنكم الإيمان .
71,6,{ قال ب إني دعوت قومي ليلا ونهارا .   فلم يزدهم دعائي إلا فرارا } نفاراً وإدباراً عن الإيمان .
71,7,{ وإني كلما دعوتهم } إلى الإيمان بك ،   { لتغفر لهم جعلوا أصابعهم في آذانهم } لئلا يسمعوا دعوتي ،   { واستغشوا ثيابهم } غطوا بها وجوههم لئلا يروني ،   { وأصروا } على كفرهم ،   { واستكبروا } عن الإيمان بك .   { استكباراً .   }
71,8,{ ثم إني دعوتهم جهارا } معلناً بالدعاء .   قال ابن عباس : بأعلى صوتي .
71,9,{ ثم إني أعلنت لهم } كررت الدعاء معلناً ،   { وأسررت لهم إسراراً } قال ابن عباس : يريد الرجل بعد الرجل ،   أكلمه سراً بيني وبينه ،   أدعوه إلى عبادتك وتوحيدك .
71,11,{ فقلت استغفروا ربكم إنه كان غفارا .   يرسل السماء عليكم مدراراً } وذلك أن قوم نوح لما كذبوه زماناً طويلاً حبس الله عنهم المطر وأعقم أرحام نسائهم أربعين سنة ،   فهلكت أولادهم أموالهم ومواشيهم ،   فقال لهم نوح : استغفروا ربكم من الشرك ،   أي استدعوا المغفرة بالتوحيد ،   يرسل السماء عليكم مدراراً .   روى مطرف عن الشعبي أن عمر رضي الله تعالى عنه خرج يستسقي بالناس ،   فلما يزد على الاستغفار حتى رجع ،   فقيل له : ما سمعناك استسقيت ؟ فقال .   طلبت الغيث بمجاديح السماء التي يستنزل بها القطر ،   ثم قرأ : { استغفروا ربكم إنه كان غفارا * يرسل السماء عليكم مدرارا } .
71,12,{ ويمددكم بأموال وبنين } قال عطاء : يكثر أموالكم وأولادكم .   { ويجعل لكم جنات ويجعل لكم أنهاراً .   }
71,13,{ ما لكم لا ترجون لله وقاراً } قال ابن عباس ومجاهد : لا ترون له عظمة .   وقال سعيد بن جبير : ما لكم لا تعظمون الله حق عظمته .   وقال الكلبي : لا تخافون الله حق عظمته .   والرجاء : بمعنى الخوف ،   و{ الوقار } : العظمة ،   اسم من التوقير وهو التعظيم .   قال الحسن : لا تعرفون لله حقاً ولا تشكرون له نعمة .   قال ابن كيسان : ما لكم لا ترجون في عبادة الله أن يثيبكم على توقيركم إياه خيراً .
71,14,{ وقد خلقكم أطواراً } تارات ،   حالاً بعد حال ،   نطفة ثم علقة ثم مضغة إلى تمام الخلق .
71,16,{ ألم تروا كيف خلق الله سبع سماوات طباقا .   وجعل القمر فيهن نوراً } قال الحسن : يعني في السماء الدنيا ،   كما يقال : أتيت بني تميم ،   وإنما أتى بعضهم ،   وفلان متوار في دور بني فلان وإنما هو في دار واحدة .   وقال عبد الله بن عمرو : إن الشمس والقمر وجوههما إلى السماوات ،   وضوء الشمس ونور القمر فيهن واقفيتهما إلى الأرض .   ويروى هذا عن ابن عباس .   { وجعل الشمس سراجاً } مصباحاً مضيئاً
71,17,{ والله أنبتكم من الأرض نباتاً } أراد مبدأ خلق أبي البشر آدم ،   خلقه من الأرض ،   والناس ولده ،   وقوله : { نباتاً } اسم جعل في موضع المصدر أي إنباتاً ،   قال الخليل : مجازه : فنبتم نباتاً .
71,18,{ ثم يعيدكم فيها } بعد الموت ،   { ويخرجكم } منها يوم البعث أحياء .   { إخراجاً .   }
71,19,{ والله جعل لكم الأرض بساطاً } فرشها وبسطها لكم .
71,20,{ لتسلكوا منها سبلاً فجاجا } طرقاً واسعة .
71,21,{ قال نوح رب إنهم عصوني } يعني لم يجيبوا دعوتي ،   { واتبعوا من لم يزده ماله وولده إلا خساراً } يعني : اتبع السفلة والفقراء القادة والرؤساء الذين لم يزدهم كثرة المال والولد إلا ضلالاً في الدنيا وعقوبة في الآخرة .
