surah_number,ayah_number,tafsir_text
16,8,قال {  وَالْخَيْلَ وَالْبِغَالَ وَالْحَمِيرَ لِتَرْكَبُوهَا } ( 8 ) نصب .  أي :  وَجَعَلَ اللهُ الخَيْلَ والبغَال والحميرَ وَجَعَلَها ( زِينَةً ) ( 8 ) .
16,9,وقال {  وَمِنْهَا جَائِرٌ } ( 9 ) أي :  ومن السبيلِ [ 134 ب ] لأَنَّها مؤنثة في لغة أهل الحجاز .
16,12,"وقال {  وَالْنُّجُومُ مُسَخَّرَاتٌ } ( 12 ) فعلى  "" سُخِّرَتْ النُّجُومُ ""  أَوْ  "" جَعَلَ النُّجُومَ مُسَخَّراتٍ ""  وجاز إضمار فعل غير الأول لأن ذلك المضمر في المعنى مثل المظهر .  وقد تفعل العرب ما هو أشد من ذا .  قال الراجز :  [ وهو الشاهد الثامن والثلاثون بعد المئتين ] :

تَسْمَعُ فِي أَجْوافِهِنَّ صَرَدَا *** وَفِي اليَدَيْنِ جُسْأَةً وَبَدَدا

فهذا على {  وَتَرَى في اليَدَيْنِ الجُسْأَة } [ وهي ] :  اليَبَس والبَدَدَ [ وهو ]* :   "" السَّعَة ""  ."
16,13,وقال {  وَمَا ذَرَأَ لَكُمْ فِي الأَرْضِ مُخْتَلِفاً أَلْوَانُهُ } ( 13 ) يقول :  خَلَقَ لكم وبَثَّ لَكُمْ .
16,21,وقال {  أَمْواتٌ غَيْرُ أَحْيَاءٍ } ( 21 ) على التوكيد .
16,30,"وقال {  وَقِيلَ لِلَّذِينَ اتَّقَوْاْ مَاذَا أَنْزَلَ رَبُّكُمْ قَالُواْ خَيْراً } ( 30 ) فجعل  "" ماذا ""  بمنزلة  "" ما ""  وحدها ."
16,37,"وقال {  إِن تَحْرِصْ } ( 37 ) لأنها من  "" حَرَصَ ""   "" يَحْرِصُ ""  ."
16,48,"وإذا وقفت على ( يَتَفَيّؤُا ) ( 48 ) قلت  "" يَتَفَيَّأْ ""  كما تقول بالعين  "" تَتَفَّيعْ ""  جزما وإن شئت أشممتها الرفع ورمته كما تفعل ذلك في  "" هذا حَجَرُ ""  .

وقال {  عَنِ الْيَمِينِ وَالْشَّمَائِلِ سُجَّداً لِلَّهِ وَهُمْ دَاخِرُونَ } ( 48 ) فذكروهم غير الإنس لأنه لما وصفهم بالطاعة أشبهوا ما يعقل وجعل اليمين للجماعة مثل {  وَيُوَلُّونَ الدُّبُرَ } ."
16,49,"وقال {  وَلِلَّهِ يَسْجُدُ مَا فِي السَّمَاوَاتِ وَمَا فِي الأَرْضِ مِن دَابَّةٍ } ( 49 ) يريد :  من الدواب [ 144 ء ] واجتزأ بالواحد كما تقول :   "" ما أَتاَنِي من رَجُلٍ ""  أي :  ما أتاني من الرجال مثله ."
16,53,وقال {  وَمَا بِكُم مِّن نِّعْمَةٍ فَمِنَ اللَّهِ } ( 53 ) لأنَّ ( ما ) بمنزلة ( من ) فجعل الخبر بالفاء .
