surah_number,ayah_number,tafsir_text
6,6,"قوله تبارك وتعالى :  {  أَلَمْ يَرَوْاْ كَمْ أَهْلَكْنا مِن قَبْلِهِم مِّن قَرْنٍ .  .  .  }

القرن ثمانون سنة .  وقد قال بعضهم :  سبعون ."
6,9,"وقوله :  {  وَلَوْ جَعَلْناهُ مَلَكاً لَّجَعَلْناهُ رَجُلاً .  .  .  }

في صورة رجل ؛  لأنهم لا يقدرون على النظر إلى صُورة المَلَك ."
6,12,"وقوله :  {  كَتَبَ على نَفْسِهِ الرَّحْمَةَ .  .  .  }

إن شِئت جعلت ( الرحمة ) غاية كلام ،  ثم استأنفت بعدها {  ليَجْمَعَنَّكم } وإن شِئت جعلته في موضع نصب ؛  كما قال :  {  كَتَب ربكم على نفسِهِ الرحمة أَنه من عمل مِنكم } والعرب تقول في الحروف التي يَصْلح معها جواب الأَيْمان بأن المفتوحة وباللام .  فيقولون :  أرسلت إليه أن يقوم ،  وأرسلت إليه ليقومنّ .  وكذلك قوله :  {  ثم بدا لهم مِن بعدِ ما رأَوُا الآياتِ ليسجُنُنَّهُ } وهو في القرآن كثير ؛  ألا ترى أنك لو قلت :  بدا لهم أن يسجنوه كان صوابا ."
6,14,"وقوله :  {  قُلْ أَغَيْرَ اللَّهِ أَتَّخِذُ وَلِيّاً فَاطِرِ السَّماوَاتِ .  .  .  }

مخفوض في الإعراب ؛  تجعله صفة من صفات الله تبارك وتعالى .  ولو نصبته على المدح كان صوابا ،  وهو معرفة .  ولو نويت الفاطرَ الخالِق نصبته على القطع ؛  إذ لم يكن فيه ألف ولام .  ولو استأنفته فرفعته كان صوابا ؛  كما قال :  ( ربُّ السماوات والأَرضِ وما بينهما الرحمن ) ."
6,18,"وقوله :  {  وَهُوَ الْقَاهِرُ فَوْقَ عِبَادِهِ .  .  .  }

كلُّ شيء قهر شيئا فهو مُسْتعلٍ عليه ."
6,19,"وقوله :  {  لأُنذِرَكُمْ بِهِ وَمَن بَلَغَ .  .  .  }

يريد :  ومن بلغه القرآن من بعدكم ،  و( بلغ ) صِلة ل ( من ) .  ونصبت ( من ) بالإنذار .  وقوله :  {  آلِهَةً أُخْرَى } ولم يقل :  أُخَر ؛  لأن الآلهة جمع ،  ( والجمع ) يقع عليه التأنيث ؛  كما قال الله تبارك وتعالى :  {  ولِلّهِ الأَسماء الحسنى } وقال الله تبارك وتعالى :  {  فما بال القُرونِ الأُولى } ولم يقل :  الأُوَل والأوّلين .  وكلّ ذلك صواب ."
6,20,"وقوله :  {  يَعْرِفُونَهُ كَما يَعْرِفُونَ أَبْناهُمُ .  .  .  }

ذُكر أنّ عمر بن الخطاب قال لعبد الله بن سَلاَم :  ما هذه المعرفة التي تعرفون بها محمد صلى الله عليه وسلم ؟  قال :  والله لأَنابِهِ إذا رأيته أعرفُ مِنى بابني وهو يلعب مع الصبيان ؛  لأني لا أشكُّ فيه أنه محمد صلى الله عليه وسلم ؛  ولست أدرى ما صنع النساء في الابن .  فهذه المعرفة لصفته في كتابهم .

وجاء التفسير في قوله :  {  خَسِرُواْ أَنْفُسَهُمْ } يقال :  ليس من مؤمن ولا كافر إلا له منزل في الجنة وأهل وأزواج ،  فمن أسلم وسعد صار إلى منزله وأزواجه ( ومن كفر صار منزله وأزواجه ) إلى من أسلم وسعد .  فذلك قوله {  الذِين يَرِثُون الفِردوسَ } يقول :  يرثون منازل الكفار ،  وهو قوله :  {  الذِين خسِروا أنفسهم وأهليهم } ."
6,23,"وقوله :  {  وَاللَّهِ رَبِّنا ما كُنا مُشْرِكِينَ .  .  .  }

تقرأ :  ربِّنا وربَّنا خفضا ونصبا .  قال الفرّاء :  وحدّثني الحسن بن عيَّاش أخو أبى بكر بن عياش عن الأعمش عن الشعبيّ عن علقمة أنه قرأ {  واللّهِ ربَّنا } قال :  معناه :  والله يا ربَّنا .  فمن قال {  ربِّنا } جعله محلوفا به ."
6,32,"وقوله :  {  وَلَلدَّارُ الآخِرَةُ .  .  .  }

جعلت الدار ها هنا اسما ،  وجُعِلت الآخِرة من صفتها ،  وأضيفت في غير هذا الموضع .  ومثله مما يضاف إلى مثله في المعنى قوله {  إِنّ هذا لهو حَقُّ اليَقِين } والحق هو اليقين ؛  كما أَنّ الدار هي الآخرة .  وكذلك أتيتك بارحة الأولى ،  والبارحة الأولى .  ومنه :  يوم الخميس ،  وليلة الخميس .  يضاف الشيء إلى نفسه إذا اختلف لفظه ؛  كما اختلف الحق واليقين ،  والدار [ و ] والآخرة ،  واليوم الخميس .  فإذا اتفقا لم تقل العرب :  هذا حقُّ الحقّ ،  ولا يقين اليقين ؛  لأنهم يتوهمون إذا اختلفا في اللفظ أنهما مختلفان في المعنى .  ومثله في قراءة عبد الله {  وذلك الدِين القَيِّمة } وفي قراءتنا {  دِين القَيِّمة } والقَيِّمُ والقَيِّمة بمنزلة قولك :  رجل راوية وَهابة للأموال ؛  ووهاب وراو ،  وشبهه ."
6,33,"وقوله :  {  فَإِنَّهُمْ لاَ يُكَذِّبُونَكَ .  .  .  }

قرأها العامَّة بالتشديد .  قال :  حدّثنا الفراء قال حدّثني قيس بن الربيع الاْسَدىّ عن أبى إسحاق السَبِيعىّ عن ناجية بن كعب عن على أنه قرأ {  يُكْذِبونك } مخفّفة .  ومعنى التخفيف - والله أعلم - :  لا يجعلونك كذَّابا ،  وإنما يريدون أن ما جئت به باطل ؛  لأنهم لم يجرّبوا عليه صلى الله عليه وسلم كذبا فيكذِّبوه وإنما أكذبوه ؛  أي ما جئت به كذب لا نعرفه .  والتكذيب :  أن يقال :  كَذَبت .  والله أعلم ."
6,35,"وقوله :  {  فَإِن اسْتَطَعْتَ أَن تَبْتَغِيَ نَفَقاً فِي الأَرْضِ أَوْ سُلَّما فِي السَّماء فَتَأْتِيَهُمْ بِآيَةٍ .  .  .  }

فافعل ،  مضمَرة ،  بذلك جاء التفسير ،  وذلك معناه .  وإنما تفعله العرب في كل موضع يُعرف فيه معنى الجواب ؛  ألا ترى أنك تقول للرجل :  إن استطعت أن تتصدق ،  إن رأيت أن تقوم مَعَنا ،  بترك الجواب ؛  لمعرفتك بمعرفته به .  فإذا جاء ما لا يُعرف جوابه إلا بظهوره أظهرته ؛  كقولك للرجل :  إن تقم تُصِب خيرا ،  لا بدّ في هذا من جواب ؛  لأن معناه لا يُعرف إذا طُرح ."
6,38,"وقوله :  {  وَما مِن دَابَّةٍ فِي الأَرْضِ وَلاَ طَائرٍ يَطِيرُ بِجَناحَيْهِ .  .  .  }

( الطائر ) مخفوض .  ورفعه جائز ( كما تقول :  ماعندي من ) رجل ولا امرأةٍ ،  وامرأةٌ ؛  من رفع قال :  ما عندي من رجلٍ ولا عندي امرأة .  وكذلك قوله :  {  وما يعزُبُ عن ربِّك مِن مِثقالِ ذرةٍ } ثم قال {  ولا أصغرَ مِن ذلك ،  ولا أَصغرُ  ،  ولا أَكبرَ ،  ولا أَكبرُ } إذا نصبت ( أصغر ) فهو في نيَّة خفض ،  ومَن رفع ردّه على المعنى .

وأَما قوله {  وَلاَ طَائرٍ يَطِيرُ بِجَناحَيْهِ } فإنّ الطائر لا يطير إلا بجناحيه .  وهو في الكلام بمنزلة قوله {  له تِسع وتسعون نعجة [ ولى نعجة ] أنثى } ،  وكقولك للرجل :  كلَّمته بفي ،  ومشيت إليه على رِجْلَيّ ،  إبلاغا في الكلام .

يقال :  إنّ كل صنف من البهائم أمّة ،  والعرب تقول صِنْف [ وصَنْف ] .

{  ثم إِلى ربِّهِم يحشرون } حَشْرها :  موتها ،  ثم تحشر مع الناس فيقال لها :  كوني ترابا .  وعند ذلك يتمنّى الكافر أنه كان ترابا مِثلها ."
6,40,"وقوله :  {  قُلْ أَرَأَيْتُكُم .  .  .  }

العرب لها في ( أرأيت ) لغتان ،  ومعنيان .  أحدهما أن يسأَل الرجلُ الرجل :  أرأيت زيدا بعينك ؟  فهذه مهموزة .  فإذا أوقعتها على الرجُل منه قلت :  أرأيتَك على غير هذه الحال ؟  تريد :  هل رأيتَ نفسك على غير هذه الحال .  ثم تثنّى وتجمع ،  فتقول للرجلين :  أرايتماكما ،  وللقوم :  أَرَأَيتموكم ،  وللنسوة :  أَرَأَيْتُنَّكُنَّ ،  وللمرأة :  أَرَأَيْتِكِ ،  تخفض التاء والكاف ،  لا يجوز إلا ذلك .

والمعنى الآخر أن تقول :  أرأيتَكَ ،  وأنت تريد :  أَخبِرْني ( وتهمزها ) وتنصب التاء منها ؛  وتترك الهمز إن شئت ،  وهو أكثر كلام العرب ،  وتترك التاء موحَّدة مفتوحة للواحد والواحدة      [ والجميع في ] مؤنّثه ومذكّره .  فتقول للمرأة :  أرايتك زيدا هل خرج ،  وللنسوة :  أرأيتكن زيدا ما فعل .  وإنما تركت العرب التاء واحدة لأنهم لم يريدوا أن يكون الفعل منها واقعا على نفسها ،  فاكتفَوْا بذكرها في الكاف ،  ووجَّهوا التاء إلى المذكَّر والتوحيد ؛  إذ لم يكن الفعل واقعا .  وموضع الكاف نصب وتأويله رفع ؛  كما أنك إذا قلت للرجل :  دونك زيدا وجدت الكاف في اللفظ خفضا وفي المعنى رفعا ؛  لأنها مأمورة .

والعرب إذا أوقعَتْ فِعْل شيء على نفسه قد كُنِى فيه عن الاسم قالوا في الأفعال التامَّة غير ما يقولون في الناقصة .  فيقال للرجل :  قتلتَ نفسك ،  وأحسنت إلى نفسِك ،  ولا يقولون :  قتلتَكَ ولا أحسنتَ إليك .  كذلك قال الله تبارك وتعالى {  فاقتلوا أنفسكم } في كثير من القرآن ؛  كقوله {  وما ظلمناهم ولكِن ظلموا أنفسهم } فإذا كان الفعل ناقصا - مثل حسبت وظننت - قالوا :  أَظُنُّني خارجا ،  وأَحسِبني خارجا ،  ومتى تراك خارجا .  ولم يقولوا :  متى ترى نفسك ،  ولا متى تظنّ نفسك .  وذلك أنهم أرادوا أن يفرُقوا بين الفعل الذي قد يُلْغى ،  وبين الفعل الذي لا يجوز إلغاؤه ؛  ألا ترى أنك تقول :  أنا - أظن ّ- خارج ،  فتبطل ( أظنّ ) ويعمل في الاسم فعله .  وقد قال الله تبارك وتعالى {  إِن الإِنسان ليطغى .  أَن رآه استغنى } ولم يقل :  رأى نفسه .  وربما جاء في الشعر :  ضربتَكَ أو شبههُ من التامّ .  من ذلك قول الشاعر :

خُذَا حَذراً يا جارتىَّ فإننى *** رأيتُ جِرَان العَوْدِ قد كاد يُصْلح

لقد كان لي في ضَرّتين عدِمتُني *** وما كنت أَلقَى من رزينة أَبرحُ

والعربِ يقولون :  عدِمتُنِى ،  ووجدتُنى ،  وفقدتُنى ،  وليس بوجه الكلام ."
6,43,"وقوله :  {  فَلَوْلا إِذْ جاءهم بَأْسُنا تَضَرَّعُواْ .  .  .  }

معنى ( فلولا ) فهلاَّ .  ويكون معناها على معنى لولا ؛  كأنك قلت :  لولا عبد الله لضربتك .  فإذا رأيت بعدها اسما واحدا مرفوعا فهو بمعنى لولا التي جوابها اللام ؛  وإذا لم تر بعدها اسما فهي استفهام ؛  كقوله :  {  لولا أَخَّرْتَنِي إلى أَجلٍ قريب [ فأصدّق وأَكُن مِنَ الصالِحِين ] } وكقوله :  {  فلولا إِن كنتم غير مدِينين [ ترجِعونها إن كنتّم صادِقِين ] } وكذلك ( لوما ) فيها ما في لولا :  الاستفهام والخبر ."
6,44,"وقوله :  {  فَتَحْنا عَلَيْهِمْ أَبْوَابَ كُلِّ شَيْءٍ .  .  .  }

يعنى أبواب الرزق والمطر وهو الخير في الدنيا لنفتنهم فيه .  وهو مثل قوله :  {  حتى إذا أخَذَتِ الأَرْضُ زُخْرُفها وازَّيَّنَتْ وظنّ أَهْلُها أنهم قادِرون عليها أتاها أَمْرُنا ليلا أَوْ نهارا } ومثله {  وأن لوِ استقاموا على الطرِيقةِ لأسقيناهم ماء غدَقا لِنفتِنهم فيه } والطريقة طريقة الشِرْك ؛  أي لو استمرّوا عليها فعلنا ذلك بهم .

وقوله :  {  فَإِذَا هُمْ مُّبْلِسُونَ } المبلِس :  اليائس المنقطع رجاؤه .  ولذلك قيل للذي يسكت عند انقطاع حجته ولا يكون عنده جواب :  قد أبلس ؛  وقد قال الراجز :

يا صاحِ هل تعرف رَسْما مُكْرَسَا *** قال نعم أعرِفه ،  وأبلسا

أي لم يُحِرْ إلىّ جوابا ."
6,46,"وقوله :  {  يَأْتِيكُمْ بِهِ .  .  .  }

كناية عن ذهاب السمع والبصر والختم على الأفئدة .  وإذا كنيت عن الأفاعيل وإن كثرت وحَّدت الكناية ؛  كقولك للرجل :  إقبالك وإدبارك يؤذيني .  وقد يقال :  إن الهاء التي في ( به ) كناية عن الهدى ،  وهو كالوجه الأوّل ."
6,51,"وقوله :  {  وَأَنذِرْ بِهِ الَّذِينَ يَخَافُونَ أَن يُحْشَرُواْ إِلَى رَبِّهِمْ .  .  .  }

يقول :  يخافون أن يحشروا إلى ربهم عِلْما بأنه سيكون .  ولذلك فسّر المفسرون ( يخافون ) :  يعلمون ."
6,52,"وقوله :  {  وَلاَ تَطْرُدِ الَّذِينَ يَدْعُونَ رَبَّهُمْ .  .  .  }

يقول القائل :  وكيف يَطْرد رسول الله صلى الله عليه وسلم من يدعوا ربه حتى يُنْهي عن ذلك ؟  فإنه بلغنا أن عُيَيْنة بن حِصْن الفَزَارىّ دخل على النبىّ صلى الله عليه وسلم وعنده سَلْمان وبِلال وصُهَيب وأشباههم ،  فقال عُيَينة :  يا رسول الله لو نحَّيتَ هؤلاء عنك لأتاك أشراف قومك فأسلموا .  فأنزل الله تبارك وتعالى :  {  وَلاَ تَطْرُدِ الَّذِينَ يَدْعُونَ رَبَّهُمْ بِالْغَدَاةِ وَالْعَشِي } ."
6,54,"وقوله :  {  كَتَبَ رَبُّكُمْ على نَفْسِهِ الرَّحْمَةَ أَنَّهُ مَن عَمِلَ مِنكُمْ }

تكسر الألف من ( أنّ ) والتي بعدها في جوابها على الائتناف ،  وهي في قراءة القرّاء .  وإن شئت فتحت الألف من ( أنّ ) تريد :  كتب ربكم على نفسه أنه من عمل .  ولك في ( أنّ ) التي بعد الفاء الكسر والفتح .  فأما من فتح فإنه يقول :  إنما يحتاج الكتاب إلى ( أنّ ) مرة واحد ؛  ولكن الخبر هو موضعها ،  فلما دخلت في ابتداء الكلام أعيدت إلى موضعها ؛  كما قال :  {  أَيَعِدُكُمْ أَنَّكُمْ إِذَا مِتُّمْ وَكُنْتُمْ تُرَاباً وَعِظَاما أَنَّكُمْ مُخْرَجُونَ } فلما كان موقع أنّ :  أيعدكم أنكم مخرجون إذا متم دخلت في أوّل الكلام وآخره .  ومثله :  {  كُتِبَ عَلَيْهِ أَنّهُ مَنْ تَوَلاَّهُ فَأَنَّهُ يُضِلُّهُ } بالفتح .  ومثله :  {  أَلَمْ يَعْلَمُوا أَنَّهُ مَنْ يُحادِدِ اللّهَ وَرَسُولَهُ فَأَنّ لَهُ نارَ جَهَنَّمَ } ولك أن تكسر ( إن ) التي بعد الفاء في هؤلاء الحروف على الاستئناف ؛  ألا ترى أنك قد تراه حسنا أن تقول :   "" كتب أنه من تولاه فهو يضله ""  بالفتح .  وكذلك  "" وأصلح فهو غفور رحيم ""  لو كان لكان صوابا .  فإذا حسُن دخول ( هو ) حسن الكسر ."
6,55,"وقوله :  {  وَلِيَسْتَبِينَ سَبِيلُ الْمُجْرِمِينَ .  .  .  }

ترفع ( السبيل ) بقوله :  ( وليستبين ) لأنّ الفعل له .  من أنَّث السبيل قال :  {  وَلِتَسْتَبِينَ سَبِيلُ الْمُجْرِمِينَ } .  وقد يجعل الفعل للنبيّ صلى الله عليه وسلم فتنصب السبيل ،  يراد به :  ولتستبين يا محمد سبيلّ المجرمين ."
6,57,"وقوله :  {  إِنِ الْحُكْمُ إِلاَّ للَّهِ يَقُصُّ الْحَقَّ .  .  .  }

كتبت بطرح الياء لاستقبالها الألف واللام ؛  كما كتب {  سَنَدْعُ الزَّبَانيَةَ } بغير واو ،  وكما كتب {  فَما تُغْنِ النُّذُرُ } بغير ياء على اللفظ .  فهذه قراءة أصحاب عبد الله .  وذُكِر عن على أنه قال :  ( يَقُصُّ الْحَقَّ ) بالصاد .  قال حدّثنا الفرّاء قال :  وحدّثني سفيان بن عُيَينة عن عمرِو بنِ دينارٍ عن رجلٍ عن ابنِ عباسٍ أنه قرأ ( يقضِى بالحق ) قال الفرّاء :  وكذلك هي في قراءة عبد الله ."
6,59,"وقوله :  {  وَلاَ حَبَّةٍ فِي ظُلُماتِ الأَرْضِ }

يجوز رفعها ."
6,63,"وقوله :  {  قُلْ مَن يُنَجِّيكُمْ مِّن ظُلُماتِ الْبَرِّ وَالْبَحْرِ تَدْعُونَهُ تَضَرُّعاً وَخُفْيَةً }

يقال :  خُفيَة وخِفية .  وفيها لغة بالواو ،  - ولا تصلح في القراءة - :  خُفوة وخِفوة ؛  كما قيل :  قد حَلّ حُبْوته وحِبوته وحِبْيته .

وقوله :  {  لَّئِنْ أَنجَانا مِنْ هَذِهِ }

قراءة أهل الكوفة ،  - وكذلك هي في مصاحفهم -  "" أن جِ ى ن ألف ""  وبعضهم بالألف ( أنجانا ) وقراءة الناس ( أنجيتنا ) بالتاء ."
6,65,"وقوله :  {  قُلْ هُوَ الْقَادِرُ على أَن يَبْعَثَ عَلَيْكُمْ عَذَاباً }

كما فعل بقوم نوح :  المطر والحجارة والطوفان {  أَوْ مِن تَحْتِ أَرْجُلِكُمْ } :  الخَسْف {  أَوْ يَلْبِسَكُمْ شِيَعاً } :  يخلطكم شِيَعا ذوى أهواء ."
6,69,"وقوله :  {  وَلَكِن ذِكْرَى }

في موضع نصب أو رفع ؛  بفعل مضمر ؛  ( ولكِن ) نذكرهم ( ذِكرى ) والرفع على قوله ( ولكن ) هو ( ذكرى ) ."
6,70,"وقوله :  {  وَذَرِ الَّذِينَ اتَّخَذُواْ دِينَهُمْ لَعِباً وَلَهْواً .  .  .  }

يقال :  ليس من قوم إلاَّ ولهم عيد فهم يَلهُون في أَعيادهم ،  إلا أُمَّة محمد صلى الله عليه وسلم ؛  فإن أعيادهم بِرّ وصلاة وتكبير وخير .

وقوله :  {  وَذَكِّرْ بِهِ أَن تُبْسَلَ نَفْسٌ } أي ترتهن ( والعرب تقول :  هذا عليك بَسْل أي حرام .  ولذلك قيل :  أسَد باسل أي لا يُقْرَب ) والعرب تقول :  أعْطِ الراقِي بُسْلته ،  وهو أجر الرقية ."
