surah_number,ayah_number,tafsir_text
15,1,"بسم الله الرحمن الرحيم

قوله :  {  ألر تلك آيات الكتاب وقرآن مبين } قد فسّرناه في غير هذا الموضع .  0001"
15,2,"قوله :  {  رُّبَمَا يَوَدُّ الَّذِينَ كَفَرُوا لَوْ كَانُوا مُسْلِمِينَ } هو كقوله :  {  حَتَّى إِذَا جَاءَ أَحَدَهُمُ المَوْتُ قَالَ رَبِّ ارْجِعُونِ لَعَلِّي أَعْمَلُ صَالِحاً فِيمَا تَرَكْتُ } [ المؤمنون : 99-100 ] وكقوله :  {  يَا لَيْتَنَا نُرَدُّ ولاَ نُكَذِّبَ بِآيَاتِ رَبِّنَا وَنَكُونَ مِنَ المُؤْمِنِينَ } [ الأَنعام :  27 ] وكقوله :  {  ياَ لَيْتَنَا أَطَعْنَا اللهَ وَأَطَعْنَا الرَّسُولاَ } [ الأَحزاب : 66 ] .   وذلك لما رأوا من كرامة الله للمؤمنين وثوابه إياهم ،   فتمنّوا أن لو كانوا مسلمين ومؤمنين لينالوا ما نال المسلمون من ثواب الله وجزيل عطائه .

وقد تأوّلت الفرقة الشاكّة هذه الآية على غير تأويلها ،   وردّت على الله تنزيله ،   فقالوا :  هم قوم من أهل التوحيد يدخلون النار ،   فيعيّرهم أهل النار ،   ويقولون :  قد كان هؤلاء مسلمين فما أغنى عنهم ؛  قالوا :  فيغضب لهم ربهم فيخرجهم  زعموا  من النار ويدخلهم الجنة ،   قالوا :  فعند ذلك {  يَوَدُّ الَّذِينَ كَفَرُوا لَوْ كَانُوا مُسْلِمِينَ } .   فزعموا أن الله مخرج أقواماً من النار قد احترقوا وصاروا حمماً ،   فيدخلون الجنة ،   فيقول أهل الجنة هؤلاء الجهنّميون .   قالوا :  فيدعون ربّهم فيمحي ذلك الاسم عنهم ،   فيسمّون عتقاءَ ربّ العالمين ،   افتراء على الله ،   وكذباً عليه ،   وجحوداً بتنزيله إذ يقول :

{  بَلَى مَن كَسَبَ سَيِّئَةً } يعني الشرك {  وَأَحَاطَتْ بِهِ خَطِيئَتُهُ } يعني الكبائر الموبقة {  فَأُوْلَئِكَ أَصْحَابُ النَّارِ هُمْ فِيهَا خَالِدُونَ } [ البقرة : 81 ] وقال :  {  يُرِيدُونَ أَن يَخْرُجُوا مِنَ النَّارِ وَمَا هُم بِخَارِجِينَ مِنْهَا وَلَهُمْ عَذَابٌ مُّقِيمٌ } [ المائدة : 37 ] .   وقال :  {  وَلَهُمْ عَذَابٌ وَاصِبٌ } [ الصافات :  9 ] أي :  دائم لا ينقطع .   وقال :  {  لاَ يُفَتَّرُ عَنْهُمْ وَهُمْ فِيهِ مُبْلِسُونَ } [ الزخرف : 75 ] أي :  يائسون .   وقال :  {  كُلَّمَا أَرَادُوا أَن يَّخْرُجُوا مِنْهَا مِنْ غَمٍّ أُعِيدُوا فِيهَا وَذُوقُوا عَذَابَ الحَرِيقِ } [ الحج : 22 ] .   وقال :  {  لاَ يُقْضَى عَلَيْهِمْ فَيَمُوتُوا وَلاَ يُخَفَّفُ عَنْهُم مِّنْ عَذَابِهَا كَذَلِكَ نَجْزِي كُلَّ كَفُورٍ } [ فاطر : 36 ] وقال :  {  وَنَادَوْا يَا مَالِكُ لِيَقْضِ عَلَيْنَا رَبُّكَ قَالَ إِنَّكُم مَّاكِثُونَ } [ الزخرف : 77 ] وقال :  {  وَقَالَ الَّذِينَ فِي النَّارِ لِخَزَنَةِ جَهَنَّمَ ادْعُوا رَبَّكُمْ يُخَفِّفْ عَنَّا يَوْمًا مِّنَ الْعَذَابِ } [ غافر : 49 ] قالت لهم الخزنة :  {  أَوَلَمْ تَكُ تَأْتِيكُمْ رُسُلُكُم بِالبَيِّنَاتِ قَالُوا بَلَى قَالُوا فَادْعُوا وَما دُعَاء الكَافِرِينَ } أي :  أهل النار{  إِلاَّ فِي ضَلاَلٍ } [ غافر : 50 ] .

فكيف بعد هذا من تنزيل الله ومحكم كتابه تزعم الفرقة الشاكة أن أهل جهنم يخرجون منها ويدخلون الجنة ؟  يتّبعون الروايات الكاذبة التي ليس لها أصل في كتاب الله ،   وينبذون كتاب الله وراء ظهورهم كأنهم لا يعلمون فالله الحاكم بيننا وبينهم وهو خير الحاكمين ."
15,3,"قوله :  {  ذَرْهُمْ يَأْكُلُوا وَيَتَمَتَّعُوا } يعني المشركين ،   يأكلوا ويتمتعوا في الدنيا {  وَيُلْهِهِمُ الأَمَلُ } الذي يأملون من الدنيا {  فَسَوْفَ يَعْلَمُونَ } أي :  يوم القيامة وهذا وعيد هوله شديد .   وكان هذا قبل أن يؤمر بقتالهم ،   ثم أمر بقتالهم ،   ولا يدعهم حتى يسلموا أو يقتلوا ،   يعني مشركي العرب .

ذكروا أن رسول الله صلى الله عليه وسلم قال :   "" المؤمن يأكل في مِعًى واحد ،   والكافر يأكل في سبعة أمعاء ""  .

ذكروا عن الحسن قال :  قال رسول الله صلى الله عليه وسلم :   "" الدنيا سجن المؤمن وجنة الكافر ""  ."
15,4,قوله :  {  وَمَا أَهْلَكْنَا مِن قَرْيَةٍ إِلاَّ وَلَهَا كِتَابٌ مَّعْلُومٌ } يعني الوقت الذي يهلكون فيه ،   يعني من أهلك من الأمم السالفة بتكذيبهم رسلهم .
15,5,{  مَّا تَسْبِقُ مِنْ أُمَّةٍ أَجَلَهَا } أي :  وقت العذاب {  وَمَا يَسْتَأخِرُونَ } عنه .
15,6,قوله :  {  وَقَالُوا يَا أَيُّهَا الَّذِي نُزِّلَ عَلَيْهِ الذِّكْرُ } يعني القرآن فيما تدَّعي {  إِنَّكَ لَمَجْنُونٌ } يعنون محمداً صلى الله عليه وسلم .
15,7,{  لَّوْ مَا تَأْتِينَا } أي :  لولا ،   فلوما ولولا واحد .   {  بِالمَلاَئِكَةِ إِن كُنتَ مِنَ الصَّادِقِينَ } أي :  حتى تشهد لنا أنك رسول الله ،   فنصدقك حينئذٍ .
15,8,"قال الله :  {  مَا نُنَزِّلُ المَلاَئِكَةَ } حتى تعاينوهم {  إِلاَّ بِالْحَقِّ } أي :  بعذابهم واستئصالهم {  وَمَا كَانُوا إِذاً مُّنظَرِينَ } طرفة عين ،   أي :  بعد نزول الملائكة .

وقال مجاهد :  {  مَا نُنَزِّلُ المَلاَئِكَةَ إِلاَّ بِالْحَقِّ } أي :  بالرسالة والعذاب ."
15,9,"قوله :  {  إِنَّا نَحْنُ نَزَّلْنَا الذِّكْرَ } يعني القرآن {  وَإِنَّا لَهُ لَحَافِظُونَ } أي :  حفظه الله من إبليس أن يزيد فيه شيئاً أو ينقص منه شيئاً .   كقوله :  {  إِنَّ الَّذِينَ كَفَرُوا بِالذِّكْرِ لَمَّا جَاءَهُمْ وَإِنَّهُ لَكِتَابٌ عَزِيزٌ لاَّ يَأْتِيهِ البَاطِلُ } والباطل هو إبليس {  مِن بَيْنِ يَدَيْهِ } فينقصَ منهُ

{  وَلاَ مِنْ خَلْفِهِ } [ فصّلت : 41-42 ] فيزيد فيه شيئاً .   حفظه الله من ذلك .

وقال مجاهد :  {  وَإِنَّا لَهُ لَحَافِظُونَ } أي :  عندنا ."
15,10,قوله :  {  وَلَقَدْ أَرْسَلْنَا مِن قَبْلِكَ فِي شِيَعِ الأَوَّلِينَ } أي :  أرسلنا الرسل في فرق الأولين ،   أي :  أمم الأولين ،   أمة بعد أمة .
15,11,{  وَمَا يَأْتِيهِم } يعني تلك الأمم {  مِّن رَّسُولٍ إِلاَّ كَانُوا بِهِ يَسْتَهْزِءُونَ } .
15,12,{  كَذَلِكَ نَسْلُكُهُ } أي :  نسلك التكذيب {  فِي قُلُوبِ المُجْرِمِينَ } أي :  المشركين .
15,13,{  لاَ يُؤْمِنُونَ بِهِ } أي :  بالقرآن {  وَقَدْ خَلَتْ سُنَّةُ الأَوَّلِينَ } يعني ما أهلك به الأمم السالفة بتكذيبهم ،   يخوّف المشركين بذلك .
15,14,قوله :  {  وَلَوْ فَتَحْنَا عَلَيْهِم بَاباً مِّنَ السَّمَاءِ فَظَلُّوا فِيهِ } أي :  فصاروا فيه {  يَعْرُجُونَ } أي :  الملائكة .
15,15,"{  لَقَالُوا إِنَّمَا سُكِّرَتْ أَبْصَارُنَا } أي :  سدّت أبصارنا {  بَلْ نَحْنُ قَوْمٌ مَّسْحُورُونَ } .

وقال بعضهم :  {  فَظَلُّوا فِيهِ يَعْرُجُونَ } أي :  يختلفون فيه بين السماء والأرض .   وقال ابن عباس :  الملائكة تختلف فيه ،   يبصرونهم عياناً ،   لقال من يكذّب بهذا الحديث :  {  إِنَّمَا سُكِّرَتْ أَبْصَارُنَا بَلْ نَحْنُ قَوْمٌ مَّسْحُورُونَ } .

وقال الحسن :  فاختلف فيه بنو آدم لقال من يكذب بهذا الحديث :  {  إِنَّمَا سُكِّرَتْ أَبْصَارُنَا بَلْ نَحْنُ قَوْمٌ مَّسْحُورُونَ } .

وقال بعضهم :  إن المشركين قالوا للنبي صلى الله عليه وسلم :  {  أَوْ تَأْتِي بِاللَّهِ وَالْمَلاَئِكَةِ قَبِيلاً } [ الإسراء : 92 ] أي :  عياناً ،   معاينة ،   فتخبرنا الملائكة أنك رسول الله ،   فنؤمن بك .   فهو قول الله :  {  وَلَوْ فَتَحْنَا عَلَيْهِم بَاباً مِّنَ السَّمَاءِ فَظَلُّوا فِيهِ يَعْرُجُونَ لَقَالُوا إِنَّمَا سُكِّرَتْ أَبْصَارُنَا بَلْ نَحْنُ قَوْمٌ مَّسْحُورُونَ } .   جواباً لذلك ."
15,16,قوله :  {  وَلَقَدْ جَعَلْنَا فِي السَّمَاءِ بُرُوجاً } قال ابن عباس :  أي :  نجوماً {  وَزَيَّنَّاهَا لِلنَّاظِرِينَ } أي :  زينا السماء بالنجوم للناظرين .   كقوله :  {  إِنَّا زَيَّنَّا السَّمَاءَ الدُّنْيَا بِزِينَةٍ الكَوَاكِبِ } .   [ الصافات : 6 ] .
15,17,قال :  {  وَحَفِظْنَاهَا مِن كُلِّ شَيْطَانٍ رَّجِيمٍ } والرجيم الملعون .   قال الحسن :  رجمه الله باللعنة .
