surah_number,ayah_number,tafsir_text
76,1,"{ هَلْ } حرف وضع للاستفهام من أول مرة كهمزة الاستفهام وليس أصله التحقيق فى الأَخبار كقد ثم نقل إِلى الاستفهام نيابة عن الهمزة ولا باقية على التحقيق مقدراً قبلها همز الاستفهام ،  ومن العجائب دعوى ذلك بمجرد بيت شاذ :

سائل فوارس يربوع بشدتنا *** أهل رأونا بسفح القاع ذى الأكم

بدخول الهمزة عليها وما هذا إِلا تأكيد مع أن الرواية الصحيحة أم هل رأونا بأُم المنقطعة بمعنى بل كما قال السيرافى ومع أن فى نسخة قديمة وجدها السيوطى فهل رأونا بالفاء فهى استفهامية حقيقة والاستفهام هنا تقريرى وإِذا استعملت فى غير الاستفهام فمجاز كما فسرها ابن عباس بمعنى قد وكذا سيبويه والكسائى وقيل للتقريب وقيل للتحقيق ولا يؤتى لها بمعادل وعبارة بعض إِذا كانت بمعنى الهمزة جاز أن يؤتى به وعبارة بعض تجوز بعدها أم المنقطعة ،  ومعنى الاية هل أتى على الإِنسان زمان لم يوجد فيه فيقال نعم فلزمه شكر نعمة الإِيجاد ويحقر نفسه ويعترف بالبعث كما خلق بعد عدم .  { أَتَى } مضى .  { عَلَى الإِنسَانِ } الجنس على الصحيح ولا مدخل فيه لآدم وبه قال ابن عباس وقيل آدم عليه السلام وهو رواية عنه ويرده أنه وصف بعد بأَنه من نطفة وآدم من تراب والإِنسان بعد هو هذا لأَنه معرفة ولم يضمر له بعد إِذ قال إِنا خلقنا الإِنسان ولم يقل خلقناه للتأْكيد ،  ودعوى أنه آدم على أنه وصف بالنطفة لأَن جنسه منها خلاف الأَصل والظاهر وقيل الإِنسان الأَول آدم والثانى أولاده صور الله تعالى آدم فى الأَرض أو فى السماء أو فى الجنة أقوال أصحها الأَول وطاف به إِبليس فقال إِن هذا لا يتمالك لأَنه أجوف أى خالى الوسط ،  ومعنى لا يتمالك لا يكون ملكاً من الملائكة أو لا يملك نفسه عن الشهوات أو لا يملك دفع الوسواس عنه أو لا يملك نفسه عند الغضب أو لا يمتنع من الغضب ،  ووجه القول بأَن الأَول آدم والثانى الإِنسان أن الأَول أحق بأَن لا يكون مذكوراً والثانى وصف بالنطفة .  { حِينٌ } طائفة من الزمان محدودة طويلة أو قصيرة .  { مِّنَ الدَّهْرِ } الزمان الممتد غير محدود يقع على مدة العالم من حين خلق الله الزمان إِلى مالا نهاية له فإِن الجنة والنار لا نهاية لهما ويطلق الدهر أيضاً على كل زمان طويل غير معين والزمان عام للقليل والكثير ويطلق على ستة أشهر أنها دهر وحين وفسر بعض الحين باليوم والليلة ولمعنى قد أتى أو هل أتى على جنس الإِنسان قبل زمان قريب مثلا طائفة محدودة مقدرة كائنة من الزمان الممتد لا يذكر كما قال الله عز وجل { لَمْ يَكُن شيئاً مَذْكُوراً } بل كان شيئاً لا يذكر بالإِنسانية أى غير معروف بها وهو التراب وما يتولد منه والتراب هو العنصر البعيد أو هو الأغذية وهى العنصر المتوسط أو النطفة وهو العنصر القريب المتولد من الأَغذية المخلوقة من العناصر والجملة حال من الإِنسان أو نعت لحين على حذف الرابط العائد إِلى المنعوت أى لم يكن شيئاً مذكوراً فيه وعليه فأُضمر ضمير الإِنسان مع جريان النعت على غير ما هو لظهور المعنى والصحيح جواز ذلك كقوله تعالى : { واتقوا يوماً لا تجزي نفس } [ البقرة : 48 ،  123 ] الخ أى لا تجزى فيه وإِطلاق الإِنسان على مادته مجاز لعلاقة الآلة أو التسبب أو اللزوم ولعلاقة الأول وقد مر أنه قيل آدم مرت به ملقى بين مكة والطائف أربعون سنة طيناً ثم مرت به أربعون سنة حمأ مسنونا ثم اربعون صلصالاً ،  وأربعون تام الخلق وذلك مائة وعشرون ثم نفخ فيه الروح وعن عكرمة لا يعرف قدر هذا الحين إِلا الله أبهمه الله عز وجل ،  وزعم بعض الصوفية أن هل للنفى وأن المعنى لا أول للزمان ولا للإِنسان يوجد ويفنى بلا أول لذلك وهذا إِشراك ولا أظن موحداً يقوله وهو نفى للأَزل عن الله وإِثبات للقدماء مع الله ولعل الرواية لم تصح ،  وإِن قال لا أول لثبوته عند الله سبحانه أنه سيكون فحق لكن المخلوقات كلها كذلك ،  وسمع عمر رجلا يقرأ هذه الآية فقال ليتها تمت أى ليته بقى الإِنسان على العدم ولم يخلق ،  وكذا روى عن الصديق وابن مسعود رضى الله عنهم ."
76,2,{ إِنَّا خَلَقْنَا الإِنسانَ } البشر غير آدم .  { مِن نُّطْفَةٍ أمْشَاجٍ } جمع مشج بفتحتين كسبب وأسباب أو بفتح فكسر ككتف وأكتاف أو مشيج كشهيد وأشهاد ونصير وأنصار نعت نطفة وقيل هو مفرد كبرمه أعشار والمشج الخلط ولاشتمالها على أشياء نعتت بالجمع فإِنها من الرجل والمرأة والرقة والغلظة والصفرة والبياض والقوة والضعف والدم والبلغم والصفراء والسوداء ،  ماء الرجل أبيض غليظ ومنه العصب والعظم وإن علا كان الشبه له وماء المرأة أصفر رقيق ومنه اللحم والدم والشعر فإِن علا كان الشبه لها وإِذا اجتمعا فى قعر الرحم اخضر ،  وعن مجاهد أمشاج ألوان ،  وعن ابن مسعود وزيد بن أسلم أمشاج العروق التى فى النطفة أى ذات عروق ،  وعن ابن عباس أمشاج أطوار أى ذات أطوار علقة مضغة الخ .  واللحم والدم والضعف من المرأة .  والعصب والعظم والقوة من الرجل ،  وقيل نطفة أمشاج خلطت بدم الحيض فيرتفع دم الحيض ويتغذى به أيضاً ،  وقيل أمشاج الحرارة والبرودة والرطوبة واليبوسة .  { نَّبْتَلِيهِ } حال من نا أو من الإِنسان مقدرة لأَن المراد الابتلاء بالتكليف وهو غير موجود وقت الخلق ،  وقيل الابتلاء مستعار للنقل من طور إِلى طور لجامع ظهور الشئ بعد الشئ مرتباً عليه يظهر كل طور بعد آخر مبنياً عليه كما يظهر الأَمر بالاختيار شيئاً فشيئاً ،  أو المعنى أردنا ابتلاءه فجعلناه سميعاً بصيراً كما قال الله عز وجل : { فَجَعَلْنَاهُ سَمِيعاً بَصِيراً } بسبب إِرادة الابتلاء يسمع ما يرشد إِليه ويبصر بعينيه ما يحتاج فى دينه إِلى النظر إِليه وحض الحاستين لأَنهما أعظم الحواس الظاهرة أو هما كنايتان عن الفهم والتمييز .
76,3,{ إِنَّا هَديْنَاهُ السَّبِيلَ } بينا له الطريق المستقيم ليتبعه وهو دين الإِسلام بالآيات المتلوة وهى نقلية والإفاقية والأَنفسية وهما عقليتان .  أو المراد بالسبيل سبيل الحق والباطل .  { إِمَّا شَاكِراً وإِمَّا كَفُوراً } حالان من الهاء الثانية ،  وإِما لتفصيل الأَحوال مع اتحاد الذات ،  أى دللناه إِلى ما يوصله إِلى الدين المستقيم حال شكره وحال كفره وليس فى حال كفره غير مدلول على الدين أو للتقسيم للمكلف باختلاف الذوات والصفات أى بعضهم شاكر باتباع التبيين وبعض كافر لمخالفته ،  أو حالان من السبيل على إِسناد الشكر والكفر إِلى السبيل مجازاً لأَنهما حقيقة لسالك السبيل وعلى هذا فالسبيل يشمل الدين الحق والباطل وكل ذلك بخلق الله تعالى واختيار العبد ولا إِجبار وإِلا لم يثب ولم يعاقب ،  والمراد الجزاء إِما شاكراً فيثاب وإِما كفوراً فيعاقب وأورد الشكر بوزن فاعل والكفر بوزن المبالغة لأَن الإِنسان لا يخلو من كفر فالكفر كثير منه وهو مناسب للفاصلة وفى ذلك تلويح بأَنه يعاقب على الكفر البليغ وكفر كل شقى بليغ ولو قل لأَن الإِصرار أبلغ فلو أصر الموحد الفاسق على صغيرة واحدة لكان كفوراً ولأَن نعم الله كثيرة عليه وقد كفرها كلها بإِصراره .
76,4,"{ إِنَّا أَعْتَدْنَا لِلْكافِرِينَ } هيأْنا لهم بسبب كفرهم بعد تبييننا .  { سَلاَسِلاً } يقادون بها .  { وَأغْلالاً } يقيدون بها .  { وَسَعيِراً } يحرقون بها ،  قدم ذكر الوعيد ليتصل بذكر أهله إِذا خروا قبل قوله تعالى { يوم تبيض وجوه وتسود وجوه فأَما الذين اسودت } [ آل عمران : 106 ] ولأَن الوعيد أنسب بمقام الإِنذار وعلى طريق الاهتمام وليتصدر الكلام بالمؤمنين ويختم بهم وليحصل تجاوب أطراف الكلام وصرف سلاسل مع أنه على صيغة منتهى الجموع مشاهد فى مصاحف المدينة ومكة والكوفة والبصرة وصحف أبى ومصحف ابن مسعود ووجهه المشاكلة كصرف كافوراً علماً لعين فى الجنة للمشاكلة والعين مؤنث وقد جوزوا صرف مالا ينصرف لأَجلها ولا سيما الجمع فإِنه قيل سبب ضعيف لشبهه بالمفرد ألا ترى أنه قد يجمع نحو  ""  صواحبات يوسف  ""  بجمعه بتاء وألف و  ""  نواكسى الأبصار  ""  بجمعه بالياء والنون ،  وقد جوز صرفه مطلقاً قال بعض :والصرف فى الجمع أتى كثيراً*** حتى ادعى قوم به التخييرا"
76,5,"وحكى الأَخفش عن قوم من العرب صرف كل مالا ينصرف إِلا اسم التفضيل بوزن أفعل ،  والقراءات مرويات من الصحابة لا اختيار من القراء ،  وذلك بيان حال الكفور وبين حال الشاكر بقوله : { إِنَّ الأَبْرَارَ } أى الشاكرين إِلا أنه عبر عنهم باسم مدح آخر هو البر الذى استحقوا به الجزاء ،  واسم الشكر من بر بمعنى أطاع وأكثر فعل الخير وقيل أدى حق الله تعالى وأوفى النذر ،  وعن الحسن لا يؤذى الذر ولا يرضى الشر وهذا كناية عن المبالغة فى الخير ،  ومن الشر ترك الخير ،  والمفرد بر كرب وأرباب كشاهد وأشهاد .

{ يَشْرَبُونَ } فى الآخرة .  { مِن كَأْسٍ } الكأْس إِناء فيه شراب من ماء أو لبن أو خمر أو غير ذلك ويطلق أيضاً عليه بدون اعتبار ما فيه وعلى ما فيه بدون اعتباره وشهر أنه حقيقة فى الزجاجة إِذا كان فيها خمر ومجاز فى الخمر لعلاقة الجوار فإِن أُريد بها الخمر فمن للتبعيض أو للبيان أو على الزجاجة فمن للابتداء ويدل على كون المراد بها الخمر قوله تعالى : { كَان مِزَاجُهَا كَافُوراً } لأَن المزاج يناسب بمائع لمائع لا لزجاجة ،  والمزاج ما يمزج به أى يخلط بغيره كالحزام لما يحزم به .  وكافوراً عين فى الجنة على حذف مضاف أى من ماء كافور يمنع الصرف للعلمية والتأنيث ولكن صرف للمشاكلة كما مر ،  أو تشبيه بليغ بالكافور وذلك أن ماءها فى بياض الكافور ورائحته وبرودته ."
76,6,{ عَيْناً } بدل من كافوراً وقيل يمزج لهم بكافور الجنة وهو غير شراب ويختم بمسكها وكافور الجنة لا يضر كما يضر كافور الدنيا وإِن شئت فبدل من محل كأس على حذف مضاف أى يشربون خمراً من كأس خمر عين أو حال من ضمير مزاجها على أن المزاج جزء كأس على ما مر أو مثل جزئه ولو جامداً لنعته بمشتق ومعموله وهو يشرب بها الخ كقوله تعالى { إِنا أنزلناه قرآناً عربياً } [ يوسف : 2 ] وقولك أكرم زيداً رجلا عَالِماً { يَشْرَبُ بِهَا عِبَادُ اللهِ } أى يشرب منها أو الباء صلة أى يشربها أى يشرب ماءها ،  ويدل له قراءة ابن أبى عبلة يشربها ،  وقيل الباء للإِلصاق وقدر بعض يشرب الخمر ممزوجة بها أو بالعين وقيل ها للكأْس والباء للتعدية وعينا مفعول يشرب أى يشرب عيناً بالكأْس أى يشرب ماء عين بالكأس ،  وقيل ضمن يشرب معنى يروى أى يروى بها ،  والمراد بعباد الله المؤمنون مدحهم باسم العبودية إِذ عرفوا حق الله وأطاعوه وأذعنوا بالعبادة .  { يُفَجِّرُونَها تَفْجِيراً } ينبعونها إِنباعاً عظيماً أو نوع إِنباع بأَن ترتفع إِليهم حيث كانوا من المواضع العالية بلا أخدود وإِنما هى كالطائر وزعم بعض أن بأَيديهم قضباناً من ذهب يخطون بها وتجرى حيث خطوا وفيه أن هذا عمل وعلاج ولا يكون فى الجنة ذلك وفى أثر أن هذه العين فى دار رسول الله - صلى الله عليه وسلم - تفجر إِلى ديار الأَنبياء والمؤمنين .
76,7,"{ يُوفُونَ بِالنَّذرِ } جواب سؤال كأَنه قيل ما أوصلهم إِلى هؤلاء الدرجات فقيل أوصلهم إِليها إِيفاؤهم بما جعلوا على أنفسهم من العبادات بينهم وبين الله كصلاة النفل وصومه أو بينهم وبين الخلق كالصدقة والعفو وترك الانتقام وسائر منافع الناس ،  فإِذا أوفوا بما لم يوجبه الله تعالى بل أوجبوه بلا تعليق أو بتعليق مثل إِن شفانى الله تصدقت بكذا أو صمت أو صليت كذا فأَولى أن يوفوا بما أوجبه ،  ويجوز أن يكون المراد الوفاء بما عاهدوا الله عليه من أداء الواجبات والمستحبات ،  وقيل المراد مجرد الوفاء بالعهد مدحاً له ،  وعن عائشة رضى الله عنها سمعت رسول الله- صلى الله عليه وسلم- يقول  ""  من نذر أن يطيع الله تعالى فليف بنذره ومن نذر أن يعصي الله فلا يف به  ""  ،  وفى رواية فليطعه ولا يعصه وذلك فى البخارى ،  وذكر الترمذى وأبو داود والنسائى عن عائشة عن رسول الله - صلى الله عليه وسلم -  ""  لا نذر في معصية الله تعالى وكفارته كفارة يمين  ""  ،  ويروى كفارته تركه ،  وفى البخارى ومسلم عن ابن عباس استقتى سعد بن عبادة رسول الله - صلى الله عليه وسلم - فى نذر على أمه لم تقضه فأَمره أن يقضيه بعد موتها ،  والمضارع لإِفادة التجدد وتنزيل الماضى منزلة الحاضر المشاهد والماضى لا يفيد ذلك .  { وَيَخَافُونَ يَوْماً كَانَ شَرُّهُ مُسْتَطِيراً } منتشراً فى الأَقطار ،  والمراد انتشار الخوف منه فى الملائكة والمؤمنين والكفار أو فشو شره فى السماوات فانشقت وتناثرت الكواكب وفزعت الملائكة وكورت الشمس والقمر وفى الأَرض فصارت الجبال دكاً واطيرت وغارت المياه وكسر كل ما على الأَرض من جبل وبناء وذلك كقولك استطار الحريق والفجر وهو أبلغ من طار لأَن زيادة الحروف فى الغالب والأَصل تدل على زيادة المعنى ولا سيما صورة الاستفعال الموضوع للطلب فإِن ما بالطلب والعلاج يبالغ فيه للمبالغة فعبر بصورة ذلك تلويحاً له أو شبه انتشاره بشئ مغالب للآخر ورمز إِليه بلازمه ."
76,8,"{ وَيُطعِمُونَ الطَّعَامَ عَلَى حُبِّهِ } متعلق بيطعم أو بمحذوف حال من الواو والطعام مفعول ثان ومسكيناً مفعول أول لأَنه الفاعل فى المعنى لأَنه الطاعم أى الآكل وهاء حبه للطعام أى يطعمون الطعام مع أنه محبوب عندهم مشتهى لقلته أو لغلائه أو للحاجة إِليه أو لجودته أو لذلك كله كقوله تعالى { لن تنالوا البر حتى تنفقوا مما تحبون }

[ آل عمران : 92 ] أو الهاء للإِطعام المدلول عليه بيطعمون أى يحبون الإِطعام بطيب النفس والرغبة لا إِجباراً أو مداراة أو حياء ،  أو الهاء لله تعالى أى لحبهم الله وابتغاء مرضاته وهو قول قوم فيكون عموم أحوال الطعام من نحو القلة والغلا والحاجة مستفاداً من إِطلاق الطعام وقيل المراد بالإِطعام النفع بطعام أو بغيره من سائر ما يحسن به إِلى المسكين واليتيم والأَسير استعمالاً للمقيد فى المطلق كاستعمال الأَكل فى مطلق الإِتلاف ،  ويقال للجنة سلالم منها إِطعامك المسلم ما يشتهى وإِطعام الحامل ما تشتهى وإِطعام المريض ما يشتهى ،  قال - صلى الله عليه وسلم -  ""  إِن أحببت يا عمر أن يخفف عنك البلاء قبل الموت وعنده وبعده فقم من الليل ولو لركعتين وإِن أحببت يا عمر أن يخفف عنك البلاء قبل الموت وعنده وبعده فلا تفارق ذكر الله تعالى كما لا تفارق الدواب الأَكل في الليل والنهار وإِن أحببت يا عمر أن يخفف عنك البلاء قبل الموت وعند الموت وبعده فأَنفق من مال قليل  ""  وقوله من قليل أراد به قلة المال مطلقاً وقلة مال عزيز مع وجود كثرة المال .  { مِسْكِيناً وَيَتِيماً وَأسِيراً } من المشركين ،  كان - صلى الله عليه وسلم - يدفع الأَسير إِلى مسلم ويقول له أحسن إِليه فيكون عنده يوماً أو يومين أو ثلاثة ويؤثره على نفسه لكن قال ابن حجر لم يذكر هذا الحديث من يعتمد عليه ،  قال قتادة لأَن أسيرهم يومئذ المشرك وأخوك المسلم أحق أن تطعمه فإِن قبض على موحد فى قتال أهل الفتنة وحبس عن القتال فلم يطلق لذلك دخل فى معنى الآية ،  أنفق أبو بكر وعمر وعلى والزبير وعبد الرحمن وسعد وأبو عبيدة بن الجراح على أسارى بدر فقالت الأَنصار قتلناهم فى الله ورسوله وتعينوهم بالنفقة فأَنزل الله تعالى : { إِنَّ الأَبرار } إِلى { سلسبيلا } تسع عشرة آية وهو حديث لا وثوق بصحته وما رواه إِلا ابن عساكر مع أن السورة مكية عند الجمهور والقصة تقتضى مدنيتها وعن مجاهد وقتادة أنها مدنية ،  وعن الحسن مدنية إِلا ولا تطع منهم آثماً أو كفوراً ،  وقيل إِلا فاصبر لحكم ربك إِلى آخر السورة ،  ولا خلاف فى جواز الإِحسان إِلى الكفار فى دار الإِسلام بما ليس واجباً ككفارة وزكاة ،  وقيل هو الأَسير المسلم فى أيدى المشركين يطعمه من لقيه من المسلمين أو يرسل إِليه الطعام وكذا ما ينفعه ،  وعن مجاهد أنه الموحد المسجون وإِن حبس فى دين له ما يفئ به وامتنع لم يحسن إِطعامه إِلا أنه لا يترك للموت لأَنه أعانه على المنع وكذا ما أشبه ذلك من الأَغراض النفسية وقال أبو سعيد الخدرى المملوك والمسجون شبها باللأَسير لجامع الضيف ،  وقيل الزوجة وهو ضعيف لكن فى الحديث  ""  اتقوا الله في النساء فإِنهن عندكم عوان  ""  أي أسرى ،  وقيل غريمك أسيرك فأَحسن إِلى أسيرك ولا يخفى حسن ذلك كله ."
76,9,{ إِنَّمَا نُطْعِمُكُمْ لِوَجْهِ اللهِ } مفعول لحال من واو يطعمون أى قائلين بلسان الحال أو المقال إِنما نطعمكم .  .  الخ ،  أما لسان الحال فما يظهر عليهم من أمارات الإِخلاص فمدهم الله تعالى بما فى قلوبهم وأما لسان المقال فلإِزالة توهم هؤلاء قصد المكافأَة والمن ،  قيل ولتعليم المسكين واليتيم والأَسير أمر الدين من وجوب الإِخلاص فى الإِطعام لله تعالى ونفى الرياء وحب المدح وليقتدى به غيره فى عمل الخير وإِخلاصه ومن الاستعداد ليوم القيامة .  { لا نُرِيدُ مِنْكُمْ جَزَاء } مكافأَة بمال أو غيره .  { وَلاَ شُكُوراً } مدحاً وهذا تأكيد لما قبله ومن تصدق بشئ لوجه الله تعالى فلا ينبغى أن يقصد دعاء من المتصدق عليه ،  وكانت عائشة رضى الله عنها تبعث بالصدقة إِلى أهل بيت ثم تسأَل الرسول ما قالوا ،  فإِذا ذكر دعاء دعت لهم بمثله ليبقى لها ثواب الصدقة خالصاُ عند الله عز وجل فإِن صح عنها هذا فليس مرادها أنه ينقص ثوابها بدعائهم بل أرادت ثوباً خالصاً إِثابة مخلوق ولو كان لا ينقص بها وإِلا فليس ينقص ثواب المعطى بدعاء المعطى مع أن المعطى لم يقصده فى إِعطائه .
76,10,{ إِنَّا نَخَافُ مِن رَّبّنَا } الخ من للابتداء متعلق بنخاف والمعنى نتوقع منه أو حال من يوماً والجملة تعليل لنطعمكم أى نطعمكم لأَنا نخاف أو لقوله لا نريد أى لا نريد .  .  .  الخ ،  لأَنا نخاف على إِرادة الجزاء عذاب يوم قمطرير وزعم بعض أنه أصح وفيه تشديد إِذا كان الإِطعام غير واجب فإِن إِبطال النفل بطلب عوض مبطل لثوابه لا موجب العقاب إِذا بطل بغير ما هو معصية ،  وأما قوله تعالى لا تبطلوا أعمالكم فإِنه عام إِلا أنه فيما قصد به ثواب الله من أول ثم أبطل أما إِذا قصد من أول الأَمر عوض فدخول بلا ثواب فضلا عن إِبطاله .  { يَوْماً } أى عذاب يوم أو خوفه كناية عن خوف ما فيه .  { عَبُوساً } التعبس لوجوه أهله فإِسناده إِليه إِسناد ما للحال للمحل مجاز عقلى أو يقدر مضاف أى عبوساً وجوه أهله ،  وعن ابن عباس أن الكافر يعبس وجهه يومئذ حتى يسيل من بين عينيه عرق مثل القطران ،  ويجوز أن يراد بالتعبس الكناية عن مطلق الشدة حتى يشمل ما يصيب المؤمن منها .  { قَمْطَرِيراً } شديد العبوس بإِسناد ما للحال للمحل ،  وعن ابن عباس طويلاً فى الشر ويقال شديداً صعباً كأَنه التف شره بعضه ببعض ويقال اقمَطرَّ فهو مُقْمطِرٌّ وقمطرير إِذا صعب واشتد ،  والآيات على العموم ولو خص سبب النزول فقيل نزلت فى أبى الدحداح من الأَنصار جاءه وقت الإِفطار مسكين ويتيم وأسير فأَعطاهم ثلاثة ارغفة وبقى له ولأَهله رغيف واحد ،  وذكر عن ابن عباس أنها نزلت فى على أصلح ثلث شعير أجره من عمله ليهودى ليأكله فأتاه مسكين فاعطاه وعمل ثلثاً فأَتاه يتيم فأَعطاه وكذا الثلث فأَتاه مشرك أسير فأَعطاه وطوى يومه وليله هو وأهله .
