surah_number,ayah_number,tafsir_text
20,1,"{ طه } أمال أبو بكر وحمزة والكسائى الطاء والهاء وورش وأبو عمرو وقيل : ونافع الهاء .  وأخلص الباقون الفتح .  وإنما أخلص ورش وأبو عمرو فتح الطاء لاستعلائها وهما من أسماء الحروف .

وقيل : معناه رجل ،  على لغة نجد .

وقيل : على لغة عقل .

وقيل : على لغة قبط ،  وهو قول ابن جبير .  قيل : على لغة القبط .  وقيل : يا إنسان على لغة القبط .  وقيل بالسريانية وقيل : لغة يمنية في عك بن عدنان آخى معد بمعنى يا رجل .

والمراد بالرجل والإنسان النبي صلى الله عليه وسلم .

وقيل : هو من أسماء النبي صلى الله عليه وسلم نداء له .

وقيل : معناه يا جبريل بالسريانية .  وقيل : بغيرها .

وعن عكرمة : طه : يا رجل بالحبشية .

وقيل : قسم أقسم الله بطَوله أي جُوده وبهدايته .

وقيل : الطاء من اسمه طاهر ،  والهاء من اسمه الهادي .

ويصح أن يكون الأصل يا هذا قلبت الياء طاء فحذفوا الذال وألقها ولا يخفى ضعف هذا ،  إلا إن كان ذلك القلب لغة قوم وأنشد الطبري في ذلك :

دعوت بطه في النقال فلم يجب ***

أي برجل أو إنسان وبهذا .

ومثله :

إن السفاهة طه من خلائفكم ***

ولا دليل في ذلك باحتماله القَسَم .

والهاء تمد مدا طبيعيا والطاء مدا مشبعا .

وقرأ الحسن طه بإسكان الهاء وفسر بأنه أمر بالوطء ،  وأن النبي صلى الله عليه وسلم كان يقوم في تهجده على إحدى رجليه ،  ثم على الأخرى ،  فأمر أن يطأ الأرض بقدميه معا .  والأصل ظَا قلبت الهمزة هاء أو قلبت في المضارع وبني عليه الأمر ،  أو الأصل طأ بالهمزة أو بألف عن همزة ثم ألحق هاء السكت فحذفت الهمزة أو الألف ،  أو هو من يطا بالألف حذفت لشبه الجزم وألحق هاء السكت .

ويجوز أن يكون أصل طه بعدم الإسكان طه بالألف بدلا من الهمزة وها ضمير للأرض حذفت ألف هاء وأما ألف طا فحذف خطًّا باتفاق ونطقا على قراءة"
20,2,"{ مَا أَنْزَلْنَا عَلَيْكَ الْقُرْآنَ لِتَشْقَى } الجملة خبر طه إن جعلنا طه بمعنى القرآن أو السورة والرابط على الأول إعادة المبتدأ بلفظه والعموم على الثاني .

وإن جعل طه قَسما فالجملة جواب أو نداء فالجملة مدعو لها .

وإن جعل أمرا أو خبرا لمحذوف أو طائفة من الحروف ،  فالجملة مستأنفة .

وحمزة والكسائى يميلان أواخر هذه السورة من لتشقى إلى ومَن اهتدى .

وورش بين بين وأبو عمرو يميل ما فيه راء نحو تترى وما عداه بين بين والباقون يخلصون الفتح .

وأنزل الله ذلك تخفيفاً عنه في قيام الليل ،  وكان يقومه كله ولذا قال بعضهم : هذه ناسخة لفرض قيام الليل المذكور في المزمل .

وقيل : لما رأى المشركون من قريش اجتهاده صلى الله عليه وسلم في العبادة وضيق عيشه قالوا : إن محمدا مع ربه في شقاء .

وقيل : قالوا : ما أنزل عليك القرآن يا محمد إلا لشقائك فنزلت الآية .

وقيل : كان يقوم على رجل واحد فنزل عليه ذلك .

وروى أنه صلى الله عليه وسلم صلى بالليل حتى تورمت قدماه فقال له جبريل عليه السلام : أَبْقِ على نفسك فإن لها عليك حقا وما بُعثتَ إلا بالحنيفية السهلة .

والشقاء بمعنى التعب ،  كقولهم : أشقى من رائض المهر ،  وسيد القوم أشقاهم .

وقيل : إن أبا جهل والنضر بن الحارث قالا : إنك شقي لأنك تركت دين آبائك فنزل ذلك ردًّا عليهما بأن القرآن سبب للسعادة ،  وتعريضاً بأنهما وأمثالهما الأشقياء والشقاوة الدائمة .

وقيل : المعنى : ما أنزلنا عليك القرآن لتعب بفرط تأسفك على كفر قريش .  وعُدِل عن التعب إلى الشقاء تعريضاً بسعادته وشقاوة من خالفه .

وما مر من قراءة الحسن طه بالإسكان لا ينافى ما ذكره الشيخ هود من أنه فسر طه بالفتح بيا رجل لأن هذا تفسير لقراءة غيره أو له قراءتان أو هو تفسير لقراءته بالإسكان .

ويصح إرجاع الهاء الساكنة لموضع الصلاة فهي ضمير مذكر ،  أمره أن يطأ موضع الصلاة برجليه ."
20,3,"{ إلاّ تَذْكِرةً } استثناء منقطع أي لكن أنزلناه تذكرة والأصل إلا تذكيراً لأن اللام صحيحة وليس بدلا من محل لتشقى ؛ لأن الشقاوة غير التذكرة اللهم إلا أن يقال بدل إضراب تابع للمحل ؛ فإن تشقى مؤول بمصدر مجرور باللام ومحل المجرور النصب بأنزلنا .

وقرئ ما نزل بالبناء للمفعول ورفع القرآن وليس تذكرة مفعولا لأجله لأن الفعل الواحد لا يتعدى لعلتين إلا بتبع كالعطف كما لابن هشام .

وقال شيخ الإسلام : التحقيق جواز تعديته إليهما ،  أو إلى أكثر في غير العقليات كما هنا ؛ لأنها علامات .  ولا مانع من اجتماع علامات على شئ واحد ومنه في العقليات للزوم المحال كالجمع بين النقيضين .

ويجوز قطعاً جعله مفعولا لأجله إذا علقت اللام بمحذوف نعت للقرآن أو حال له أى ما أنزل عليك القرآن المنزل لتتعب بتبليغه أو منزلا أو ثابتاً لتتعب بتبليغه لأن تذكرة حينئذ تعليل لمجموع أنزلنا عليك لتشقى .

ومنعُ القاضي إياه سهو .  وقيل : تذكرة حال من الكاف أو القرآن على تأويله باسم الفاعل أو تقدير مضاف أو مفعول مطلق لمحذوف والمحذوف حال ولام الجر واجبة فى قوله : { لتشقى } لأن فاعل الشقاء وفاعل الإنزال متغايران .

{ لِمَنْ يَخْشَى } لأنه المنقطع به .

وعن مجاهد : ما أنزلنا عليك القرآن لتشقى فى الصلاة إلا تذكرة لمن يخشى ويتوسط ويداوم وكانوا يعلقون الحبال بصدورهم .  وذكروا أن رسول الله صلى الله عليه وسلم رأى حبلا ممدودا بين ساريتين في المسجد فقال : ما هذا ؟

فقالوا : فلانة تصلى ،  فإذا غُلبت تعلقت به .

فقال : لتصل ما نشطت أو عقلت ،  فإذا غُلبت فلتقم ."
20,4,"{ تَنْزِيلاً } منسوب بمحذوف أي نزلناه تنزيلا أو هو بمعنى القرآن مفعول ليخشى ونكر تعظيما .

ويجوز أيضاً في هذا الوجه أن يكون مصدرا .

ويجوز أن يكون تنزيلا منصوبا على المدح أو بدلا من تذكرة إن جعل تذكرة حالا وإن جعل تعليلا بلا ؛ لأن الشئ لا يعلل بنفسه ولا بنوعه ؛ فإن المعنى حينئذ ما أنزلنا عليك القرآن إلا لتنزيل أو تنزيل سورة كذا وقرئ تنزيل بالرفع خبر لمحذوف .

{ مِمَّنْ خَلَقَ الأرْضَ وَالسَّموَاتِ الْعُلاَ } جمع عُلْيا ككبرى وكُبَر وهذا إلى الحُسن تفخيم لشأن المنزل لنسبته إلى من هذه صفاته وأفعاله .

وبدأ بخلق الأرض والسموات لأنها أصول العالم وقدَّم الأرض لأنها أقرب إلى الحس ،  ووصف السموات بالعلو دلالة على عظم قدرة من يخلق مثلها في علوها ومن متعلقة بتنزيلا أو بمحذوف نعت له .

وفى قوله : ممن ،  وقوله : الرحمن .  وقوله : الله التفات من التكلم في قوله : { ما أنزلنا } إلى الغيبة .  وذلك أن الأسماء الظاهرة من قبيل الغيبة ،  وأما ضمائر الغيبة بعدها فتبع لها .

وفائدة الالتفات التفنن في الكلام أعنى سلوك فنين أي طريقين ،  فإنه يفيد حسناً وقد ذكره كثير في البديع .

وأيضا هذه الصفات تَشْرُف مع لفظ الغيبة وأيضاً أسند إنزاله إلى ضمير الواحد العظيم الشأن أولا ثم ثنى بالنسبة إلى من اختص بصفات عظيمة فضوعف التفخيم من جهتين ومَن هذه صفاته يجب الإيمان بكلامه والانقياد له .

ويجوز أن يكون أنزلنا حكاية لكلام جبريل والملائكة النازلين معه ."
20,5,"{ الرَّحْمَنُ عَلَى الْعَرْشِ اسْتَوَى } استولى .  وبسط الكلام في ذلك في سورة الأعراف والرحمن مبتدأ وجملة استوى خبر وإن جعلنا الرحمن خبر المحذوف على المدح فالجملة خبر ثان أو خبر لمحذوف .

وقرئ بجر الرحمن بدلا مِن مَن أو بيان لا نعت ؛ لأن مَن لا نعت .  وعلى الجر بالجملة خبر لمحذوف والاستواء على العرش - كما مرت الإشارة إليه - : كناية عن الملك والقهر كناية مشهورة .  قال : استوى فلان عرشه أي سريره أي ملك وقيل إن لم يكن له سرير وأعقب بذكر العرش لأنه أجرى منه الأحكام والتقادير على ما شاء في الأزل من ترتيب وغيره ."
20,6,"{ لَهُ مَا في السَّمَوَاتِ وَمَا في الأَرْضِ وَمَا بَيْنَهُمَا وَمَا تَحْتَ الثَّرَى } ملكا وخَلقا وأما نفس السموات والأرض فدل على ملكه لهن مخلقة لهن وفى ذلك دليل على كمال قدرته .

والثرى : الأرضون السبع .  والأرض فيما ذكر أراد بها الجنس ،  فهن له وما تحتهن له .

وقيل : الثرى : أسفل الأرض السابعة وآخرها قيل : المراد بما تحت ذلك الصخرة التي تحتهن .

وقيل : الأرضون على ظهر ثور والثور على بحر ورأسه وذنَبه يلتقيان تحت العرش والبحر على صخرة خضراء اخضرت السماء بها ،  وهى المذكورة في سورة لقمان والصخرة على الثرى ،  ولا يعلم ما تحت الثرى إلا الله ويوم القيامة يسيل البحر في جوف الثور .

وقيل : الثرى هذا الثرى الذي نحن عليه ،  فالذي تحته هو الأرضون .

وأصل الثرى : التراب الندىّ وفسر به بعضهم الآية"
20,7,"{ وَإنْ تَجْهَرْ بِالْقَوْلِ } تعلن به { فَإنَّهُ يَعْلَمُ السِّرَّ وأخْفَى } تعليل نائب عن جواب إن .  وإن شئت فقل : جوابها محذوف وذلك تعليل بلا نيابة وإن تجهر بكلام فالله غنى عن جهرك بعلمه منك بلا جهر ؛ لأنه يعلم الكلام السر وما هو أخفى منه وهو ما خطر فى النفس أو حدّثت به النفس فلا تجهد نفسك بالجهر في ذكر الله والدعاء .  وذكر ذلك عقب ما مر لاقتران الإرادة والقدرة في حقه سبحانه والإرادة لا تنفك عن العلم ،  فأفاد أن ملمسه محيط بجليّات الأمور وخفيّاتها على سواء .  فالجهر بالذكر والدعاء إنما هو لتصوير النفس بهما ورسوخها فيه ومنعها عن الاشتغال بغير الله وهضمها بالهزع والصياح .

وعن ابن عباس : السر : ما في النفس ،  وأخفى : ما سيخطر فيها .

وقيل : السر جميع ما قيل أو عمل فى غير حضرة الناس ولم يعلموا به ،  وأخفى : ما في النفس .

وقيل : السر : ما سره الناس .  والأخفى : ما لا يظهره الله سبحانه للخلق ،  ويتفرع عن ذلك زجر المكلف عن القبائح ظاهرة أو باطنة ،  من حيث إن الله سبحانه يعلم كل ما خفي أو سُرّ ،  مما فيه ثواب أو عقاب أو ما لا ثواب ولا عقاب له .  وهذا أبلغ من قول الخازن : إن المراد ما فيه ثواب أو عقاب ."
20,8,"{ اللهُ لاَ إلهَ إلاّ هُوَ لَهُ الأسْمَاءُ الْحُسْنَى } لما ظهر أنه الجامع لصفات الألوهية بيَّن أنه المنفرد بها والمتوحد بمقتضاها وفضّل أسماءه على سائر الأسماء لدلالتها على معان في نهاية الحُسن كالتقديس والربوبية .  وهى كلها أحسن .

ونعتُها بالحُسنى إنما هو للمدح لا للاحتراز .  والحسنى مؤنث الأحسن وأنث الأسماء لأنها جماعة .

وفى الحديث : إن الله تسعة وتسعين اسما من أحصاها دخل الجنة .  والظاهر عندي أن المراد بإحصائها للعمل بمقتضاها والصيانة عن الخروج عنه .  فمقتضى لفظ الله مثلا أن تعهد واجب الوجود سبحانه .  ولا يخفى أن من عَبَده بأداء الفرائض يدخل الجنة بفضل الله .

ولعل السورة إلى الحسنى خاصيته السعادة والبركة والطاعة مَن كَتب ذلك في إناء مرمر أو صيني أو بِلو بسك وكامور وماء ورد ومحاه بدهن بان وأضاف إليه شيئاً من العنبر وكامور ومسح بذلك حاجبيه وجبهته ينال القبول والجاه والمحبة والعز عند كل من يقابله بإذن الله تعالى ."
20,9,"{ وَهَلْ أَتَاكَ حَدِيثُ مُوسَى } أتبع ذكر نبوته صلى الله عليه وسلم بقصة موسى يقتدى به في حمل أثقال النبوة وتبليغ الرسالة والصبر على مُقاساة الشدائد ؛ فإن هذه السورة من أوائل ما نزل .

قال الشيخ هود : هل بمعنى قد والمراد التحقيق ويحتمل التوقع فإن كان صلى الله عليه وسلم يتوقع حديث موسى فظاهر وإلا فإنه سبحانه وتعالى عظم حديث موسى حتى إن من شأن من سمع به مجملا أن يتوقع تفصيله .

وبعد فالحق أن هل للاستفهام التقريري أي هل يا محمد بما عندك من إتيان حديثه أو عدم إتيانه إليك .  ومثل هذا في الاستعظام كثير كما تبدأ الرجل - إذا أردت إخباره بأمر غريب - تقول : هل علمتَ كذا وكذا ثم تخبره ."
20,10,"{ إذْ رَءا نَارًا } متعلق بحديث لأنه اسم مصدر دال على الحدث فهو بمعنى التحدث بل أجاز الدمامينى التعلق بنحو الحديث والدمن مما فيه إشارة إلى الحدث إشارة ما مع أنه غير مصدر ولا اسمه ولا غيرهما مما يعلق فيه الجار والظرف والحديث يستعمل اسم مصدر واسما كرجل ويجوز أن يكون إذ مفعولا لا ذكر والمراد بالنار النور ،  فإنه رآه وظنه نارا .  وقيل : نار حقيقة .

روى أن موسى عليه السلام استأذن شعيبا في الرجوع من مَدْين إلى مصر ليزور والدته وأخاه ،  فأذن له وخرج بأهله وماله في أيام الشتاء في ليلة مظلمة باردة مثلجة ليلة جمعة ،  وأخذ على غير الطرق مخافة ملوك الشام وامرأته حامل ،  وهى في أيام الولادة لا تدرى أتضع ليلا أو نهاراً وتفرقت ماشيته وألجأه المسير غلى جانب الطور الغربي الأيمن ووُلد له ابن في وادي أوى ،  فأخذ زَندَه يقدح ولا مُخرج نارا ،  فأبصر نارا في جانب الطور عن يسار الطريق من بعيد ،  وقد تحيّر عن الطريق فرأى نارا عظيمة .

{ فَقَالَ لأَهْلِهِ امْكُثُوا } أقيموا مكانكم .  وقرأه حمزة بضم الهاء .  قال الصبان معنى غيره : وهو لغة الحجاز .

{ إني آنَسْتُ نَارًا } أبصرتها من بعيد .  وقيل : أبصرتها إبصارا لا شبهة فيه .

وقيل : الإيناس : إبصار ما يؤنس به .

{ لَعلِّى آتِيكُمْ } اسم فاعل باعتبار أن الأصل في الإخبار الإفراد أو مضارع باعتبار أنه الأصل فى الاستقبال على الصحيح والدلالة على التجرد وأما كونه الأصل في العمل فضعيف هنا لضعف تفاوت الوصف والمضارع في العمل في الظروف والمجرورات .

{ مِنْها بِقَبَسٍ } شعلة : وقيلِ : جمرة .  والشعلة تطلق على فتيلة وعود وحطب أوقدت في طرفه .

{ أوْ أَجِدُ عَلَى النَّارِ هُدًى } الاستعلاء مجازى فإنه لا يكون أحد فوق النار ولكن شبه الكون بجنبها بالكون عليها فاستعار لفظ على بجامع القرب والاتصال أو لمّا كان مَن بجنبها مستعليا على ما يقرب منها أطلق أنه استعلى عليها ،  أو الاستعلاء حقيقي ،  فإن من كان بجانب النار يستعمل عليها للاصطلاء ولا سيما في تلك الليلة .  وأيضا هو مُشْرف عليها في الجملة ولو بلا اصطلاء .

ويحتمل أن يريد بالاستعلاء عليها ملكها .  وأنشد ابن هشام وغيره :

وبات على النار الندى والمحلّق ***

بالاستعلاء المجازى والمراد لعلى أجد عند النار هداية إلى الطريق ،  أو إلى أبواب الدين ،  أو إلى الكل فتصح أن تكون على بمعنى مع .  ولا بُعد في إرادة الكل أو إرادة أبواب الدين ؛ فإن أفكار الأبرار مائلة إلى الدين فى كل أحوالهم ووجود الهداية : دخولها له .

وقدر بعضهم هدى بهاديا وبعض بذا هدى .

ولما كان الإيناس محققا مقطوعا به أكده لهم بإنّ لتوطُّن أنفسِهم .

وأما الإتيان بالقبس ووجود الهدى فمترقبان ،  فجاء بلعل طمعا وإطماعا ولم يقطع لعدم دليل القطع ،  فلو قطع استراحت أنفس إبله إلى القبس والطريق استراحة كلية .

فإذا لم يجد ما قصد انقلبت تلك الاستراحة حزنا عظيما لشدة عدم ما وطّنت النفس على وجوده كذا ظهر لي .

روى أنه لما وصل إلى النار وجدها تخرج من جذع شجرة شديدة الخضرة يقال لها : العليق .  وقيل : العوسج .  وقيل : سمرة وقيل : شجرة العناب .  والنار بيضاء عمت أجزاء الشجرة تكاد تخطف البصر ساطعة ووقف ينظر متحيراً ،  ولعل شيئا يسقط ،  فطال عليه ذلك ،  فأخذ ضِغثا من حطب رقيق ليقتبس ،  فمالت إليه كأنها تريده .  وما زال يجئ لها ويذهب حتى خمدت واستترت فى أصل الجذع ،  فزاد تعجبا وتحيرا فصار يطوف يمينا وشمالا وقيل : نار خضراء .

وروى أنه كان غيورا فصار يمشى ليلا بأهله لا نهرا ولما ذهب إلى النار تباعدت منه ومشت ،  فرجع فتبعته ،  وهكذا ،  فتيقن أنه أمر خارق ."
