surah_number,ayah_number,tafsir_text
58,1,"{  قد سمع الله قول التي تجادلك في زوجها } قيل :   ""  أن الآيات نزلت في رجل من الأنصار وامرأته خولة بنت ثعلبة وزوجها أوس بن الصامت رآها وهي تصلي وكانت حسينة الجسم فلما سلمت راودها فأبت فغضب فظاهر منها ،  فأتت رسول الله ( صلى الله عليه وآله وسلم ) فقالت :  أن أوساً تزوجني وأنا شابة مرغوبٌ فيَّ فلما نحل سني وثمرة بطني أي كثر ولدي جعلني عليه كأمه ،  وروي أنها قالت له :  إن لي صِبيَة صغاراً إن ضممتهم إليه ضاعوا ،  وإن ضممتهم إليَّ جاعوا ،  فقال :   ""  ما عندي في أمرك شيء  ""  ،  وروي أنه قال لها :   ""  حرمتِ عليه  ""  ،  فقالت :  يا رسول الله ما ذكر طلاقاً وإنما هو أبو ولدي وأحب الناس إليَّ ،  فقال :   ""  حرمت عليه  ""  فقالت :  أشكو إلى الله فاقتي ووحدتي ،  كلما قال لها رسول الله ( صلى الله عليه وآله وسلم ) :   ""  حرمت عليه  ""  هتفت وشكت إلى الله فنزلت المجادلة وهي مراجعتها في أمر زوجها {  وتشتكي إلى الله } أي تظهر شكواها {  والله يسمع تحاوركما } أي مراجعة كلامكما {  إن الله سميع بصير } ."
58,2,{  الذين يظاهرون منكم من نسائهم } أي يقولون لها أنت عليّ كظهر أمي {  ما هنّ أمهاتهم } ليس هذه المرأة بأم الزوج {  إن أمهاتهم إلاَّ اللائي ولدنهم ليقولون منكراً من القول وزوراً } أي قولاً ينكره العقل والشرع ،  وزوراً كذباً لأنهم للمرأة أم وللحلال حرام {  وإن الله لعفوّ غفور } حيث لم يعاجلهم بالعقوبة  .
58,3,{  والذين يظاهرون من نسائهم ثم يعودون لما قالوا } الظهار أن يقول :  أنت عليّ كظهر أمي ،  واختلفوا في العود ،  فقيل :  هو العزم على الوطء وهو قول الهادي ،  وعن قتادة وأبي حنيفة ومالك مثل ذلك ،  وقيل :  هو إمساكها عقيب الظهار مدة يتمكن أن يطلقها عند شى ،  وقيل :  هو أن يكرر لفظ الظهار عن أصحاب الظاهر ،  وقيل :  أن تجامعها عن الحسن {  فتحرير رقبة } أي عتق مملوك ،  يعني إذا ظاهر ثم عاد في ذلك فعليه تحرير رقبة {  من قبل أن يتماسا } أي يجامعها {  ذلك توعظون به } أي تؤمرون به {  والله بما تعملون خبير } أي عالم بأعمالكم .
58,4,{  فمن لم يجد } يعني الرقبة ولا ثمنها {  فصيام شهرين متتابعين } لا يتخللهما فطرٌ {  فمن لم يستطع } الصوم لعلة أو كبر {  فإطعام ستين مسكيناً } فقيراً {  ذلك لتؤمنوا بالله } يعني تقروا بالله لتعبدكم بما شاء من أحكامه ،  وقيل :  لتؤمنوا بالله وما شرع ،  وقيل :  لتتركوا عادة الجاهلية {  وتلك حدود الله } شرائعه وأحكامه {  وللكافرين عذاب أليم } موجع .
58,5,{  إن الذين يحادّون الله ورسوله } أي يخالفون أمره ويحادون رسوله {  كبتوا } قيل :  أهلكوا ،  وقيل :  أذلوا {  كما كبت الذين من قبلهم } من الكفار {  وقد أنزلنا آيات بينات } حجج واضحات {  وللكافرين عذاب مهين } يذلهم وهو عذاب النار  .
58,6,{  يوم يبعثهم الله جميعاً } من القبور وهو يوم القيامة ويحشر الخلق للجزاء والحساب {  فينبّهم بما عملوا } أي يجزيهم بما عملوا من الخير والشر  .
58,7,{  ألم تر أن الله يعلم ما في السماوات وما في الأرض } يعني جميع المعلومات {  ما يكون من نجوى ثلاثة إلاَّ هو رابعهم } بالعلم والحفظ والتدبير والسماع يسمع قولهم ويعلم ضمائرهم ولا يحمل على أنه معهم في المكان  ،  لأن ذلك من صفات الأجسام تعالى الله عن ذلك  ، {  ولا خمسة إلاَّ هو سادسهم ولا أدنى من ذلك } بأن يكونا اثنين {  ولا أكثر } بأن يزيد على الخمسة {  إلاَّ هو معهم أين ما كانوا ثم ينبئهم بما عملوا } يجزيهم بأعمالهم توبيخاً ،  وقيل :  يجازيهم {  يوم القيامة إن الله بكل شيء عليم }  .
58,8,{  ألم تر إلى الذين نهوا عن النجوى } قيل :  أنها نزلت في اليهود والمنافقين  ، وكانوا يتناجون بين المؤمنين وينظرون إلى المؤمنين ويتغامزون بأعينهم  ،  فيظن المؤمنون أنه بلغهم عن قرابتهم وإخوانهم الذين خرجوا في السرايا قتل أو موت أو هزيمة  ، فشكوا إلى رسول الله ( صلى الله عليه وآله وسلم )  ،  فنهاهم عن ذلك فلم ينتهوا فنزلت :  {  ألم تر إلى الذين نهوا عن النجوى } أي المناجاة وأسرّوا الكلام بينهم دون المسلمين مما يغم المسلمين ويحزنهم وهم اليهود والمنافقون  ، {  ثم يعودون لما نهوا عنه } أي يرجعون بعد النهي  ، {  ويتناجون بالإِثم والعدوان } بالأمر الذي يأثمون به ويخرجون عن الدين  ،  والعدوان الظلم والله أعلم  ، {  ومعصية الرسول وإذا جاءوك حيّوك } أي حضروك في مجلسك يا محمد  ، {  بما لم يحيّك به الله } لأنهم يقولون :  السام عليك ،  والآية نزلت في اليهود ،  والله أمر أن يقال :  السلام عليك يا رسول الله ويا نبي الله  ، {  ويقولون في أنفسهم لولا يعذبنا الله بما نقول } كانوا يقولون ما له إن كان نبيّاً لا يدعو علينا حتى يعذبنا الله بما نقول ،  فقال تعالى :  {  حسبهم جهنم يصلونها فبئس المصير } .
58,9,"{  يا أيها الذين آمنوا } إذا ناجيتم الرسول خاطبتم ،  والخطاب للمنافقين الذين آمنوا بألسنتهم ،  ويجوز أن يكون للمؤمنين ،  أي إذا ناجيتم فلا تشبّهوا بأولئك في تناجيهم بالشر ،  {  وتناجوا بالبر والتقوى واتقوا الله } ،  وعن النبي ( صلى الله عليه وآله وسلم ) :   ""  إذا كنتم ثلاثة فلا يناج اثنان دون صاحبهما فإن ذلك يحزنه  ""  وروي :   ""  دون الثالث  ""  يعني فلا تتناجوا بما يوجب العذاب وتناجوا بالبر والتقوى اتقاء معاصي الله {  واتقوا الله } أي أطيعوه واتقوا عذابه {  الذي إليه تحشرون } أي تجمعون إلى موضع الحساب الذي يحكم بينكم فيه  ."
58,10,{  إنما النجوى } اللام إشارة إلى النجوى {  بالإثم والعدوان } بدليل قوله تعالى : {  ليحزن الذين آمنوا } والمعنى أن الشيطان يزينها لهم فكأنه منه ليغيظ الذين آمنوا ويحزنهم {  وليس } الشيطان أو الحزن {  بضارهم شيئاً إلا بإذن الله } قال جار الله :  فإن قلتَ :  كيف يضرهم الشيطان أو الحزن إلا بإذن الله ؟   ،  قلتُ :  كانوا يوهمون المؤمنين في تغامزهم ونجواهم أن غزاتهم غلبوا وإمارتهم قتلوا ،  فقال :  لا يضرهم الشيطان أو الحزن بذلك الوهم إلا بإذن الله بمشيئته ،  وهو أن يقضي الموت على أقاربهم أو الغلبة على الغزاة {  وعلى الله فليتوكل المؤمنون } يعني المؤمن لا يبالي بمناجاته فليتوكل على ربه فيكفيه  .
