surah_number,ayah_number,tafsir_text
2,5,حَدَّثَنَا أَبو عُبَيْدِ اللهِ مُحَمَّد بن عِمْرانَ المَرْزُبانيُّ، قالَ:  حَدَّثَنَا أَبو الحَسَن عليُّ بنُ محمَّدِ بنِ عُبْيدٍ الحافِظُ، قِراءةً عليْهِ، في بابِ مَنْزِلِهِ في قَطيعَةِ جَعْفَرٍ، يومَ الأَحَدِ لِلَيْلَتَيْنِ بَقِيَتَا مِنْ ذِي الْحِجَّةِ سَنَةَ ثَمانٍ وَعِشْرِينَ وَثَلاْثْمائَةٍ، قالَ:  حَدَّثَنِي الحُسَيْنُ بنُ الحَكَمِ الحِبَرِيُّ الكُوفيُّ، قالَ:  حَدَّثَنا حَسَنُ بنُ حُسَيْنٍ، قالَ: حَدَّثَنا عِيسى بنُ عَبْدِ اللهِ، عن أَبيهِ [عن أبيهِ] عن جَدِّهِ، قالَ:  كانَ سَلْمانُ يَقُولُ: يا مَعْشَرَ المُؤْمِنِيْنَ تَعَاهَدُوا ما في قُلُوبِكُمْ لِعَلِيٍّ صَلَواتُ اللهِ عَلَيْهِ فَإنّي ما كُنْتُ عِنْدَ رَسُولِ اللهِ صَلَّى اللهُ عَلَيْهِ [وَآلِهِ] وسلَّمَ قَطُّ، فَطَلَعَ عَلِيٌّ، إلاّ ضَرَبَ النَبِيُّ صَلَّى اللهُ عَلَيْهِ بَيْنَ كَتِفَيَّ، ثُمَّ قَالَ: يا سَلْمانُ، هَذَا وَحِزْبُهُ  { هُمُ ٱلْمُفْلِحُونَ }.
2,25,حَدَّثَنَا عليُّ بنُ محمَّدٍ، قالَ:  حَدَّثَنِي الحِبَرِيُّ، قالَ:  حَدَّثَنِي حَسَنُ بنُ حُسَيْنٍ، قالَ: حَدَّثَنَا حِبَّانُ بنُ عليٍّ العَنزِيُّ، عن الكَلْبِيّ، عن أَبي صَالِحٍ، عن ابنِ عَبَّاسٍ، قالَ فِيما نَزَلَ مِنَ القُرْآنِ في خَاصَّةِ رَسُولِ اللهِ صَلَّى الله عليهِ [وآلِهِ] وَسَلَّمَ، وعليٍّ، وأَهْلِ بَيْتِهِ دُونَ النَّاسِ:  { وَبَشِّرِ ٱلَّذِين آمَنُواْ وَعَمِلُواْ ٱلصَّالِحَاتِ }.  إنَّهَا نَزَلَتْ في: عليٍّ وَحَمْزَةَ وجَعْفَر وَعُبَيْدَة بن الحَارثِ بنِ عَبْدِ المُطَّلبِ.
2,43,حَدَّثَنَا عليُّ بنُ مُحَمَّدٍ، قالَ:  حَدَّثَني الحِبَريُّ، قال:  حَدَّثَنَا الحَسَنُ بنُ حُسَيْنٍ، قالَ: حَدَّثَنَا حِبَّانُ، عن الكَلْبِيّ، عن أَبي صالِحٍ، عن ابنِ عَبَّاسٍ:  قَوْلُهُ: { وَٱرْكَعُواْ مَعَ ٱلرَّاكِعِينَ }.  أَنَّها نَزَلَتْ في: رَسُولِ اللهِ صَلَّى الله عَلَيْهِ [وَآلِهِ]، وَعَلِيٍّ ابن أَبِي طَالِبٍ عَلَيْهِ السَّلاَمُ، وَهُما أَوَّلُ مَنْ صَلَّى وَرَكَعَ.
2,45,وَقَوْلُهُ: { وَٱسْتَعِينُواْ بِٱلصَّبْرِ وَٱلصَّلاَةِ وَإِنَّهَا لَكَبِيرَةٌ إِلاَّ عَلَى ٱلْخَاشِعِينَ }.  الخَاشِعُ: الذَلِيْلُ في صَلاتِهِ، المُقْبِلُ عَلَيْهَا، يَعْنِي: رَسُوْلُ الله صَلّى الله عَلَيْهِ [وآلِهِ] وَعَلِيُّ عَلَيْهِ السَّلامُ.
2,46,وَقَولُهُ: { ٱلَّذِينَ يَظُنُّونَ أَنَّهُم مُّلاَقُواْ رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَاجِعُونَ }.  نَزَلَتْ في: عَليٍّ وعُثْمانَ بنِ مَظْعُونَ وَعَمَّارِ بنِ ياسِرٍ وَأَصْحابٍ لَهُمْ.
2,81,وَقولُهُ: { بَلَىٰ مَن كَسَبَ سَيِّئَةً وَأَحَاطَتْ بِهِ خَطِيـۤئَتُهُ }.  نَزَلَتْ في أَبِي جَهْلٍ.
2,82,{ وَٱلَّذِينَ آمَنُواْ وَعَمِلُواْ ٱلصَّالِحَاتِ أُولَـٰئِكَ أَصْحَابُ ٱلْجَنَّةِ هُمْ فِيهَا خَالِدُونَ }.  نَزَلْتْ في عَليٍّ خَاصَّةً، وَهُوَ أَوَّلُ مُؤْمِنٍ وَأَوَّلُ مُصَلٍّ بَعْدَ النَّبِيٍّ صَلَّى الله عَلَيْهِ [وَآلِهِ].
2,104,حَدَّثَنَا عليٌّ بنُ مُحمّدٍ، قَالَ:  حَدَّثَنَا الحُسَيْنُ بنُ الحَكَمِ الحِبَريُّ، قالَ:  حَدَّثَنَا يَحْيَى بنُ عَبْدِ الحَمِيْدِ، قالَ: حَدَّثَنا عِيْسى بنُ رَاشِدٍ، عن عليٍّ بن بَذِيْمَةَ، عن عِكْرِمَة، عَن:  ابنِ عَبَّاسٍ، قالَ: ما نَزَلَ في القُرْآنِ: { يَاأَيُّهَا ٱلَّذِينَ آمَنُواْ }.  ألاَّ وَعلِيٌّ شَرِيفُهَا وأَمِيرُها.
2,207,حَدَّثَنَا عليٌّ بنُ مُحَمَّدٍ، قَالَ:  حَدَّثَني الحِبَرِيُّ، قالَ:  حَدَّثَنا يَحْيَى بنُ عَبْدِ الحَمِيْدِ، قالَ: حَدَّثنا أَبو عوَانَة، عن أَبي بَلْجٍ عن عَمْرِو بنِ مَيْمُون، عن:  ابنِ عَبَّاسٍ: في عَليٍّ عَلَيْهِ السَّلامُ لَمّا انْطَلَقَ النَّبِيُّ صَلَّى الله عَلَيْهِ [وَآلِهِ] وَسَلَّمَ الى الغَار، فَأَنامَهُ النَّبِيُّ علَيْهِ السَّلامُ في مَكَانِهِ، وَأَلْبَسَهُ بُرْدَهُ، فَجائَتْ قريش تريد أن تقتل النبيّ صلّى الله عليه [وآله] فجعلوا يرمون عليّاً، وهم يرون أنه النبيّ صلّى الله عليهِ وآلِهِ، (وقد ألبسه النبيّ صلّى الله عليه [وآله] برده) فجعل يَتَضَوَّرُ، فنظروا، فاذا هو عليّ عليه السلام فقالوا: انك لنائم ألو كان صاحبك ما تضور، لقد استنكرنا ذلك منه.  { وَمِنَ ٱلنَّاسِ مَن يَشْرِي نَفْسَهُ ٱبْتِغَآءَ مَرْضَاتِ ٱللَّهِ وَٱللَّهُ رَؤُوفٌ بِٱلْعِبَادِ }.
2,274,حَدَّثَنَا علَيٌّ بنُ مُحَمَّد، قالَ:  حَدَّثَنا الحِبَريُّ، قَال:  حَدَّثَنا حَسَنُ بنُ حُسَيْنٍ، قالَ: حَدَّثَنا حِبَّانُ، عن الكَلْبيّ، عن أبى صالِحٍ، عن: ابنِ عَبَّاسٍ:  قَوْلُهُ: { ٱلَّذِينَ يُنْفِقُونَ أَمْوَالَهُمْ بِٱللَّيْلِ وَٱلنَّهَارِ سِرّاً وَعَلاَنِيَةً }.  نَزَلَتْ في عَلِيٍّ خَاصَّةً، في أَرْبَعَةٍ دَنانِيْرَ كانَتْ لَهُ، تَصَدَّقَ مِنْها نَهاراً وَبَعْضَها لَيْلاً وَبَعْضَها سِرّاً، وَبَعْضَها عَلانِيَةً.
