surah_number,ayah_number,tafsir_text
23,51,{ يا أيها الرسل كلوا من الطيبات51 }  قال: حدّثني جعفر بن محمد بن سعيد معنعناً:  عن أبي مريم قال: سمعت أبان بن تغلب قال سألت جعفر بن محمد عليه السلام عن قول الله تعالى [أ، ب: عز ذكره]: { يا أيها الرسل كلوا من الطيبات } قال: الرزق الحلال.
23,57,قال: حدّثنا فرات بن إِبراهيم الكوفي معنعناً:  عن أبي الجارود قال: سألت أبا جعفر [عليه السلام. أ، ر] عن قول الله سبحانه: { والذين يؤتون ما أتوا وقلوبهم وجلة [أنهم إِلى ربهم راجعون }. ر، أ] يقول: يعطون ما أعطوا وقلوبهم وجلة { أولئك يسارعون في الخيرات وهم لها سابقون } علي بن أبي طالب عليه السلام لم يسبقه [أحد].  قال: حدثني الحسين بن سعيد معنعناً:  عن أبي الجارود في تفسير قول الله سبحانه [ر: تعالى بكتابه]: { الذين هم من خشية ربهم مشفقون والذين هم بآيات ربهم يؤمنون والذين هم بربهم لا يشركون والذين يؤتون ما أتوا وقلوبهم وجلة أنهم إِلى ربهم راجعون أولئك يسارعون في الخيرات وهم لها سابقون } [قال. ر]: نزلت في علي بن أبي طالب [عليه السلام. أ، ر].
23,58,قال: حدّثنا فرات بن إِبراهيم الكوفي معنعناً:  عن أبي الجارود قال: سألت أبا جعفر [عليه السلام. أ، ر] عن قول الله سبحانه: { والذين يؤتون ما أتوا وقلوبهم وجلة [أنهم إِلى ربهم راجعون }. ر، أ] يقول: يعطون ما أعطوا وقلوبهم وجلة { أولئك يسارعون في الخيرات وهم لها سابقون } علي بن أبي طالب عليه السلام لم يسبقه [أحد].  قال: حدثني الحسين بن سعيد معنعناً:  عن أبي الجارود في تفسير قول الله سبحانه [ر: تعالى بكتابه]: { الذين هم من خشية ربهم مشفقون والذين هم بآيات ربهم يؤمنون والذين هم بربهم لا يشركون والذين يؤتون ما أتوا وقلوبهم وجلة أنهم إِلى ربهم راجعون أولئك يسارعون في الخيرات وهم لها سابقون } [قال. ر]: نزلت في علي بن أبي طالب [عليه السلام. أ، ر].
23,59,قال: حدّثنا فرات بن إِبراهيم الكوفي معنعناً:  عن أبي الجارود قال: سألت أبا جعفر [عليه السلام. أ، ر] عن قول الله سبحانه: { والذين يؤتون ما أتوا وقلوبهم وجلة [أنهم إِلى ربهم راجعون }. ر، أ] يقول: يعطون ما أعطوا وقلوبهم وجلة { أولئك يسارعون في الخيرات وهم لها سابقون } علي بن أبي طالب عليه السلام لم يسبقه [أحد].  قال: حدثني الحسين بن سعيد معنعناً:  عن أبي الجارود في تفسير قول الله سبحانه [ر: تعالى بكتابه]: { الذين هم من خشية ربهم مشفقون والذين هم بآيات ربهم يؤمنون والذين هم بربهم لا يشركون والذين يؤتون ما أتوا وقلوبهم وجلة أنهم إِلى ربهم راجعون أولئك يسارعون في الخيرات وهم لها سابقون } [قال. ر]: نزلت في علي بن أبي طالب [عليه السلام. أ، ر].
23,60,قال: حدّثنا فرات بن إِبراهيم الكوفي معنعناً:  عن أبي الجارود قال: سألت أبا جعفر [عليه السلام. أ، ر] عن قول الله سبحانه: { والذين يؤتون ما أتوا وقلوبهم وجلة [أنهم إِلى ربهم راجعون }. ر، أ] يقول: يعطون ما أعطوا وقلوبهم وجلة { أولئك يسارعون في الخيرات وهم لها سابقون } علي بن أبي طالب عليه السلام لم يسبقه [أحد].  قال: حدثني الحسين بن سعيد معنعناً:  عن أبي الجارود في تفسير قول الله سبحانه [ر: تعالى بكتابه]: { الذين هم من خشية ربهم مشفقون والذين هم بآيات ربهم يؤمنون والذين هم بربهم لا يشركون والذين يؤتون ما أتوا وقلوبهم وجلة أنهم إِلى ربهم راجعون أولئك يسارعون في الخيرات وهم لها سابقون } [قال. ر]: نزلت في علي بن أبي طالب [عليه السلام. أ، ر].
23,61,قال: حدّثنا فرات بن إِبراهيم الكوفي معنعناً:  عن أبي الجارود قال: سألت أبا جعفر [عليه السلام. أ، ر] عن قول الله سبحانه: { والذين يؤتون ما أتوا وقلوبهم وجلة [أنهم إِلى ربهم راجعون }. ر، أ] يقول: يعطون ما أعطوا وقلوبهم وجلة { أولئك يسارعون في الخيرات وهم لها سابقون } علي بن أبي طالب عليه السلام لم يسبقه [أحد].  قال: حدثني الحسين بن سعيد معنعناً:  عن أبي الجارود في تفسير قول الله سبحانه [ر: تعالى بكتابه]: { الذين هم من خشية ربهم مشفقون والذين هم بآيات ربهم يؤمنون والذين هم بربهم لا يشركون والذين يؤتون ما أتوا وقلوبهم وجلة أنهم إِلى ربهم راجعون أولئك يسارعون في الخيرات وهم لها سابقون } [قال. ر]: نزلت في علي بن أبي طالب [عليه السلام. أ، ر].
23,74,[فرات بن إِبراهيم. ش] قال: حدّثني عبيد بن كثير [قال: حدّثنا أحمد بن صبيح قال: حدّثنا الحسين بن علوان عن سعد (بن طريف) عن أصبغ. ش]:  عن علي [بن أبي طالب. ر. عليه السلام. ن] في قوله [تعالى. ش، ر]: { وإن الذين لا يؤمنون بالآخرة عن الصراط لناكبون } قال: عن ولايته.
23,93,"[فرات بن إِبراهيم الكوفي. ش] قال: حدّثني جعفر بن محمد الفزاري [قال: حدّثنا عباد قال: حدّثنا نصر عن محمد بن مروان عن الكلبي عن أبي صالح. ش]:  عن جابر بن عبد الله [الأنصاري رضي الله عنه. ن] قال: أخبر جبرئيل [عليه السلام. أ، ر] النبي صلى الله عليه وآله وسلم أن أمتك سيختلفون [ب، ش: سيتخلفون] من بعدك فأوحى الله [تعالى. ب] إِلى النبي صلى الله عليه وآله وسلم: { قل رب إِما تريني ما يوعدون رب فلا تجعلني في القوم الظالمين } قال: أصحاب الجمل. [قال: ن] فقال [ذلك. ش] النبي صلى الله عليه وآله وسلم فأنزل الله عليه: { وإِنا على أن نريك ما نعدهم لقادرون } [قال. ن] فلما نزلت هذه الآية جعل النبي صلى الله عليه وآله وسلم [وبارك. ر] لا يشك أنه سيرى ذلك.  "" قال جابر: بينما أنا جالس إِلى جنب النبي صلى الله عليه وآله وسلم وهو بمنى يخطب الناس فحمد الله [تعالى. ن] وأثنى عليه ثم قال: أيها الناس أليس قد بلغتكم؟ قالوا: بلى. قال [ر: فقال]: ألا لا ألفينكم [أ، ب: لفيتكم] ترجعون بعدي كفاراً يضرب بعضكم رقاب بعض، أما لئن فعلتم ذلك لتعرفني في كتيبة أضرب وجوهكم فيها بالسيف. فكأنه غمز من خلفه فالتفت ثم أقبل علينا [أ: إِلينا. محمد. ن] فقال: أو علي بن أبي طالب [عليه السلام. قال. ن] "" فأنزل الله عليه [41/ الزخرف 42] وهي واقعة [ش: وقعة] الجمل.  قال: حدّثنا الحسين بن الحكم [الحبري قال: حدّثنا سعيد بن عثمان بن أبي مريم قال: حدّثني محمد بن السائب قال: حدّثني أبو صالح مولى أم هاني. ش، ح]:  عن عبد الله بن عباس وجابر بن عبد الله الأنصاري [رضي الله عنهما. ب]- [قال. ح] "" قال جابر: ما كان بيني وبين رسول الله صلى الله عليه وآله وسلم إِلا رجل أو رجلان أنهما سمعا من رسول الله صلى الله عليه وآله وسلم يقول في حجة الوداع وهو بمنى: لا ترجعوا بعدي كفاراً يضرب بعضكم رقاب بعض وايم الله إِن [ح، ش: لئن] فعلتموها [ر: فعلتموه] لتعرفني [ح: لتعرفنني] في كتيبة يضاربونكم [ب: نضاربكم]. قال: فغمز من خلفه فالتفت من قبل منكبه الأيسر قال: أو علي "" [أو علي. ح، ش] قال: [فـ] نزلت هذه الآيات: { قل رب إِما تريني ما يوعدون رب فلا تجعلني في القوم الظالمين و إِنا على أن نريك ما نعدهم لقادرون }."
23,94,"[فرات بن إِبراهيم الكوفي. ش] قال: حدّثني جعفر بن محمد الفزاري [قال: حدّثنا عباد قال: حدّثنا نصر عن محمد بن مروان عن الكلبي عن أبي صالح. ش]:  عن جابر بن عبد الله [الأنصاري رضي الله عنه. ن] قال: أخبر جبرئيل [عليه السلام. أ، ر] النبي صلى الله عليه وآله وسلم أن أمتك سيختلفون [ب، ش: سيتخلفون] من بعدك فأوحى الله [تعالى. ب] إِلى النبي صلى الله عليه وآله وسلم: { قل رب إِما تريني ما يوعدون رب فلا تجعلني في القوم الظالمين } قال: أصحاب الجمل. [قال: ن] فقال [ذلك. ش] النبي صلى الله عليه وآله وسلم فأنزل الله عليه: { وإِنا على أن نريك ما نعدهم لقادرون } [قال. ن] فلما نزلت هذه الآية جعل النبي صلى الله عليه وآله وسلم [وبارك. ر] لا يشك أنه سيرى ذلك.  "" قال جابر: بينما أنا جالس إِلى جنب النبي صلى الله عليه وآله وسلم وهو بمنى يخطب الناس فحمد الله [تعالى. ن] وأثنى عليه ثم قال: أيها الناس أليس قد بلغتكم؟ قالوا: بلى. قال [ر: فقال]: ألا لا ألفينكم [أ، ب: لفيتكم] ترجعون بعدي كفاراً يضرب بعضكم رقاب بعض، أما لئن فعلتم ذلك لتعرفني في كتيبة أضرب وجوهكم فيها بالسيف. فكأنه غمز من خلفه فالتفت ثم أقبل علينا [أ: إِلينا. محمد. ن] فقال: أو علي بن أبي طالب [عليه السلام. قال. ن] "" فأنزل الله عليه [41/ الزخرف 42] وهي واقعة [ش: وقعة] الجمل.  قال: حدّثنا الحسين بن الحكم [الحبري قال: حدّثنا سعيد بن عثمان بن أبي مريم قال: حدّثني محمد بن السائب قال: حدّثني أبو صالح مولى أم هاني. ش، ح]:  عن عبد الله بن عباس وجابر بن عبد الله الأنصاري [رضي الله عنهما. ب]- [قال. ح] "" قال جابر: ما كان بيني وبين رسول الله صلى الله عليه وآله وسلم إِلا رجل أو رجلان أنهما سمعا من رسول الله صلى الله عليه وآله وسلم يقول في حجة الوداع وهو بمنى: لا ترجعوا بعدي كفاراً يضرب بعضكم رقاب بعض وايم الله إِن [ح، ش: لئن] فعلتموها [ر: فعلتموه] لتعرفني [ح: لتعرفنني] في كتيبة يضاربونكم [ب: نضاربكم]. قال: فغمز من خلفه فالتفت من قبل منكبه الأيسر قال: أو علي "" [أو علي. ح، ش] قال: [فـ] نزلت هذه الآيات: { قل رب إِما تريني ما يوعدون رب فلا تجعلني في القوم الظالمين و إِنا على أن نريك ما نعدهم لقادرون }."
23,95,"[فرات بن إِبراهيم الكوفي. ش] قال: حدّثني جعفر بن محمد الفزاري [قال: حدّثنا عباد قال: حدّثنا نصر عن محمد بن مروان عن الكلبي عن أبي صالح. ش]:  عن جابر بن عبد الله [الأنصاري رضي الله عنه. ن] قال: أخبر جبرئيل [عليه السلام. أ، ر] النبي صلى الله عليه وآله وسلم أن أمتك سيختلفون [ب، ش: سيتخلفون] من بعدك فأوحى الله [تعالى. ب] إِلى النبي صلى الله عليه وآله وسلم: { قل رب إِما تريني ما يوعدون رب فلا تجعلني في القوم الظالمين } قال: أصحاب الجمل. [قال: ن] فقال [ذلك. ش] النبي صلى الله عليه وآله وسلم فأنزل الله عليه: { وإِنا على أن نريك ما نعدهم لقادرون } [قال. ن] فلما نزلت هذه الآية جعل النبي صلى الله عليه وآله وسلم [وبارك. ر] لا يشك أنه سيرى ذلك.  "" قال جابر: بينما أنا جالس إِلى جنب النبي صلى الله عليه وآله وسلم وهو بمنى يخطب الناس فحمد الله [تعالى. ن] وأثنى عليه ثم قال: أيها الناس أليس قد بلغتكم؟ قالوا: بلى. قال [ر: فقال]: ألا لا ألفينكم [أ، ب: لفيتكم] ترجعون بعدي كفاراً يضرب بعضكم رقاب بعض، أما لئن فعلتم ذلك لتعرفني في كتيبة أضرب وجوهكم فيها بالسيف. فكأنه غمز من خلفه فالتفت ثم أقبل علينا [أ: إِلينا. محمد. ن] فقال: أو علي بن أبي طالب [عليه السلام. قال. ن] "" فأنزل الله عليه [41/ الزخرف 42] وهي واقعة [ش: وقعة] الجمل.  قال: حدّثنا الحسين بن الحكم [الحبري قال: حدّثنا سعيد بن عثمان بن أبي مريم قال: حدّثني محمد بن السائب قال: حدّثني أبو صالح مولى أم هاني. ش، ح]:  عن عبد الله بن عباس وجابر بن عبد الله الأنصاري [رضي الله عنهما. ب]- [قال. ح] "" قال جابر: ما كان بيني وبين رسول الله صلى الله عليه وآله وسلم إِلا رجل أو رجلان أنهما سمعا من رسول الله صلى الله عليه وآله وسلم يقول في حجة الوداع وهو بمنى: لا ترجعوا بعدي كفاراً يضرب بعضكم رقاب بعض وايم الله إِن [ح، ش: لئن] فعلتموها [ر: فعلتموه] لتعرفني [ح: لتعرفنني] في كتيبة يضاربونكم [ب: نضاربكم]. قال: فغمز من خلفه فالتفت من قبل منكبه الأيسر قال: أو علي "" [أو علي. ح، ش] قال: [فـ] نزلت هذه الآيات: { قل رب إِما تريني ما يوعدون رب فلا تجعلني في القوم الظالمين و إِنا على أن نريك ما نعدهم لقادرون }."
