surah_number,ayah_number,tafsir_text
43,4,حدّثنا أبو جعفر .  قال :  حدّثنا علي بن أحمد .  قال :  حدّثنا عطاءُ بن السائب عن أبي خالد عن زيد بن علي عليهما السّلامُ في قولهِ عزَّ وجلَّ :  {  وَإِنَّهُ فِي أُمِّ الْكِتَابِ [ لَدَيْنَا ] } وأمُ كُلِّ شيءٍ أَصلُهُ .  والكتابُ :  القُرآنُ وأُمهُ هي نُسختُهُ التي هي عندَ الله .  ولدينا :  معناه عِندنَا .
43,5,وقوله تعالى :  {  أَفَنَضْرِبُ عَنكُمُ الذِّكْرَ صَفْحاً } معناه ننركُكُم فلا تُحاسبون .
43,13,وقوله تعالى :  {  وَمَا كُنَّا لَهُ مُقْرِنِينَ } معناه مُطيقونَ .
43,15,وقوله تعالى :  {  وَجَعَلُواْ لَهُ مِنْ عِبَادِهِ جُزْءًا } معناه نَصيبٌ .  ويقال :  عِدلٌ .
43,16,وقوله تعالى :  {  وَأَصْفَاكُم بِالْبَنِينَ } معناه امتن عَليكم بِهِم .
43,17,وقوله تعالى :  {  ظَلَّ وَجْهُهُ مُسْوَدّاً وَهُوَ كَظِيمٌ } معناه مَكروبٌ .
43,18,وقوله تعالى :  {  أَوَمَن يُنَشَّأُ فِي الْحِلْيَةِ وَهُوَ فِي الْخِصَامِ غَيْرُ مُبِينٍ } قال الإِمامُ زيد بن علي عليهما السّلامُ :  هُنّ النِّساءُ .  فَرَّقَ بين زَيّهنَّ وزيّ الرِّجالِ .  ونَقَصهنَّ فِي المِيراثِ والشَّهادةِ ،  وأَمرهن بالعُدةِ ،  وسَماهن الخَوالفَ .
43,22,وقوله تعالى :  {  إِنَّا وَجَدْنَآ آبَآءَنَا عَلَى أُمَّةٍ } معناه على مِلةٍ واستقامةٍ .
43,26,وقوله تعالى :  {  إِنَّنِي بَرَآءٌ مِّمَّا تَعْبُدُونَ } معناه بَريءٌ وهما لُغتان .
43,27,وقوله تعالى :  {  إِلاَّ الَّذِي فَطَرَنِي } معناه خَلَقني .
43,28,وقوله تعالى :  {  وَجَعَلَهَا كَلِمَةً بَاقِيَةً } قال الإِمامُ زيد بن علي عليهما السّلامُ :  هي قولُ لاَ إِله إِلاَّ الله .
