surah_number,ayah_number,tafsir_text
22,1,"لما انجرّ الكلام في خاتمة السورة المتقدمة إلى ذكر الإعادة وما قبلها وما بعدها ،  بدأ سبحانه في هذه السورة بذكر القيامة وأهوالها ،  حثاً على التقوى التي هي أنفع زاد فقال : { يَا أَيُّهَا الناس اتقوا رَبكُمُ } أي احذروا عقابه بفعل ما أمركم به من الواجبات وترك ما نهاكم عنه من المحرمات ،  ولفظ الناس يشمل جميع المكلفين من الموجودين ومن سيوجد على ما تقرر في موضعه ،  وقد قدّمنا طرفاً من تحقيق ذلك في سورة البقرة ،  وجملة : { إِنَّ زَلْزَلَةَ الساعة شَيْء عَظِيمٌ } تعليل لما قبلها من الأمر بالتقوى ،  والزلزلة : شدّة الحركة ،  وأصلها من زلّ عن الموضع ،  أي زال عنه وتحرّك ،  وزلزل الله قدمه ،  أي : حركها ،  وتكرير الحرف يدل على تأكيد المعنى ،  وهو من إضافة المصدر إلى فاعله ،  وهي على هذا ،  الزلزلة التي هي أحد أشراط الساعة التي تكون في الدنيا قبل يوم القيامة ،  هذا قول الجمهور .   وقيل : إنها تكون في النصف من شهر رمضان ،  ومن بعدها طلوع الشمس من مغربها .   وقيل : إن المصدر هنا مضاف إلى الظرف ،  وهو الساعة ،  إجراء له مجرى المفعول ،  أو بتقدير  "" في ""  كما في قوله : { بَلْ مَكْرُ الليل والنهار } [ سبأ : 33 ] .   وهي المذكورة في قوله : { إِذَا زُلْزِلَتِ الأرض زِلْزَالَهَا } [ الزلزلة : 1 ] .   قيل : وفي التعبير عنها بالشيء إيذان بأن العقول قاصرة عن إدراك كنهها .

/خ7"
22,2,"{ يَوْمَ تَرَوْنَهَا تَذْهَلُ كُلُّ مُرْضِعَةٍ عَمَّا أَرْضَعَتْ } انتصاب الظرف بما بعده ،  والضمير يرجع إلى الزلزلة ،  أي وقت رؤيتكم لها ،  تذهل : كل ذات رضاع عن رضيعها وتغفل عنه .   قال قطرب : تذهل تشتغل ،  وأنشد قول الشاعر :

ضرب يزيل الهام عن مقيله *** ويذهل الخليل عن خليله

وقيل : تنسى ،  وقيل : تلهو .   وقيل : تسلو ،  وهذه معانيها متقاربة .   قال المبرّد : إن «ما » فيما أرضعت بمعنى المصدر أي تذهل عن الإرضاع ،  قال : وهذا يدل على أن هذه الزلزلة في الدنيا ،  إذ ليس بعد القيامة حمل وإرضاع ،  إلا أن يقال : من ماتت حاملاً فتضع حملها للهول ،  ومن ماتت مرضعة بعثت كذلك ،  ويقال : هذا مثل كما يقال : { يَوْماً يَجْعَلُ الولدان شِيباً } [ المزمل : 17 ] .   وقيل : يكون مع النفخة الأولى ،  قال : ويحتمل أن تكون الساعة عبارة عن أهوال يوم القيامة ،  كما في قوله : { مَسَّتْهُمُ البأساء والضراء وَزُلْزِلُوا } [ البقرة : 214 ] .   ومعنى { وَتَضَعُ كُلُّ ذَاتِ حَمْلٍ حَمْلَهَا } : أنها تلقي جنينها لغير تمام من شدّة الهول ،  كما أن المرضعة تترك ولدها بغير رضاع لذلك { وَتَرَى الناس سكارى } قرأ الجمهور بفتح التاء والراء خطاب لكل واحد ،  أي يراهم الرائي كأنهم سكارى { وَمَا هُم بسكارى } حقيقة ،  قرأ حمزة والكسائي :  "" سكرى ""  بغير ألف ،  وقرأ الباقون بإثباتها وهما لغتان يجمع بهما سكران ،  مثل كسلى وكسالى ،  ولما نفى سبحانه عنهم السكر أوضح السبب الذي لأجله شابهوا السكارى فقال : { ولكن عَذَابَ الله شَدِيدٌ } فبسبب هذه الشدة والهول العظيم طاشت عقولهم ،  واضطربت أفهامهم فصاروا كالسكارى ،  بجامع سلب كمال التمييز وصحة الإدراك .

وقرئ : «وترى » بضم التاء وفتح الراء مسنداً إلى المخاطب من أرأيتك أي : تظنهم سكارى .   قال الفراء : ولهذه القراءة وجه جيد في العربية .

/خ7"
22,3,"ثم لما أراد سبحانه أن يحتجّ على منكري البعث قدّم قبل ذلك مقدّمة تشمل أهل الجدال كلهم فقال : { وَمِنَ الناس مَن يجادل فِي الله بِغَيْرِ عِلْمٍ } وقد تقدّم إعراب مثل هذا التركيب في قوله : { وَمِنَ الناس مَن يَقُولُ } [ البقرة : 8 ] .   ومعنى { فِي الله } : في شأن الله وقدرته ،  ومحل { بِغَيْرِ عِلْمٍ } النصب على الحال .   والمعنى : أنه يخاصم في قدرة الله ،  فيزعم أنه غير قادر على البعث بغير علم يعلمه ،  ولا حجة يدلي بها { وَيَتَّبِعْ } فيما يقوله ويتعاطاه ويحتجّ به ويجادل عنه { كُلَّ شيطان مَرِيدٍ } أي متمرّد على الله وهو العاتي ،  سمي بذلك لخلّوه عن كل خير ،  والمراد : إبليس وجنوده ،  أو رؤساء الكفار الذين يدعون أشياعهم إلى الكفر .   وقال الواحدي : قال المفسرون : نزلت في النضر بن الحارث وكان كثير الجدال ،  وكان ينكر أن الله يقدر على إحياء الأموات .   وقيل : نزلت في الوليد بن المغيرة وعتبة بن ربيعة .

/خ7"
22,4,"{ كُتِبَ عَلَيْهِ أَنَّهُ مَن تَوَلاَّهُ } أي كتب على الشيطان ؛ وفاعل كتب : أنه من تولاه ،  والضمير للشأن ،  أي من اتخذه ولياً { فَإنَّهُ يُضِلُّهُ } أي : فشأن الشيطان أن يضله عن طريق الحقّ ،  فقوله  "" أنه يضله ""  جواب الشرط إن جعلت  "" من ""  شرطية أو خبر الموصول إن جعلت موصولة ،  فقد وصف الشيطان بوصفين : الأوّل أنه مريد ،  والثاني ما أفاده جملة  "" كتب عليه ""  إلخ ،  وجملة { وَيَهْدِيهِ إلى عَذَابِ السعير } معطوفة على جملة يضله أي : يحمله على مباشرة ما يصير به في عذاب السعير .

/خ7"
22,5,"ثم ذكر سبحانه ما هو المقصود من الاحتجاج على الكفار بعد فراغه من تلك المقدّمة ،  فقال : { يا أيها الناس إِن كُنتُمْ فِي رَيْبٍ منَ البعث } قرأ الحسن : «البعث » بفتح العين وهي لغة ،  وقرأ الجمهور بالسكون ،  وشكهم يحتمل أن يكون في وقوعه أو في إمكانه .   والمعنى : إن كنتم في شكّ من الإعادة فانظروا في مبدأ خلقكم ،  أي خلق أبيكم آدم ،  ليزول عنكم الريب ،  ويرتفع الشكّ وتدحض الشبهة الباطلة { فَإِنَّا خلقناكم من تُرَابٍ } في ضمن خلق أبيكم آدم «ثُمَّ » خلقناكم { مِن نُطْفَةٍ } أي من منيّ ،  سمي نطفة لقلته ،  والنطفة : القليل من الماء .   وقد يقع على الكثير منه ،  والنطفة : القطرة ،  يقال : نطف ينطف ،  أي قطر .   وليلة نطوف ،  أي دائمة القطر { ثُمَّ مِنْ عَلَقَةٍ } والعلقة : الدم الجامد ،  والعلق : الدم العبيط ،  أي الطريّ أو المتجمد ،  وقيل : الشديد الحمرة والمراد : الدم الجامد المتكوّن من المنيّ { ثُمَّ مِن مُّضْغَةٍ } وهي القطعة من اللحم ،  قدر ما يمضغ الماضغ تتكوّن من العلقة { مُّخَلَّقَةٍ } بالجرّ صفة لمضغة ،  أي مستبينة الخلق ظاهرة التصوير { وَغَيْرِ مُخَلَّقَةٍ } أي : لم يستبن خلقها ولا ظهر تصويرها .   قال ابن الأعرابي : مخلقة يريد قد بدأ خلقه ،  وغير مخلقة : لم تصوّر .   قال الأكثر : ما أكمل خلقه بنفخ الروح فيه فهو المخلقة وهو الذي ولد لتمام ،  وما سقط كان غير مخلقة أي غير حيّ بإكمال خلقته بالروح .   قال الفراء : مخلقة : تامّ الخلق ،  وغير مخلقة : السقط ،  ومنه قول الشاعر :

أفي غير المخلقة البكاء *** فأين الحزم ويحك والحياء

واللام في { لنُبَيّنَ لَكُمْ } متعلق بخلقنا ،  أي خلقناكم على هذا النمط البديع لنبين لكم كمال قدرتنا بتصريفنا أطوار خلقكم { وَنُقِرُّ فِي الأرحام مَا نَشَاء } روى أبو حاتم عن أبي زيد عن المفضل عن عاصم أنه قرأ بنصب  "" نقرّ ""  عطفاً على  "" نبين ""  ،  وقرأ الجمهور : «نقر » بالرفع على الاستئناف ،  أي ونحن نقرّ .   قال الزجاج : نقرّ بالرفع لا غير ،  لأنه ليس المعنى فعلنا ذلك لنقرّ في الأرحام ما نشاء ،  ومعنى الآية : ونثبت في الأرحام ما نشاء فلا يكون سقطاً { إلى أَجَلٍ مُسَمًّى } وهو وقت الولادة ،  وقال ما نشاء ،  ولم يقل : من نشاء ،  لأنه يرجع إلى الحمل وهو جماد قبل أن ينفخ فيه الروح ،  وقرئ «ليبين » «ويقرّ » و«يخرجكم » بالتحتية في الأفعال الثلاثة ،  وقرأ ابن أبي وثاب : «ما نشاء » بكسر النون { ثُمَّ نُخْرِجكُمْ طِفْلاً } أي نخرجكم من بطون أمهاتكم طفلاً ،  أي أطفالاً ،  وإنما أفرده إرادة للجنس الشامل للواحد والمتعدد .   قال الزجاج : طفلاً في معنى أطفالاً ،  ودلّ عليه ذكر الجماعة : يعني في : نخرجكم ،  والعرب كثيراً ما تطلق اسم الواحد على الجماعة ،  ومنه قول الشاعر :

يليحنني من حبها ويلمنني *** إن العواذل لسن لي بأمير

وقال المبرد : هو اسم يستعمل مصدراً كالرضا والعدل ،  فيقع على الواحد والجمع ،  قال الله سبحانه : { أَوِ الطفل الذين لَمْ يَظْهَرُوا } [ النور : 31 ] .   قال ابن جرير : هو منصوب على التمييز كقوله : { فَإِن طِبْنَ لَكُمْ عَن شَيْء منْهُ نَفْساً } [ النساء : 4 ] .   وفيه بعد ،  والظاهر انتصابه على الحال بالتأويل المذكور ،  والطفل يطلق على الصغير من وقت انفصاله إلى البلوغ { ثُمَّ لِتَبْلُغُوا أَشُدَّكُمْ } قيل : هو علة لنخرجكم معطوف على علة أخرى مناسبة له ،  كأنه قيل : نخرجكم لتكبروا شيئاً فشيئاً ثم لتبلغوا إلى الأشدّ ؛ وقيل : إن  "" ثم ""  زائدة والتقدير : لتبلغوا ؛ وقيل : إنه معطوف على  "" نبين ""  .   والأشدّ هو : كمال العقل وكمال القوّة والتمييز .   قيل : وهو ما بين الثلاثين إلى الأربعين .   وقد تقدم الكلام في هذا مستوفى في الأنعام { وَمِنكُمْ مَن يتوفى } يعني : قبل بلوغ الأشدّ ،  وقرئ «يتوفّى » مبنياً للفاعل .   وقرأ الجمهور : «يتوفى » مبنياً للمفعول { وَمِنكُم مَن يُرَدُّ إلى أَرْذَلِ العمر } أي أخسه وأدونه ،  وهو الهرم والخرف حتى لا يعقل ،  ولهذا قال سبحانه : { لِكَيْلاَ يَعْلَمَ مِن بَعْدِ عِلْمٍ شَيْئاً } أي شيئاً من الأشياء ،  أو شيئاً من العلم ،  والمعنى : أنه يصير من بعد أن كان ذا علم بالأشياء وفهم لها ،  لا علم له ولا فهم ،  ومثله قوله : { لَقَدْ خَلَقْنَا الإنسان فِي أَحْسَنِ تَقْوِيمٍ * ثُمَّ رددناه أَسْفَلَ سافلين } [ التين : 4 ،  5 ] ،  وقوله : { وَمَن نّعَمّرْهُ نُنَكّسْهُ فِي الخلق } [ يس : 68 ] .   { وَتَرَى الأرض هَامِدَةً } هذه حجة أخرى على البعث ،  فإنه سبحانه احتج بإحياء الأرض بإنزال الماء على إحياء الأموات ،  والهامدة : اليابسة التي لا تنبت شيئاً ،  قال ابن قتيبة : أي ميتة يابسة كالنار إذا طفئت .   وقيل : دارسة ،  والهمود : الدروس ،  ومنه قول الأعشى :

قالت قتيلة ما لجسمك شاحباً *** وأرى ثيابك باليات همودا

وقيل : هي التي ذهب عنها الندى ؛ وقيل : هالكة ،  ومعاني هذه الأقوال متقاربة { فَإِذَا أَنزَلْنَا عَلَيْهَا الماء اهتزت وَرَبَتْ } المراد بالماء هنا : المطر ،  ومعنى : اهتزّت : تحركت .   والاهتزاز : شدّة الحركة ،  يقال : هززت الشيء فاهتزّ ،  أي حركته فتحرك ،  والمعنى : تحركت بالنبات ؛ لأن النبات لا يخرج منها حتى يزيل بعضها من بعض إزالة حقيقة ،  فسماه اهتزازاً مجازاً .   وقال المبرد : المعنى : اهتزّ نباتها فحذف المضاف .   واهتزازه شدة حركته ،  والاهتزاز في النبات أظهر منه في الأرض .   ومعنى ربت : ارتفعت ،  وقيل : انتفخت .   والمعنى واحد ،  وأصله : الزيادة ،  يقال : ربا الشيء يربو ربواً : إذا زاد ،  ومنه الربا والربوة .   وقرأ يزيد بن القعقاع وخالد بن إلياس : «وربأت » أي ارتفعت حتى صارت بمنزلة الرابية ،  وهو الذي يحفظ القوم على مكان مشرف يقال له : رابىء ورابئة وربيئة { وَأَنبَتَتْ } أي أخرجت { مِن كُلّ زَوْجٍ بَهِيجٍ } أي من كلّ صنف حسن ولون مستحسن ،  والبهجة : الحسن .

/خ7"
22,6,"وجملة : { ذلك بِأَنَّ الله هُوَ الحق } مستأنفة ،  لما ذكر افتقار الموجودات إليه سبحانه وتسخيرها على وفق إرادته واقتداره .   قال بعد ذلك هذه المقالات ،  وهي إثبات أنه سبحانه الحق ،  وأنه المتفرد بإحياء الموتى ،  وأنه قادر على كل شيء من الأشياء ،  والمعنى : أنه المتفرد بهذه الأمور ،  وأنها من شأنه لا يدّعي غيره أنه يقدر على شيء منها ،  فدلّ سبحانه بهذا على أنه الحق الحقيقي الغني المطلق ؛ وأن وجود كل موجود مستفاد منه ،  والحق هو الموجود الذي لا يتغير ولا يزول .   وقيل : ذو الحقّ على عباده .   وقيل : الحقّ في أفعاله .   قال الزجاج : { ذلك } في موضع رفع ،  أي الأمر ما وصفه لكم وبيّن بأن الله هو الحق .   قال : ويجوز أن يكون { ذلك } نصباً .

/خ7"
22,7,"ثم أخبر سبحانه بأن { الساعة آتِيَةٌ } أي في مستقبل الزمان ،  قيل : لا بدّ من إضمار فعل ،  أي ولتعلموا أن الساعة آتية { لاَ رَيْبَ فِيهَا } أي لا شك فيها ولا تردّد ،  وجملة : { لاَ رَيْبَ فِيهَا } خبر ثانٍ للساعة ،  أو في محل نصب على الحال .   ثم أخبر سبحانه عن البعث فقال : { وَأَنَّ الله يَبْعَثُ مَن فِي القبور } فيجازيهم بأعمالهم ،  إن خيراً فخير وإن شرّاً فشرّ ،  وأن ذلك كائن لا محالة .

/خ7"
22,8,"قوله : { وَمِنَ الناس مَن يجادل فِي الله } أي في شأن الله ،  كقول من قال : إن الملائكة بنات الله ،  والمسيح ابن الله ،  وعزير ابن الله .   قيل : نزلت في النضر بن الحارث .   وقيل : في أبي جهل .   وقيل : هي عامة لكل من يتصدى لإضلال الناس وإغوائهم ،  وعلى كل حال فالاعتبار بما يدلّ عليه اللفظ وإن كان السبب خاصاً .   ومعنى اللفظ : ومن الناس فريق يجادل في الله ،  فيدخل في ذلك كل مجادل في ذات الله ،  أو صفاته أو شرائعه الواضحة ،  و{ بِغَيْرِ عِلْمٍ } في محل نصب على الحال ،  أي كائناً بغير علم .   قيل : والمراد بالعلم هو : العلم الضروري ،  وبالهدى هو العلم النظري الاستدلالي .   والأولى حمل العلم على العموم ،  وحمل الهدى على معناه اللغوي ،  وهو : الإرشاد .   والمراد بالكتاب المنير هو : القرآن ،  والمنير : النير البين الحجة الواضح البرهان ،  وهو وإن دخل تحت قوله : { بِغَيْرِ عِلْمٍ } فإفراده بالذكر كإفراد جبريل بالذكر عند ذكر الملائكة ،  وذلك لكونه الفرد الكامل الفائق على غيره من أفراد العلم .   وأما من حمل العلم على الضروري والهدى على الاستدلالي ،  فقد حمل الكتاب هنا على الدليل السمعي ،  فتكون الآية متضمنة لنفي الدليل العقلي ضرورياً كان أو استدلالياً ،  ومتضمنة لنفي الدليل النقلي بأقسامه ،  وما ذكرناه أولى .   قيل : والمراد بهذا المجادل في هذه الآية هو المجادل في الآية الأولى ،  أعني قوله : { وَمِنَ الناس مَن يجادل فِي الله بِغَيْرِ عِلْمٍ وَيَتَّبِعُ كُلَّ شيطان مَرِيدٍ } [ الحج : 3 ] وبذلك قال كثير من المفسرين .   والتكرير للمبالغة في الذمّ كما تقول للرجل تذمه وتوبخه : أنت فعلت هذا أنت فعلت هذا ؟ ويجوز أن يكون التكرير لكونه وصفه في كل آية بزيادة على ما وصفه به في الآية الأخرى ،  فكأنه قال : ومن الناس من يجادل في الله ويتبع كلّ شيطان مريد بغير علم { وَلاَ هُدًى وَلاَ كتاب مُّنِيرٍ } ليضل عن سبيل الله اه .   وقيل : الآية الأولى في المقلدين اسم فاعل .   والثانية في المقلدين اسم مفعول .   ولا وجه لهذا كما أنه لا وجه لقول من قال : إن الآية الأولى خاصة بإضلال المتبوعين لتابعيهم ،  والثانية عامة في كلّ إضلال وجدال .

/خ16"
22,9,"وانتصاب { ثَانِيَ عِطْفِهِ } على الحال من فاعل يجادل ،  والعطف : الجانب ،  وعطفا الرجل : جانباه من يمين وشمال ،  وفي تفسيره وجهان : الأوّل : أن المراد به من يلوي عنقه مرحاً وتكبراً ،  ذكر معناه الزجاج .   قال : وهذا يوصف به المتكبر .   والمعنى : ومن الناس من يجادل في الله متكبراً .   قال المبرد : العطف ما انثنى من العنق .   والوجه الثاني : أن المراد بقوله : { ثَانِيَ عِطْفِهِ } : الإعراض ،  أي معرضاً عن الذكر ،  كذا قال الفراء والمفضل وغيرهما كقوله تعالى : { ولى مُسْتَكْبِراً كَأَن لَّمْ يَسْمَعْهَا } [ لقمان : 7 ] ،  وقوله : { لَوَّوا رُؤُوسَهُمْ } [ المنافقون : 5 ] ،  وقوله : { أَعْرَضَ وَنَأَى بِجَانِبِهِ } [ الإسراء : 83 ] ،  واللام في { لِيُضِلَّ عَن سَبِيلِ الله } متعلق ب[ يجادل ] أي إن غرضه هو الإضلال عن السبيل وإن لم يعترف بذلك .   وقرئ : «ليضلّ » بفتح الياء على أن تكون اللام هي لام العاقبة كأنه جعل ضلاله غاية لجداله ،  وجملة : { لَهُ فِي الدنيا خِزْيٌ } مستأنفة مبينة لما يحصل له بسبب جداله من العقوبة .   والخزي : الذل ،  وذلك بما يناله من العقوبة في الدنيا من العذاب المعجل وسوء الذكر على ألسن الناس .   وقيل : الخزي الدنيوي هو : القتل ،  كما وقع في يوم بدر { وَنُذِيقُهُ يَوْمَ القيامة عَذَابَ الحريق } أي عذاب النار المحرقة .

/خ16"
22,10,"والإشارة بقوله : { ذلك } إلى ما تقدّم من العذاب الدنيوي والأخروي ،  وهو مبتدأ خبره : { بِمَا قَدَّمَتْ يَدَاكَ } ،  والباء للسببية ،  أي ذلك العذاب النازل بك بسبب ما قدّمته يداك من الكفر والمعاصي ،  وعبر باليد عن جملة البدن لكون مباشرة المعاصي تكون بها في الغالب ،  ومحل  "" أن ""  وما بعدها في قوله : { وَأَنَّ الله لَيْسَ بظلام للْعَبِيدِ } الرفع على أنها خبر مبتدأ محذوف ،  أي والأمر أنه سبحانه لا يعذب عباده بغير ذنب .   وقد مرّ الكلام على هذه الآية في آخر آل عمران فلا نعيده .

/خ16"
