surah_number,ayah_number,tafsir_text
78,1,"التّفسير

خبر هام !

تأتي الآية الأُولى لتستفهم بتعجب :  ( عمّ يتسائلون ) !

/خ5"
78,2,"ودون انتظار للجواب ،  تجيب الآية الثّانية ما سُئِل عنه في الآية الأُولى :  ( عن النبأ العظيم ) .

/خ5"
78,3,"ذلك الخبر :  ( الذي هم فيه مختلفون ) .

أورد المفسّرون آراءً متباينة في المقصود من «النبأ العظيم » ،  فمنهم مَنْ اعتبره إشارة إلى يوم القيامة ،  ومنهم مَنْ قال بأنّه إشارة إلى القرآن الكريم ،  ومنهم مَنْ اعتبره إشارة إلى أُصول الدين من التوحيد حتى المعاد .

وقد فسّرته الرّوايات بالولاية والإمامة ( وسنشير إلى ذلك في البحوث الآتية ) .

وبنظرة دقيقة إلى مجموع آيات السورة وسياق طرحها ،  وما ذكرته الآيات اللاحقة من ملامح القدرة الإلهية بعرض بعض مصاديقها في السماء والأرض ،  وبعد هذا العرض تؤكّد إحدى الآيات ،  ( إنّ يوم الفصل كان ميقاتاً ) ثمّ مخالفة وعدم تقبل المشركين لمبدأ «المعاد » ،  كل ذلك يدعم التّفسير الأوّل القائل :  بأنّ النبأ العظيم هو يوم القيامة .

«النبأ » :  كما يقول الراغب في مفرداته :  خبر ذو فائدة عظيمة يحصل به علمٌ أو غلبة ظن ،  ولا يقال للخبر في الأصل نبأٌ حتى يتضمّن هذه الأشياء الثلاثة .

فوصف «النبأ » ب «العظيم » للتأكيد على أهميته ،  وللبت بأنّ ما يشك فيه البعض إنّما هو :  أمر واقع ،  بالغ الأهمية ،  خطير .  .  وكما قلنا فهذا المعنى يناسب كونه يوم القيامة أكثر ممّا يناسب بقية التفاسير .

وربّما كانت جملة «يتسائلون » إشارة إلى الكفّار دون غيرهم ،  لأنّهم كثيراً ما كانوا يتسائلون فيما بينهم بخصوص «المعاد » ،  وما كان تساؤلهم لأجل الفحص والتحقيق وصولاً للحقيقة ،  بل كان لغرض التشكيك لا أكثر .

وثمّة احتمال آخر :  كون تساؤلهم كان موجهاً إلى المؤمنين عموماً ،  أو إلى النّبي( صلى الله عليه وآله وسلم ) خاصّة .

وقد يتساءل أنّه إذا كان «النبأ العظيم » هو يوم القيامة ،  فلماذا يقول القرآن الكريم :  ( الذي هم فيه مختلفون ) ،  وفي علمنا أنّ الكفار مجمعون على إنكاره ؟  ؟

والجواب :  أنّ المشركين لا يقطعون في إنكارهم للمعاد بشكل جازم ،  والكثير منهم يعتقدون بصورة إجمالية ببقاء الروح بعد البدن ،  وهو ما يسمى ب ( المعاد الروحاني ) .

أمّا بخصوص ( المعاد الجسماني ) ،  فالمشركون ليسوا على وتيرة واحدة في إنكاره ،  فهناك مَنْ يظهر الشكّ والتردد ،  كما تشير إلى ذلك الآية ( 66 ) من سورة النحل .  .  وهناك مَنْ ينكر المعاد الجسماني بشدّة حتى دفعهم جهلهم وعنادهم لأنْ ينعتوا رسول الله( صلى الله عليه وآله وسلم ) ( والعياذ بالله ) بالجنون لقوله بالمعاد الجسماني ،  وقد عرفوه تارة أُخرى بالكاذب على الله !  كما أُخبرت بذلك سورة سبأ في الآيتين ( 7 و8 ) .  .

وعليه ،  فاختلاف المشركين في «المعاد » أمر واقع ولا يمكن إنكاره .

/خ5"
78,4,"ويضيف القرآن قائلاً :  ( كلاّ سيعلمون ) ،  فليس الأمر كما يقولون أو يظنون .

/خ5"
78,5,"ويجدد التأكيد :  ( ثم كلاّ سيعلمون ) .

فسيعلمون في ذلك اليوم الواقع حتماً :  ( أنْ تقول نفس يا حسرتي على ما فرطت في جنب الله ) ،  يوم ينهال العذاب الإلهي على الكافرين فيقولون بصرخات مستغيثة :  ( هل إلى مردٍّ من سبيل ) .

بل وإنّ طلب العودة إلى الحياة لجبران خطيئاتهم سيطرح في أُولى لحظات الموت ،  حين تزال الحجب عن عين الإنسان فيرى بأُمِّ عينيه حقيقة عالم الآخرة ،  فيستيقن حياة البرزخ والمعاد ،  ولا يبقى عنده إلاّ أنْ يقول :  ( ربِّ ارجعون لعلي أعمل صالحاً فيما تركت ) .

«السين » في «سيعلمون » حرف استقبال ( يستعمل للمستقبل القريب ) ،  وهو في الآية المباركة يشير إلى قرب وقوع يوم القيامة ،  وما نسبة أيّام الدنيا للآخرة إلاّ ساعة من الزمن !

أمّا تكرار جملة «كلاّ يسعلمون » ،  فقيل :  للتأكيد .  وقيل :  لبيان وقوع أمرين .  .  الأوّل :  قرب وقوع العذاب الدنيوي .  والثّاني :  الإشارة إلى قرب عذاب الآخرة أيضاً .  وقد رجح المفسّرون التفسير الأوّل .

وثمّة احتمال آخر ،  وهو أنّ نمو وتطور الفكر البشري سيوصل البشرية إلى التقدم العلمي الذي يثبت بالأدلة العلمية والشواهد الحيّة تحقق يوم القيامة ،  بالشكل الذي يبطل كل حيل الإنكار وعدم الإقرار .

ويُشكل على هذا الاحتمال .  .  كون ما سيحصل من تطور وتقدم إنّما يختص بالأجيال القادمة ،  في حين أنّ الآية تتحدث عن المشركين في عهد النّبي( صلى الله عليه وآله ) ،  وتناولت مسألة اختلافهم في أمر يوم القيامة .

/خ5"
78,6,"التّفسير

كل شيء بأمرك يا ربّ .  .  .

تجيب الآيات المذكورة على أسئلة منكري المعاد والمختلفين في هذا «النبأ العظيم » لأنّها تستعرض جوانب معينة من نظام الكون وعالم الوجود الموزون ،  مع تبيانها لبعض النعم الإلهية الواسعة ذات التأثير الفعال في حياة الإنسان ،  وذلك من جهة دليل على قدرة الباري عزَّ وجل المطلقة ،  ومنها قدرته على إعادة الحياة إلى الإنسان بعد موته .

ومن جهة أُخرى إشارة إلى أنّ الكون وما فيه من دقّة تنظيم ،  لا يمكن أنْ يُخلق لمجرّد العبث واللهو !  بل لابدّ من وجود حكمة بالغة لهذا الخلق .  في حين أنّه لو كان الموت يعني نهاية كل شيء ،  فمعنى ذلك أنّ وجود العالم عبث وخال من أيّةِ حكمة !  !

وبهذا فقد استدل القرآن الكريم على حقيقة «المعاد » بطريقين :

1  برهان القدرة .

2  برهان الحكمة .

وقد عرضت الآيات الإحدى عشر ،  اثنتي عشر نعمة إلهية ،  بأُسلوب ملؤه اللطف والمحبّة ،  مصحوباً بالاستدلال ،  لأنّ الاستدلال العقلي لو لم يقترن بالإحساس العاطفي والنشاط الروحي يكون قليل التأثير .

وتشرع الآيات بالإشارة إلى نعمة الأرض ،  فتقول :  ( ألم نجعل الأرض مهاداً ) .

( المهاد ) :  كما يقول الراغب في المفردات :  المكان الممهّد الموطأ ،  وهو في الأصل مشتق من «المهد » ،  أيْ المكان المهيأ للصبي .

وفسّره بعض أهل اللغة والمفسّرين بالفراش ،  لنعومته واستوائه وكونه محلاً للراحة .

واختيار هذا الوصف للأرض ينم عن مغزىً عميق .  .

فمن جهة :  نجد في قسم واسع من الأرض الاستواء والسهولة ،  فتكون مهيأة لبناء المساكن والزراعة .

ومن جهة ثانية :  أُودع فيها كل ما يحتاجه الإنسان لحياته من المواد الأولية إلى المعادن الثمينة ،  سواء كان ذلك على سطحها أمْ في باطنها .

ومن جهة ثالثة :  تحلل الأجساد الميتة التي تودع فيها ،  وتبيد كل الجراثيم الناشئة عن هذه العملية بما أودع فيها الباري من قدرة على ذلك .

ومن جهة رابعة :  ما لحركتها السريعة المنظمة ولدورانها حول الشمس وحول نفسها من أثر على حياة البشرية خاصّة ،  بما ينجم عنها الليل والنهار والفصول الأربعة .

ومن جهة خامسة :  خزنها لقسم كبير من مياه الأمطار الغزيرة ،  وإخراج ذلك على شكل عيون ،  آبار ،  أنهار .

والخلاصة :  إنّ جميع وسائل الاستقرار والعيش لبني آدم متوفرة في هذا المهد الكبير ،  وقد لا يلتفت الإنسان إلى عظم هذه النعمة الرّبانية ،  إلاّ إذا ما أصاب الأرض زلزالاً .  .  ،  وعندها سيدرك معنى استقرار الأرض ،  ومعنى كونها مهاداً .

/خ16"
78,7,"وبما أنّ نعمة استواء الأرض وسهولتها قد تهمش نعمة الجبال ،  فقد جاءت الآية التالية لتبيّن أهمية الجبال ودورها المهم في حياة الإنسان :  ( والجبال أوتاداً ) .

تشكل الجبال آيةً ربانية زاخرة بالعطاء ،  وتؤدي وظائف كثيرة ،  منها أنّها تحفظ القشرة الأرضية من الانهيار أمام الضغط الحاصل من المواد المذابة داخلها ،

وذلك لعمق تجذرها المترابط داخل الأرض .  .  وتحافظ عليها من تأثيرات جاذبية القمر في عملية المد والجزر .  .  وتشكل جدران الجبال سداً منيعاً للتقليل من آثار الرياح الشديدة والعواصف المدمرة .  .  وتهيئ للإنسان الملاجئ الهادئة في مغاراتها وبين تعرجاتها لتأمنه من ضربات العواصف المهلكة .  .  وتقوم بخزن المياه وادخار أنواع المعادن الثمينة في باطنها .  .

بالإضافة لكل ما ذكر ،  فتوزيع الجبال على الأرض بالشكل الموجود وتعاملاً مع حركة الأرض يعمل على تنظيم حركة الهواء المحيط بالكرة الأرضية بالشكل الذي يؤثر ايجابياً على الحياة فوق الأرض .  وفي هذا المجال ،  يقول العلماء :  لو كان سطح الكرة الأرضية مستوياً كله ،  لتولدت عواصف شديدة لا يمكن السيطرة عليها جراء حركة الأرض وسكون الغلاف الجوي ،  ولفقدت الأرض صلاحيتها بتوفير مستلزمات السكن للإنسان ،  لأنّ استمرار الاحتكاك الحاصل من حركة الأرض الدائمة وسكون الغلاف الجوي سيؤدي بلا شك إلى زيادة حرارة القشرة الأرضية ممّا يجعل الأرض غير صالحة لسكنى الإنسان .

/خ16"
78,8,"وبعد أنْ بيّن القرآن هذين النموذجين من النعم الإلهية والآيات الآفاقية ،  عرج إلى ذكر ما أنعم الباري على الإنسان من النعم والآيات الانفسية فقال :  ( وخلقناكم أزواجاً ) .

«الأزواج » :  جمع زوج ،  المتشكل من الذكر والأُنثى ،  ويخرج الإنسان إلى حياة الوجود من هذين الجنسين ،  ويستمر وجوده في الحياة من خلال عملية التناسل التي تساهم في استقرار الإنسان من الناحيتين الجسمية والنفسية ،  كما تشير إلى هذا الآية ( 21 ) من سورة الروم :  ( ومِنْ آياته أنْ خلق لكم من أنفسكم أزواجاً لتسكنوا إليها وجعل بينكم مودّة ورحمة ) .

وبعبارة أُخرى :  إنّ كلاً من الذكر والأُنثى مكمل لوجود الآخر ،  وعاملاً على إشباع احتياجات الطرف الآخر من الناحيتين الجسمية والنفسية .

وفسّر البعض كلمة «أزواج » بالأصناف المختلفة للناس ،  لأنّ من معاني ( أزواج ) :  الأصناف والأنواع ،  فاعتبروها إشارة إلى ذلك التباين الموجود بين البشر من حيث :  اللون ،  الجنس ،  الاستعدادات والقابليات ،  للدلالة على عظمة الباري جلّ شأنه والعامل على تكامل المجتمع الإنساني .

/خ16"
78,9,"ويشير بعد ذلك إلى نعمة النوم ،  فيقول :  ( وجعلنا نومكم سباتاً ) .

«السبات » :  من السبت ،  بمعنى القطع ،  ثمّ استعملت بمعنى ( تعطيل العمل ) لأجل الاستراحة ،  وسمي «يوم السبت » بذلك لأنّ اليهود كانوا يعطلون أعمالهم في اليوم المذكور .

ويحمل وصف «النوم » بالسبات إشارةً لطيفة إلى تعطيل قسم من الفعاليات

الجسمية والروحية للإنسان عند النوم .

ويعطي التعطيل فرصة :  لاستراحة أعضاء البدن .  .  لتجديد القوى .  .  لتقوية الروح والجسد ،  لتجديد النشاط ورفع أيّ نوع من التعب والآلام ،  والاستعداد لتقبل المرحلية القادمة ( بعد النوم ) بفاعلية ونشاط متجدد .

وبالرغم من أنّ النوم يشكّل ثلث حياة الإنسان ،  ولكنّ الإنسان لا زال يجهل الكثير من خفاياه ،  بل ولا زال الإنسان ( منذ القديم وحتى الآن ) لا يعرف سبب تعطيل بعض فعاليات الدماغ في مدّة معينة وتغمض العين أجفانها وتسكن جميع أعضاء البدن !

وبات من المعروف ما للنوم من دور مهم في حياة الإنسان ،  حتى حرص أطباء علم النفس دوماً على تنظيم نوم مرضاهم بصورته الطبيعية حفاظاً على حالة التوازن النفسي للمرضى .

فالذين لا يتمتعون بنوم طبيعي تراهم مصابون بحدّة المزاج ،  القلق ،  الاضطراب ،  الكآبة ،  وبالمقابل ،  نرى الذين يتمتعون بنوم طبيعي ينهضون كل صباح بنشاط وحيوية وبقدرة جديدة .

ومن بين ما يقدمه النوم من تأثير مهم على الإنسان :  سرعة تقبل ذهن الإنسان للدراسة والمطالعة بعد فترة نوم طبيعية وهادئة وسرعة إنجاز الأعمال الفكرية والبدنية ولعلّ من أسهل أساليب تعذيب الإنسان هو حرمانه من النوم ،  خصوصاً وأنّ التجارب العلمية أثبتت بأنّ قابلية الإنسان على تحمل الأرق ضعيفة جدّاً ،  وإذا حاول أيُّ إنسان أنْ يجرب ذلك ،  فلا تمضي عليه فترة وجيزة إلاّ ويصاب في سلامته ويمرض .

وكلّ ما ذكر من فوائد النوم فإنّه يختص بالنوم الطبيعي الموزون ،  وأمّا إذا زاد عن حدّه الطبيعي فلا يجني صاحبه سوى الآثار السلبية لهذا الإفراط ،  كحال الإفراط في الطعام .

ومن الغريب أنّ نسبة فترة النوم تختلف من إنسان لآخر ،  ولا يمكن تعيين فترة محددة لكل الناس ،  وعليه .  .  فكل إنسان يعرف الفترة التي تناسبه طبيعياً بما يناسب فعالياته الجسمية والروحية ،  وتجربة الإنسان هي التي تُعين نسبة النوم الضروري له .

والأغرب من ذلك ،  إنّه قد يضطر الإنسان في الحوادث والشدائد إلى السهر واليقظة مدّة طويلة ،  ولذلك تزداد مقاومته للنوم بشكل ملحوظ ولكنّه مؤقت ،  وقد يستكفي في تلك الأحيان بساعة أو ساعتين من النوم لليوم الواحد ،  ولكنْ .  .  سرعان ما ينتهي ذلك التمكن بمجرّد الرجوع إلى الحالة الطبيعية ،  بل وقد يحتاج لساعات نوم أطول من السابق للتعويض عمّا فاته من نوم !

ومن النادر أنْ نرى إنساناً يعيش حالة اليقظة لعدة أشهر ،  وفي قبال ذلك نرى بعض الناس ينامون أثناء المشي ،  بل وهناك مَنْ ينام وأنت تشاطره أطراف الحديث ،  ومثل هكذا أشخاص يعيشون حالة غير طبيعية وغالباً ما تكون الحوادث المؤسفة في انتظارهم ،  فالضرورة تقتضي ألاّ يتركوا بدون مراقب أو مرافق .

والخلاصة : إنّ هذا الحادث العجيب والظاهرة الغامضة التي تدعى ب «النوم » مصحوبة بعجائب كثيرة وكأنّها معجزة من المعاجز .

ومع أنّ ذكر النوم في الآية قد جاء باعتباره إحدى النعم الإلهية ،  إلاّ أنّ الآية المباركة قد تشير بذلك إلى الموت ،  لما للنوم من شبه بالموت ،  والاستيقاظ بالبعث .

/خ16"
78,10,"وبعد الانتهاء من ذكر نعمة النوم ،  ينتقل القرآن الكريم لذكر نعمة الليل ،  فيقول :  ( وجعلنا الليل لباساً ) .

/خ16"
