surah_number,ayah_number,tafsir_text
55,1,"بسم الله الرحمن الرحيم ( ألرحمن ( 1 ) علم القرآن ( 2 ) خلق الانسان ( 3 )

علمه البيان ( 4 ) ألشمس والقمر بحسبان ( 5 ) والنجم والشجر يسجدان ( 6 ) والسماء رفعها ووضع الميزان ( 7 ) ألا تطغوا في الميزان ( 8 ) وأقموا الوزن بالقسط ولا تخسروا الميزان ( 9 )

والارض وضعها للانام ( 10 ) فيها فاكهة والنخل ذات الاكمام ( 11 ) والحب ذو العصف والريحان ( 12 ) فبأي آلاء ربكما تكذبان ) ( 13 ) .

ثلاث عشرة آية كوفى وشامي ،   وإثنتا عشرة آية بصري وإحدى عشرة آية في ما عداه ،   عد الكوفى والشامي ( الرحمن ) ولم يعده الباقون ،   وعدوا ( خلق الانسان ) إلا أهل المدينة فانهم عدوا ( البيان ) آخر الآية .   وقرأ ( الحب ذا العصف ) بالنصب شامي ( والريحان ) خفض كوفى غير عاصم ،   وعد الكوفيون ( الرحمن ) آية مع أنه ليس بجملة ،   لانه في تقدير الله الرحمن حتى تصح الفاصلة وهو خبر مبتدأ محذوف نحو قوله ( سورة أنزلناها ) أي هذه أنزلناها ،   ومعنى ( الرحمن )

هو الذي وسعت رحمته كل شئ ،   فلذلك لا يجوز أن يوصف به إلا الله تعالى ،   فأما ( راحم ورحيم ) فيجوز ان يوصف به العباد ."
55,2,وقوله ( علم القرآن ) فالتعليم تبين ما به يصير من لم يعلم عالما .   والاعلام إيجاد ما به يصير عالما ،   وفى قوله ( الرحمن علم القرآن ) تذكير بالنعمة في ما علم من الحكم بالقرآن التي يحتاج اليها الناس في دينهم ليؤدوا ما يجب عليهم وينالوا الفضل بطاعة ربهم ويستوجبوا به الثواب وينالوا الرضوان .
55,3,وقوله ( خلق الانسان ) معناه إنه الذي اخترع الانسان وأخرجه من العدم إلى الوجود ،   وقيل : المراد بالانسان - ههنا - آدم ( عليه السلام ) .   وقيل : محمد ( صلى الله عليه وآله ) وقيل : جميع الناس وهو الظاهر وهو الاعم في الجميع .
55,4,وقوله ( علمه البيان ) أى خلق فيه التمييز الذي بان به من سائر الحيوان .   وقيل : معناه علمه الكلام الذى يبين به عن مراده ويتميز به عن سائر الحيوان ،   فالبيان هو الادلة الموصلة إلى العلم .   وقيل : البيان إظهار المعنى للنفس بما يتميز به عن غيره كتميز معنى رجل من معنى فرس ،   ومعنى قادر من معنى عاجز ،   ومعنى عام من معنى خاص ،   ومعنى شئ من معنى هذا بعينه ،   وفيه تنبيه على أنه تعالى خلق الانسان غير عالم ،   ثم علمه البيان ،   خلافا لقول من يقول من الجهال : إن الانسان لم يزل عالما بالاشياء ،   وإنما يحتاج فيه إلى تذكير ،   فكيف يكون عالما من لم يخلق بعد لولا الغباوة وقلة التحصيل .
55,5,"وقوله ( والشمس والقمر بحسبان ) أي يجريان بحسبان فاضمر يجريان وحذفه لدلالة الكلام عليه ،   فيكون إرتفاع الشمس بالفعل المقدر .   وقال قوم :

إرتفعا بتقديرهما بحسبان أي بحساب ،   والمعنى علمه البيان أن الشمس والقمر بحسبان وقيل : المعنى أن أمرهما يجري في الادوار على مقدار من الحساب على ما وضعه حكيم عليم بتدبير صحيح ،   قد كان يمكن وضعهما على خلافه غير انه اختار ذلك لاستغناء العباد بها في وجوه المنافع وما في ذلك من المصالح .   وقال ابن عباس وقتادة وابن زيد : بحسبان ،   ومنازل يجريان فيها ولا يعدوانها .   وقيل : إن القمر يقطع بروج السماء في ثمانية وعشرين يوما ،   والشمس تقطع ذلك في ثلثمائة وخمسمة وستين يوما وشئ .   وقوله ( بحسبان ) خبر الشمس والقمر على قول من رفعهما بالابتداء ( وحسبان ) مصدر حسبته أحسبه حسبانا نحو السكران والكفران .   وقيل : هو جمع حساب كشهاب وشهبان ."
55,6,"وقوله ( والنجم والشجر يسجدان ) فالنجم من النبات ما طلع ،   يقال :

نجم ينجم إذا طلع ،   ونجم القرن والنبات إذا طلعا ،   وبه سمي نجم السماء ،   وهو الكوكب لطلوعه .   والنجم - ههنا - النبت الطالع من الارض ،   وهو النبات الذي ليس له ساق - في قول ابن عباس وسعيد وسفيان - وقال مجاهد : هو نجم السماء ،   وبه قال قتادة ،   والاول أقوى لمصاحبة الشجر .   والشجر عند أهل اللغة النبات الذي له ساق وورق وأغصان يبقى ساقه على دور الحول من الرمان واكثره مما له ثمار تجنى على ما دبرها صانعها من الاتيان بها في أبانها .

وقوله ( يسجدان ) إخبار من الله تعالى بانهما يسجدان ،   وسجودهما هو ما فيهما من الآية الدالة على حدوثهما وعلى وجوب الخضوع لله تعالى والتذلل له لما خلق فيها من الاقوات المختلفة في النبات للناس وغيرهم من الحيوان والاستمتاع بأصناف الثمار والفواكه والرياض اللذيذة ،   فلا شئ أدعى إلى الخضوع والعبادة لمن أنعم بهذه النعمة الجليلة مما فيه مثل الذي ذكرنا في النجم والشجر .   وقال مجاهد وسعيد بن جبير : سجودهما ظلالهما الذي يلقيانه بكرة وعشيا ،   فكل جسم له ظل فهو يقتضي الخضوع بما فيه من دليل الحدوث الذي لا يقدر عليه إلا قادر لا يعجزه شئ ."
55,7,"وقوله ( والسماء رفعها ) أي رفع السماء رفعها فوق الارض للاعتبار بها والتفكر فيها ،   وأنه لا يقدر على رفعها غير القادر لنفسه الذي لا يعجزه شئ ولا يماثله موجود .

وقوله  ""  ووضع الميزان  ""  فالميزان آلة التعديل في النقصان والرجحان ،   والوزن يعدل في ذلك ،   ولو لا الميزان لتعذر الوصول إلى كثير من الحقوق ،   فلذلك نبه على النعمة فيه والهداية اليه ."
55,8,"وقوله  ""  إلا تطغوا في الميزان  ""  نهي كأنه قال أي لا تطغوا ،   لان ( أن )

تكون بمعنى أي ويجوز ان تكون علة ،   وتقديره ووضع الميزان لان لا تطغوا ،   وإنما أعاد ذكر الميزان من غير أضمار لئلا يكون الثاني مضمنا بالاول ،   وليكون قائما بنفسه في النهي عنه إذا قيل ألا تطغوا في الميزان .   وقيل : لانه نزل في وقتين .   والاول أحسن .   وقيل : المراد بالميزان العدل لان المعادلة موازنة الاسباب ،   والطغيان الافراط في مجاوزة الحد في العدل .   وقيل : لا تطغوا فيه لان مالا يضبط في الوزن موضوع عنهم .   وقال الزجاج : تقديره فعلت ذلك لئلا تطغوا .   ويحتمل ان يكون نهيا مفردا .   ويجوز أن يكون بمعنى ( أي ) مفسرة ."
55,9,"وقوله  ""  واقيموا الوزن بالقسط  ""  أمر من الله تعالى أن يقيموا الوزن إذا أرادوا الاخذ أو الاعطاء  ""  بالقسط  ""  أي بالعدل  ""  ولا تخسروا الميزان  ""  بمعنى لا تنقصوه .

والخسران نقصان أصل المال ،   وهو ذهاب ما كان من رأس المال : خسر يخسر خسرا وخسرانا ،   وخسره تخسيرا ،   فهو خاسر ومخسر .   قال الزجاج : قولهم : أخسرت الميزان وخسرت ،   فعلى خسرت  ""  لا تخسر  ""  بفتح التاء ،   وقد قرأ به بعض المتقدمين شاذا لا يؤخذ به ."
55,10,"وقوله  ""  والارض وضعها للانام  ""  ليستقروا عليها .   وقال ابن عباس : الانام كل شئ فيه روح .   وقال الحسن : الانام الانس والجن .   وقال قتادة : الانام الخلق .   ويجوز أن يكون الانام من ونم الذباب إذا صوت من نفسه ،   ويسمى كل ما يصوت من نفسه أناما .   وقلبت الواو من ونام همزة كقولهم : أناة من ( وناة ) ."
