surah_number,ayah_number,tafsir_text
73,1,"بسم الله الرحمن الرحيم

يا أيها المزمل 1 -9 :

{  يا أيها المزمل* قم الليل إلا قليلا * نصفه أو انقص منه قليلا * أو زد عليه ورتل القرآن ترتيلا * إنا سنلقي عليك قولا ثقيلا * إن ناشئة الليل هي أشد وطئا وأقوم قيلا * إن لك في النهار سبحا طويلا * واذكر اسم ربك وتبتل إليه تبتيلا * رب المشرق والمغرب لا إله إلا هو فاتخذه وكيلا* } .

اللغة :

المزمل اسم فاعل وأصله المتزمل من تزمل إذا اشتمل بثيابه .

المعنى :

{  يا أيها المزمل } .  هذه الآية وما بعدها من أوائل الآيات التي نزلت على الرسول الأعظم صلى الله عليه وسلم أما أول آية أو أول سورة نزلت عليه فسيأتي الحديث عنها عند تفسير {  اقرأ باسم ربك الذي خلق } .  .  وخاطب سبحانه هنا نبيه الكريم بالمزمل لأنه كان آنذاك مشتملا بكسائه لسبب من الأسباب ،  فخاطبه العلي الأعلى بالصفة التي كان عليها ملاطفة له ،  ومن هذا الباب قوله النبي صلى الله عليه وسلم لعلي :  قم يا أبا تراب ،  وكان نائما على التراب ،  وقوله لحذيفة اليماني :  قم يا نومان وكان نائما ."
73,2,"الإعراب :

الليل منصوب على الظرفية .  إلا قليلا استثناء متصل من الليل .

المعنى :

{  قم الليل إلا قليلا } .  دع التلفف يا محمد ،  وأحي الليل في الصلاة والعبادة ما عدا جزءا قليلا منه تأوي فيه إلى فراشك للنوم والراحة .  وبكلام آخر اجعل الليل شطرين :  شطرا لربك وآخر لنفسك .  .  وقال قائل :  أراد الله بهذا أن يهيئ نبيه الكريم للجهاد الطويل ،  والصبر على متاعب الدعوة ،  وما يلاقيه من أذى المشركين بسببها .  .  وهذا مجرد خيال لأن الله سبحانه قد هيأ محمدا لأمانته الكبرى بفطرته ومنذ اليوم الأول لولادته ."
73,3,"الإعراب :

نصفه عطف بيان أو بدل كل من الليل لأنه جاء بعد الاستثناء ومعناه قم نصف الليل .  وضمير منه وعليه يعودان إلى النصف .

/م3"
73,4,"اللغة :

والترتيل التمهل في التلاوة وضده الإسراع .

الإعراب :

أو هنا للتخيير .

/م3"
73,5,"شخصية الرسول الأعظم :

{  إنا سنلقي عليك قولا ثقيلا } .  القرآن ثقيل بكل ما في هذه الكلمة من معنى ،  هو ثقيل في إعجازه وخلوده ،  وفي عقيدته وشريعته ،  وفي حربه ونضاله ضد الأقوياء المفسدين والطغاة المترفين ،  وقال كثير من المفسرين :   "" القرآن ثقيل لأن تكاليفه شاقة مثل المحافظة على الصلوات الخمس ،  والقيام آخر الليل لصلاة الفجر ،  والوضوء بالماء البارد مرارا ،  والاغتسال به أحيانا ،  وكالصوم في أيام الحر ،  والقيام للسحور من آخر الليل ،  وكالحج ومشتقاته من الإحرام والسعي والطواف ""  .

وليس من شك أن هذه كبيرة إلا على الخاشعين ،  ولكن أكبر منها وأثقل التكليف بالجهاد ،  وهو على أنواع ،  وأثقل أنواعه الجهاد لتغيير القلوب والمشاعر ،  والقضاء على العقائد الفاسدة والتقاليد الموروثة ،  واستئصال الفساد من جذوره ،  وهذا ما كلف به أبو القاسم محمد بن عبد الله :  فلقد بعثه الله سبحانه ليتمم مكارم الأخلاق للبشرية كلها ،  ويخرج الناس من الظلمات إلى النور ،  وأي تكليف أثقل وأشق من هذا التكليف ؟  ومن الذي يستطيع أن يغير من أخلاق زوجته وولده بخاصة في عصر الجاهلية أفسد العصور وأكثرها فسادا وطغيانا ؟  ولكن محمدا تغلب على جميع الصعاب ،  وقام بالأمر على أكمل وجه ،  أما السر في ذلك فيكمن في شخصية محمد وقوتها وعظمتها ،  وفي صبره العجيب على تحمل الأذى في سبيل دعوته ،  فكان يزداد صبرا وحلما كلما ازداد الطغاة في أذاه ،  ولا يزيد على قوله :  {  اللهم اغفر لقومي إنهم لا يعلمون .  .  إن لم يكن بك غضب علي فلا أبالي } .

وبهذا نجد التفسير الصحيح لقوله تعالى :  {  الله أعلم حيث يجعل رسالته 124 الأنعام } .  أجل ،  الله يعلم أن شخصية محمد أقوى من العقائد والتقاليد ومن الناس مجتمعين ،  ولولا علمه بذلك لما بعث محمدا ليتمم للبشرية مكارم الأخلاق :  {  لا يكلف الله نفسا إلا ما آتاها – 7 الطلاق } .  وقد أدرك الأديب العالمي الشهير  "" برنارد شو ""  هذه الطريقة حيث قال :  لو كان محمد بن عبد الله في القرن العشرين لقضى على ما فيه من فساد وضلال ."
73,6,"اللغة :

وفي البحر المحيط إن ناشئة الليل هي ساعاته ،  وأشد وطأ أكثر مشقة .  وأقوم قيلا أصوب وأثبت قراءة ،  وسبحا أي تصرفا وتقلبا في الأعمال كما يتقلب السابح في الماء .

الإعراب :

وطأ وقيلا تمييزان .

المعنى :

{  إن ناشئة الليل هي أشد وطأ وأقوم قيلا } كأن سائلا يسأل :  لماذا أمر الله نبيه الكريم أن يتعبد في شطر من الليل ؟  فأجاب سبحانه :  لأن قيام الإنسان من مضجعه بعد هدأة من الليل يشق كثيرا على النفس ،  وأفضل الأعمال أشقها ،  ولأن قلب الإنسان في الليل أصفى وأهدأ ،  فتكون تلاوته للقرآن أصوب وأثبت ،  وأيضا يكون أكثر تجاوبا مع ما يتلوه من الآيات .  وقيل :  المراد بالوطأ هنا المواطأة والموافقة بين القلب واللسان ."
73,7,"{  إن لك في النهار سبحا طويلا } .  الليل للعبادة والتهجد ،  والنهار للعمل والسعي في طلب العيش ،  وهو طويل يتسع لكل ما يحتاجه الإنسان من أعمال .

وقال الشيخ عبد القادر المغربي عند تفسير هذه الآية :   "" قد يعترض معترض بأن قيام الليل يضعف الجسم عن المقاومة والمكافحة .  وقد أجاب سيدنا علي ( ض ) عن ذلك بقوله :   "" وكأني بقائلكم يقول :  إذا كان هذا حال علي بن أبي طالب – أي التخشن والتهجد- فقد قعد به الضعف عن قتال الأقران ومنازلة الشجعان ألا وأن الشجرة البرية أصلب عودا والروائح الخضرة أرق جلودا ،  والنباتات البدوية أقوى وقودا وأبطأ خمودا ،  وأنا ورسول الله كالصنو من الصنو ،  والذراع من العضد .  أي أنه هو وسيدنا رسول الله صلى الله عليه وسلم من أصل واحد في العمل والطريقة وأسلوب المعيشة ،  فيكون في حالته كما كان سيدنا الرسول شديد البأس قوي العزيمة ،  وإن كان خشن المعيشة ""  ."
73,8,"اللغة :

وتبتل إليه انقطع وأخلص إليه .

المعنى :

{  واذكر اسم ربك وتبتل إليه تبتيلا } .  المراد بذكر الله هنا الدعوة إليه تعالى ،  والتبتل مأخوذ من البتل ،  وهو القطع مثل البت ،  ويستعمل التبتل في الانصراف عن الدنيا ،  ومنه البتول لقب السيدة مريم ،  والمعنى بعد أن تحيي يا محمد شطرا من الليل في العبادة ،  وتستريح في شطر منه – ادع دعوة الحق وجاهد في سبيلها لوجه الله وحده .  .  وكأن الله سبحانه يعلم نبيه الكريم أن يجعل وقته ثلاثة أقسام :  الأول للعبادة ،  والثاني للجهاد ،  والثالث للراحة كي يستمر في عبادته وجهاده ."
73,9,"الإعراب :

رب بالرفع خبر لمبتدأ مقدر أي هو رب ،  والجر بدل من ربك .

المعنى :

{  رب المشرق والمغرب لا إله إلا هو فاتخذه وكيلا } .  الملك في المشارق والمغارب وفي السماوات والأرض لله وحده لا شريك له ،  وإذا كان الخلق كله لله وجب على العبد أن يعتمد على الله ،  ولا يلجأ إلى أحد سواه ،  وفيه ايماء إلى أن الخلق يدل على وجود الخالق ،  وأن خضوع المخلوقات بكاملها لنواميس طبيعية ثابتة يدل دلالة واضحة على أن الخالق واحد في ذاته وصفاته ."
73,10,"واهجرهم هجرا جميلا الآية 10 -19 :

{  واصبر على ما يقولون واهجرهم هجرا جميلا * وذرني والمكذبين أولي النعمة ومهلهم قليلا * إن لدينا أنكالا وجحيما * وطعاما ذا غصة وعذابا أليما * يوم ترجف الأرض والجبال وكانت الجبال كثيبا مهيلا * إنا أرسلنا إليكم رسولا شاهدا عليكم كما أرسلنا إلى فرعون رسولا * فعصى فرعون الرسول فأخذناه أخذا وبيلا * فكيف تتقون إن كفرتم يوما يجعل الولدان شيبا * السماء منفطر به ،  كان وعده مفعولا * إن هذه تذكرة فمن شاء اتخذ إلى ربه سبيلا * } .

اللغة :

الهجر الجميل أن لا تتعرض لخصمك بشيء ،  وأن تعرض لك تجاهلت .

المعنى :

{  واصبر على ما يقولون واهجرهم هجرا جميلا } .  تقول أعداء الله على رسوله محمد صلى الله عليه وسلم الأقاويل ،  فأمره الله بالصبر وعدم التعرض لهم بشيء .  .  وكان ذلك في أول البعثة حيث كان المسلمون قلة ،  والكفار كثرة ،  حتى إذا كانت الهجرة ،  وأصبح للمسلمين قوة رادعة - أذن الله لهم بالقتال لحماية المظلومين من الظالمين .  وتقدم مثله في العديد من الآيات ،  منها الآية 199 من سورة الأعراف ."
