surah_number,ayah_number,tafsir_text
36,1,{ يس والقرآن الحكيم } [1-2] قال الصادق عليه السلام: يس اسم رسول الله صلى الله عليه وآله والدليل عليه قوله: { إنك لمن المرسلين على صراط مستقيم } [3-4] قال: على الطريق الواضح.
36,2,{ يس والقرآن الحكيم } [1-2] قال الصادق عليه السلام: يس اسم رسول الله صلى الله عليه وآله والدليل عليه قوله: { إنك لمن المرسلين على صراط مستقيم } [3-4] قال: على الطريق الواضح.
36,3,{ يس والقرآن الحكيم } [1-2] قال الصادق عليه السلام: يس اسم رسول الله صلى الله عليه وآله والدليل عليه قوله: { إنك لمن المرسلين على صراط مستقيم } [3-4] قال: على الطريق الواضح.
36,4,{ يس والقرآن الحكيم } [1-2] قال الصادق عليه السلام: يس اسم رسول الله صلى الله عليه وآله والدليل عليه قوله: { إنك لمن المرسلين على صراط مستقيم } [3-4] قال: على الطريق الواضح.
36,5,{ تنزيل العزيز الرحيم } قال: القرآن.
36,6,{ لتنذر قوماً ما أنذر آباؤهم فهم غافلون - إلى قوله - على أكثرهم } يعني: نزل به العذاب.
36,7,{ فهم لا يؤمنون } وقوله: { إنا جعلنا في أعناقهم أغلالاً فهي إلى الأذقان } إلى قوله { فهم مقمحون } [7-8] قال: قد رفعوا رؤوسهم.
36,8,{ فهم لا يؤمنون } وقوله: { إنا جعلنا في أعناقهم أغلالاً فهي إلى الأذقان } إلى قوله { فهم مقمحون } [7-8] قال: قد رفعوا رؤوسهم.
36,9,في رواية أبي الجارود عن أبي جعفر عليه السلام في قوله: { وجعلنا من بين أيديهم سداً ومن خلفهم سداً فأغشيناهم } يقول: فأعميناهم { فهم لا يبصرون } الهدى، أخذ الله سمعهم وأبصارهم وقلوبهم فأعماهم عن الهدى، نزلت في أبي جهل بن هشام ونفر من أهل بيته، وذلك أن النبي صلى الله عليه وآله قام يصلي وقد حلف أبو جهل لئن رآه يصلي ليدمغنه، فجاء ومعه حجر والنبي قائم يصلي، فجعل كلما رفع الحجر ليرميه أثبت الله يده إلى عنقه ولا يدور الحجر بيده، فلما رجع إلى أصحابه سقط الحجر من يده، ثم قام رجل آخر وهو من رهطه أيضاً فقال: أنا أقتله فلما دنا منه فجعل يسمع قراء‌ة رسول الله صلى الله عليه وآله فأرعب فرجع إلى أصحابه فقال: حال بيني وبينه كهيئة العجل يخطر بذنبه فخفت أن أتقدم.
36,10,قوله: { سواء عليهم ء‌أنذرتهم أم لم تنذرهم لا يؤمنون }  فلم يؤمن من أولئك الرهط من بني مخزوم أحد يعني ابن المغيرة.  وقال علي بن إبراهيم في قوله: { وسواء عليهم ء‌أنذرتهم أم لم تنذرهم لا يؤمنون - إلى قوله - وكل شيء أحصيناه في إمام مبين } [10-12] أي: في كتاب مبين وهو محكم، وذكر ابن عباس عن أمير المؤمنين عليه السلام أنه قال: أنا والله الإِمام المبين أبين الحق من الباطل وورثته من رسول الله صلى الله عليه وآله وهو محكم.
36,11,قوله: { سواء عليهم ء‌أنذرتهم أم لم تنذرهم لا يؤمنون }  فلم يؤمن من أولئك الرهط من بني مخزوم أحد يعني ابن المغيرة.  وقال علي بن إبراهيم في قوله: { وسواء عليهم ء‌أنذرتهم أم لم تنذرهم لا يؤمنون - إلى قوله - وكل شيء أحصيناه في إمام مبين } [10-12] أي: في كتاب مبين وهو محكم، وذكر ابن عباس عن أمير المؤمنين عليه السلام أنه قال: أنا والله الإِمام المبين أبين الحق من الباطل وورثته من رسول الله صلى الله عليه وآله وهو محكم.
36,12,قوله: { سواء عليهم ء‌أنذرتهم أم لم تنذرهم لا يؤمنون }  فلم يؤمن من أولئك الرهط من بني مخزوم أحد يعني ابن المغيرة.  وقال علي بن إبراهيم في قوله: { وسواء عليهم ء‌أنذرتهم أم لم تنذرهم لا يؤمنون - إلى قوله - وكل شيء أحصيناه في إمام مبين } [10-12] أي: في كتاب مبين وهو محكم، وذكر ابن عباس عن أمير المؤمنين عليه السلام أنه قال: أنا والله الإِمام المبين أبين الحق من الباطل وورثته من رسول الله صلى الله عليه وآله وهو محكم.
