surah_number,ayah_number,tafsir_text
101,1,{ ٱلْقَارِعَةُ مَا ٱلْقَارِعَةُ وَمَآ أَدْرَاكَ مَا ٱلْقَارِعَةُ } وضع الظّاهر موضع المضمر وتكرير الاستفهام ونفى دراية محمّدٍ (ص) او دراية من له شأن الدّراية تعظيم وتهويل للقارعة والمراد بالقارعة امّا القيامة فانّها تقرع كلّ من كان له فى الدّنيا انانيّة بما فيها من الاهوال، او المراد بها الدّاهية الّى تكون فى القيامة.
101,2,{ ٱلْقَارِعَةُ مَا ٱلْقَارِعَةُ وَمَآ أَدْرَاكَ مَا ٱلْقَارِعَةُ } وضع الظّاهر موضع المضمر وتكرير الاستفهام ونفى دراية محمّدٍ (ص) او دراية من له شأن الدّراية تعظيم وتهويل للقارعة والمراد بالقارعة امّا القيامة فانّها تقرع كلّ من كان له فى الدّنيا انانيّة بما فيها من الاهوال، او المراد بها الدّاهية الّى تكون فى القيامة.
101,3,{ ٱلْقَارِعَةُ مَا ٱلْقَارِعَةُ وَمَآ أَدْرَاكَ مَا ٱلْقَارِعَةُ } وضع الظّاهر موضع المضمر وتكرير الاستفهام ونفى دراية محمّدٍ (ص) او دراية من له شأن الدّراية تعظيم وتهويل للقارعة والمراد بالقارعة امّا القيامة فانّها تقرع كلّ من كان له فى الدّنيا انانيّة بما فيها من الاهوال، او المراد بها الدّاهية الّى تكون فى القيامة.
101,4,{ يَوْمَ يَكُونُ ٱلنَّاسُ كَٱلْفَرَاشِ ٱلْمَبْثُوثِ } الّذى يتهافت على السّراج ولا يكون لحركته وطيرانه نظام، شبّه النّاس فى القيامة به لشدّة تحيّرهم وعدم انتظام حركاتهم مثل قوله تعالى: [القمر:7] ويوم منصوب بالقارعة، او باعنى محذوفاً، او بيكون محذوفاً.
101,5,{ وَتَكُونُ ٱلْجِبَالُ كَٱلْعِهْنِ ٱلْمَنفُوشِ } العهن الصّوف او المصبوغ منه الواناً، والمنفوش المنتشر والمعنى تكون الجبال كالصّوف المصبوغ المندوف.
101,6,{ فَأَمَّا مَن ثَقُلَتْ مَوَازِينُهُ فَهُوَ فِي عِيشَةٍ رَّاضِيَةٍ } اى ذات رضا، او الوصف بحال المتعلّق اى فى عيشةٍ راضٍ صاحبها بها.
101,7,{ فَأَمَّا مَن ثَقُلَتْ مَوَازِينُهُ فَهُوَ فِي عِيشَةٍ رَّاضِيَةٍ } اى ذات رضا، او الوصف بحال المتعلّق اى فى عيشةٍ راضٍ صاحبها بها.
101,8,{ وَأَمَّا مَنْ خَفَّتْ مَوَازِينُهُ فَأُمُّهُ هَاوِيَةٌ } الامّ ههنا بمعنى المسكن او الخادم، او المعنى امّ رأسه ساقطة فى النّار، لكنّ الاوّل اولى ليوافق ظاهره التّفسير الّذى فى قوله تعالى { وَمَآ أَدْرَاكَ مَا هِيَهْ نَارٌ حَامِيَةٌ }.
101,9,{ وَأَمَّا مَنْ خَفَّتْ مَوَازِينُهُ فَأُمُّهُ هَاوِيَةٌ } الامّ ههنا بمعنى المسكن او الخادم، او المعنى امّ رأسه ساقطة فى النّار، لكنّ الاوّل اولى ليوافق ظاهره التّفسير الّذى فى قوله تعالى { وَمَآ أَدْرَاكَ مَا هِيَهْ نَارٌ حَامِيَةٌ }.
101,10,{ وَمَآ أَدْرَاكَ مَا هِيَهْ نَارٌ حَامِيَةٌ } شديدة الحرارة.
101,11,{ وَمَآ أَدْرَاكَ مَا هِيَهْ نَارٌ حَامِيَةٌ } شديدة الحرارة.
