surah_number,ayah_number,tafsir_text
17,1,"/م1

المعنى : * ( سبحان الذي أسرى بعبده ) * سبحان كلمة تنزيه وإبراء لله ،   عز اسمه ،   عما لا يليق به من الصفات ،   وقد يراد به التعجيب ،   يعني : سبحان الذي سير عبده محمدا صلى الله عليه وآله وسلم ،   وهو عجيب من قدرة الله تعالى ،   وتعجيب ممن لم يقدر الله حق قدره ،   وأشرك به غيره ،   وسرى بالليل ،   وأسرى بمعنى .   وقد عدي هنا بالباء ،   والوجه في التأويل أنه إذا كان مشاهدة العجب سببا للتسبيح صار التسبيح تعجبا ،   فقيل : سبح أي : عجب * ( ليلا ) * قالوا : كان ذلك الليل قبل الهجرة بسنة * ( من المسجد الحرام ) * وقال أكثر المفسرين : أسري برسول الله صلى الله عليه وآله وسلم ،   من دار أم هاني ،   أخت علي بن أبي طالب ،   وزوجها هبيرة بن أبي وهب المخزومي ،  وكان صلى الله عليه وآله وسلم نائما تلك اليلة في بيتها ،   وإن المراد بالمسجد الحرام هنا : مكة ،   ومكة والحرم كلها مسجد .   وقال الحسن ،   وقتادة : كان الإسراء من نفس المسجد الحرام .   * ( إلى المسجد الأقصى ) * يعني بيت المقدس .   وإنما قال الأقصى ،   لبعد المسافة بينه وبين المسجد الحرام * ( الذي باركنا حوله ) * أي : جعلنا البركة فيما حوله من الأشجار ،   والأثمار ،   والنبات ،   والأمن ،   والخصب ،   حتى لا يحتاجوا إلى أن يجلب إليهم من موضع آخر .   وقيل : باركنا حوله أي : البركة فيما حوله بأن جعلناه مقر الأنبياء ،   ومهبط الملائكة ،   عن مجاهد ،   وبذلك صار مقدسا عن الشرك ،   لأنه لما صار متعبدا للأنبياء ،   ودار مقام لهم ،   تفرق المشركون عنهم ،   فصار مطهرا من الشرك والتقديس التطهير ،   فقد اجتمع فيه بركات الدين والدنيا .   * ( لنريه من آياتنا ) * أي : من عجائب حججنا ،   ومنها : اسراؤه في ليلة واحدة من مكة إلى هناك .   ومنها : أن أراه الأنبياء واحدا بعد واحد وأن عرج به إلى السماء ،   وغير ذلك من العجائب التي أخبر بها الناس * ( إنه هو السميع ) * لأقوال من صدق بذلك ،   أو كذب * ( البصير ) * بما فعل من الإسراء ،   والمعراج *"
17,2,"/م1

( وآتينا موسى الكتاب ) * يعني التوراة * ( وجعلناه هدى لبني إسرائيل ) * أي : وجعلنا التوراة حجة ودلالة ،   وبيانا وإرشادا ،   لبني إسرائيل يهتدون به * ( ألا تتخذوا من دوني وكيلا ) * أي : أمرهم أن لا يتخذوا من دوني معتمدا يرجعون إليه في النوائب .   وقيل : ربا يتوكلون عليه *"
17,3,"/م1

( ذرية من حملنا مع نوح ) * أي : أولاد من حملنا مع نوح في السفينة ،   فأنجيناه من الطوفان .   وقد ذكرنا وجوه ذلك في الإعراب ،   وعلى هذا يدور المعنى * ( إنه كان عبدا شكورا ) * معناه : إن نوحا كان عبدا لله كثير الشكر ،   وكان إذا لبس ثوبا ،   أو أكل طعاما ،   أو شرب ماء ،   حمدالله ،   وشكر له ،   وقال : الحمدلله .   وقيل : إنه كان يقول في ابتداء الأكل والشرب : بسم الله ،   وفي انتهائه : الحمدلله .   وروي عن أبي عبد الله عليه السلام ،   وأبي جعفر عليه السلام : إن نوحا كان إذا أصبح وأمسى ،   قال : اللهم إني أشهدك أن ما أصبح ،   أو أمسى بي من نعمة ،   في دين أو دنيا ،   فمنك وحدك ،   لا شريك لك ،   لك الحمد ،   ولك الشكر بها علي ،   حتى ترضى ،   وبعد الرضى .   وهذا كان شكره .   النظم : وجه اتصال قوله * ( وآتينا موسى الكتاب ) * بما قبله : أن المعنى فيه سبحان الذي أسرى بمحمد صلى الله عليه وآله وسلم وأراه الآيات كلها ،   كما أرى موسى الآيات والمعجزات الباهرات ،   وقيل : إن معناه إن كونك نبيا ليس ببدع ،   فقد آتيناك الكتاب والحجج ،   كما آتينا موسى التوراة ،   فلم أقروا به ،   وأنكروا أمرك ،   والطريق فيهما واحد ؟ وقيل : إن معناه إنهم كفروا بموسى كما كفروا بما أخبرتهم به من إسرائك .   *"
17,4,"/م4

المعنى : لما تقدم أمره سبحانه لبني إسرائيل ،   عقب ذلك بذكر ما كان منهم ،   وما جرى عليهم ،   فقال : * ( وقضينا إلى بني إسرائيل ) * أي : أخبرناهم ،   وأعلمناهم * ( في الكتاب ) * أي : في التوراة * ( لتفسدن في الأرض مرتين ) * أي : حقا لا شك فيه أن خلافكم سيفسدون في البلاد التي تسكنونها كرتين ،   وهي بيت المقدس .   وأراد بالفساد : الظلم ،   وأخذ المال ،   وقتل الأنبياء ،   وسفك الدماء .   وقيل : كان فسادهم الأول قتل زكريا ،   والثاني قتل يحيى بن زكريا ،   عن ابن عباس ،   وابن مسعود وابن زيد ،   قالوا : ثم سلط الله عليهم سابور ذا الأكتاف ،   ملكا من ملوك فارس ،   في قتل زكريا ،   وسلط عليهم في قتل يحيى بخت نصر ،   وهو رجل خرج من بابل .   وقيل : الفساد الأول قتل شعيا ،   والثاني قتل يحيى ،   وإن زكريا مات حتف أنفه ،   عن محمد بن إسحاق ،   قال : وأتاهم في الأول بخت نصر ،   وفي الثاني ملك من ملوك بابل .   وقيل : كان الأول جالوت ،   فقتله داود عليه السلام ،   والثاني بخت نصر ،   عن قتادة .   وقيل : انه سبحانه ذكر فسادهم في الأرض ،   ولم يبين ما هو ،   فلا يقطع على شئ مما ذكر ،   عن أبي علي الجبائي * ( ولتعلن علوا كبيرا ) * أي : ولتستكبرن ،   ولتظلمن الناس ظلما عظيما .   والعلو : نطير العتو هنا ،   وهو الجرأة على الله تعالى ،   والتعرض لسخطه *"
17,5,"/م4

( فإذا جاء وعد أولاهما ) * معناه : فإذا جاء وقت أولى المرتين اللتين تفسدون فيهما ،   والوعد هنا : بمعنى الموعود ،   ووضع المصدر موضع المفعول به أي : إذا جاء الوقت الموعود لإفسادكم في المرة الأولى * ( بعثنا عليكم عبادا لنا أولي بأس شديد ) * أي : سلطنا عليكم عبادا لنا أولي شوكة وقوة ونجدة ،   وخلينا بينكم

وبينهم ،   خاذلين لكم جزاء على كفركم وعتوكم ،   وهو مثل قوله * ( أرسلنا الشياطين على الكافرين تؤزهم أزا ) * عن الحسن .   وقيل معناه أمرنا قوما مؤمنين بقتالكم وجهادكم ،   لأن ظاهر قوله تعالى : * ( عبادا لنا ) * ،   وقوله : * ( بعثنا ) * ،   يقتضي ذلك ،   عن الجبائي .   وقيل : يجوز أن يكونوا مؤمنين ،   أمرهم الله بجهاد هؤلاء .   ويجوز أن يكونوا كافرين ،   فتألفهم نبي من الأنبياء لحرب هؤلاء ،   وسلطهم على نظرائهم من الكفار والفساق ،   عن أبي مسلم .   * ( فجاسسوا خلال الديار ) * أي : فطافوا وسط الديار يترددون وينظرون ،   هل بقي منهم أحد لم يقتلوه ،   عن الزجاج .   * ( وكان وعدا مفعولا ) * أي موعودا كائنا لا خلف فيه *"
17,6,"/م4

( ثم رددنا لكم الكرة عليهم ) * أي : رددنا لكم يا بني إسرائيل الدولة ،   و أظهرناكم عليهم ،   وعاد ملككم على ما كان عليه * ( وأمددناكم بأموال وبنين ) * أي : وأكثرنا لكم أموالكم وأولادكم ،   ورددنا لكم العدة والقوة * ( وجعلناكم أكثر نفيرا ) * أي : أكثر عددا وأنصارا من أعدائكم *"
17,7,"/م4

( إن أحسنتم أحسنتم لأنفسكم ) * معناه : إن أحسنتم في أقوالكم وأفعالكم ،   فنفع إحسانكم عائد عليكم ،   وثوابه واصل إليكم ،   تنصرون على أعدائكم في الدنيا ،   وتثابون في العقبى .   * ( وإن أسأتم فلها ) * معناه : وإن أسأتم فقد أساتم إلى أنفسكم أيضا ،   لأن مضرة الإساءة عائدة إليها ،   وإنما قال * ( فلها ) * على وجه التقابل ،   لأنه في مقابلة قوله * ( إن أحسنتم أحسنتم لأنفسكم ) * كما يقال أحسن إلى نفسه ،   ليقابل أساء إلى نفسه ،   ولأن معنى قولك أنت منتهى الإساءة ،   وأنت المختص بالإساءة ،   متقارب .   فلذلك وضع اللام موضع إلى .   وقيل : إن قوله * ( فلها ) * بمعنى فعليها ،   كقوله تعالى : * ( لهم اللعنة ) * أي : عليهم اللعنة .   وقيل : معناه فلها الجزاء والعقاب ،   وإذا أمكن حمل الكلام على الظاهر ،   فالأولى أن لا يعدل عنه .   وهذا الخطاب لبني إسرائيل ،   ليكون الكلام جاريا على النسق والنظام .   ويجوز أن يكون خطابا لأمة نبينا صلى الله عليه وآله وسلم ،   فيكون اعتراضا بين القصة ،   كما يفعل الخطيب والواعظ ،   يحكي شيئا ثم يعظ ،   ثم يعود إلى الحكاية .   فكأنه لما بين أن بني إسرائيل لما علوا وبغوا في الأرض ،   سلط عليهم قوما ،   ثم لما تابوا قبل توبتهم ،   وأظفرهم على عدوهم ،   خاطب أمتنا بأن من أحسن عاد نفع إحسانه إليه ،  ومن أساء عاد ضرره إليه ترغيبا  ( فإذا جاء وعد الآخرة ) * أي : وعد المرة الأخرى من قوله * ( لتفسدن في الأرض مرتين ) * ،   والمراد به جاء وعد الجزاء على الفساد في الأرض في المرة الأخيرة ،   أو جاء وعد فسادكم في الأرض في المرة الأخيرة ،   أي : الوقت الذي يكون فيه ما أخبر الله عنكم من الفساد والعدوان على العباد * ( ليسوءوا وجوهكم ) * أي : غزاكم أعداؤكم ،   وغلبوكم ،   ودخلوا دياركم ليسوءوكم بالقتل والأسر .   يقال : سئته أسوؤه مساءة ومسائية وسوائية .   إذا أحزنته .   وقيل : معناه ليسوءوا كبراءكم ورؤساءكم وفي مساءة الأكابر وإهانتهم مساءة الأصاغر .   * ( وليدخلوا المسجد ) * أي : بيت المقدس ونواحيه .   فكنى بالمسجد ،   وهو المسجد الأقصى ،   عن البلد ،   كما كنى بالمسجد الحرام عن الحرم .   ومعناه : وليستولوا على البلد ،   لأنه لا يمكنهم دخول المسجد إلا بعد الإستيلاء * ( كما دخلوه أول مرة ) * دل بهذا على أن في المرة الأولى قد دخلوا المسجد أيضا ،   وإن لم يذكر ذلك ،   ومعناه : وليدخل هؤلاء المسجد كما دخله أولئك أول مرة * ( وليتبروا ما علوا تتبيرا ) * أي : وليدمروا ويهلكوا ما غلبوا عليه من بلادكم تدميرا .   ويجوز أن يكون * ( ما ) * مع الفعل بتأويل المصدر ،   والمضاف محذوف ،   أي : ليتبروا مدة علوهم *"
17,8,"/م4

( عسى ربكم ) * يا بني إسرائيل .   * ( أن يرحمكم ) * بعد انتقامه منكم إن تبتم ورجعتم إلى طاعته * ( وإن عدتم عدنا ) * معناه : وإن عدتم إلى الفساد ،   عدنا بكم إلى العقاب لكم ،   والتسليط عليكم ،   كما فعلناه فيما مضى ،   عن ابن عباس ،   قال : إنهم عادوا بعد الأولى والثانية ،   فسلط الله عليهم المؤمنين يقتلونهم ،   ويأخذون منهم الجزية إلى يوم القيامة * ( وجعلنا جهنم للكافرين حصيرا ) * أي : سجنا ومحبسا ،   عن ابن عباس .   القصة : اختلف المفسرون في القصة عن هاتين الكرتين ،   اختلافا شديدا ،   فالأولى أن نورد من جملتها ما هو الأهم على سبيل الإيجاز ،   قالوا : لما عتا بنو إسرائيل في المرة الأولى ،   سلط الله عليهم ملك فارس .   وقيل : بختنصر .   وقيل ملكا من ملوك بابل .   فخرج إليهم وحاصرهم ،   وفتح بيت المقدس .   وقيل : إن بخت نصر ملك بابل بعد سنحاريب ،   وكان من جيش نمرود ،   وكان لزانية لا أب له ،   فظهر على بيت المقدس ،   وخرب المسجد ،   وأحرق التوراة ،   وألقى الجيف في المسجد ،   وقتل على دم يحيى سبعين ألفا ،   وسبى ذراريهم ،   وأغار عليهم ،   وأخرج أموالهم ،   وسبى سبعين ألفا ،   وذهب بهم إلى بابل فبقوا في يده مائة سنة ،   يستعبدهم المجوس وأولادهم .   ثم تفضل الله عليهم بالرحمة ،   فأمر ملكا من ملوك فارس ،   عارفا بالله سبحانه وتعالى ،   فردهم إلى بيت المقدس .   فأقاموا به مائة سنة على الطريق المستقيم ،   والطاعة والعبادة .   ثم عادوا إلى الفساد والمعاصي ،   فجاءهم ملك من ملوك الروم اسمه انطياخوس ،   فخرب بيت المقدس ،   وسبى أهله .   وقيل : غزاهم ملك الرومية ،   وسباهم ،   عن حذيفة .   وقال محمد بن إسحاق كان بنو إسرائيل يعصون الله تعالى ،   وفيهم الأحداث ،   والله يتجاوز عنهم .   وكان أول ما نزل بهم بسبب ذنوبهم أن الله تعالى بعث إليهم شعيا قبل مبعث زكريا ،   وشعيا هو الذي بشر بعيسى عليه السلام وبمحمد صلى الله عليه وآله وسلم ،   وكان لبني إسرائيل ملك كان شعيا يرشده ويسدده ،   فمرض الملك ،   وجاء سنحاريب إلى باب بيت المقدس بستمائة ألف راية فدعا الله سبحانه شعيا ،   فبرأ الملك ،   ومات جمع سنحاريب ،   ولم ينج منهم إلا خمسة نفر ،   منهم سنحاريب ،   فهرب وأرسلوا خلفه من أخذه .   ثم أمر سبحانه بإطلاقه ليخبر قومه بما نزل بهم ،   فأطلقوه ،   وهلك سنحاريب بعد ذلك بسبع سنين ،   واستخلف بخت نصر ابن ابنه ،   فلبث سبع عشرة سنة وهلك ملك بني إسرائيل ،   ومرج أمرهم ،   وتنافسوا في الملك ،   فقتل بعضهم بعضا ،   فقام شعيا فيهم خطيبا ،   ووعظهم بعظات بليغة ،   وأمرهم ونهاهم ،   فهموا بقتله ،   فهرب ودخل شجرة ،   فقطعوا الشجرة بالمنشار .   فبعث الله إليهم إرميا من سبط هارون ،   ثم خرج من بينهم لما رأى من أمرهم .   ودخل بخت نصر وجنوده بيت المقدس ،   وفعل ما فعل ،   ثم رجع إلى بابل بسبايا بني إسرائيل .   وكانت هذه الدفعة الأولى .   وقيل أيضا : إن سبب ذلك كان قتل يحيى بن زكريا ،   وذلك ان ملك بني إسرائيل أراد أن يتزوج بنت امرأته ،   فنهاه يحيى ،   وبلغ أمها ،   فحقدت عليه ،   وبعثته على قتله ،   فقتله .   وقيل : إنه لم يزل دم يحيى بن زكريا يغلي ،   حتى قتل بخت نصر منهم سبعين ألفا ،   أو اثنين وسبعين ألفا ،   ثم سكن الدم .   وذكر الجميع : إن يحيى بن زكريا هو المقتول في الفساد الثاني ،   قال مقاتل : كان بين فساد الأول والثاني مائتا سنة وعشر سنين .   وقيل : إنما غزا بني إسرائيل في المرة الأولى بخت نصر ،   وفي المرة الثانية ملوك فارس والروم ،   وذلك حين فتلوا يحيى ،   فقتلوا منهم مائة ألف وثمانين ألفا ،   وخرب بيت المقدس .   فلم يزل بعد ذلك خرابا حتى بناه عمر بن الخطاب ،   فلم يدخله بعد ذلك رومي إلا خائفا .   وقيل : إنما غزاهم في المرة الأولى جالوت ،   وفي الثانية بخت نصر والله أعلم .   *"
17,9,"/م9

المعنى : * ( إن هذا القرآن يهدي للتي هي أقوم ) * معناه : إن هذا القرآن يهدي إلى الديانة ،   والملة ،   والطريقة التي هي أشد استقامة ،   يقال : هذه الطريق ،   وللطريق ،   وإلى الطريق .   وقيل : معناه يرشد إلى الكلمة التي هي أعدل الكلمات وأصوبها ،   وهي كلمة التوحيد .   وقيل : يهدي إلى الحال التي هي أعدل الحالات ،   وهي توحيد الله ،   والإيمان به وبرسله ،   والعمل بطاعته ،   عن الزجاج .   * ( ويبشر المؤمنين الذين يعملون الصالحات أن لهم ) * أي : بأن لهم * ( أجرا كبيرا ) * أي : ثوابا عظيما على طاعاتهم *"
17,10,"/م9

( و ) * يبشرهم أيضا ب‍ * ( أن الذين لا يؤمنون بالآخرة ) * أي بالنشأة الآخرة * ( أعتدنا لهم ) * أي : هيأنا لهم * ( عذابا أليما ) * وهو عذاب النار .   وإنما سمي العذاب أجرا لأنه يستحق في مقابلة عمل ،   كالأجرة التي تجب في مقابلة عمل ،   يعود نفعه إلى المستأجر .   والثواب يستحق على الله تعالى ،   وإن كان نفعه يعود إلى العامل ،   لأنه سبحانه أوجب ذلك على نفسه في مقابلة عمل العد ،   فضلا منه وكرما .   *"
